"uid","domainID","siteID","plotID","trapID","collectDate","processingDate","identifiedDate","sampleID","individualID","specimenSource","taxonID","scientificName","taxonRank","identificationQualifier","scientificNameAuthorship","morphospeciesID","identificationReferences","identifiedBy","recordedBy","remarks","duplicateIndividualIDQF"
"AC56796C23CD40438F56B9965DDBAF90","D10","CPER","CPER_005","S","2014-06-05","2014-11-07","2014-11-07","CPER_005.S.20140605.oc.01","NEON.BET.D10.001122","vial of pooled individuals",,,,,,"D10.2014.MorphB",,"XXW8BqPXtz8Ncjf8bOi7gc6Hj7+NVXsl","Rjv/PyMx3k4oygLKYkCbuIDsccqDw9So","Amara sp? 2 orbital setae, less sinuous pronotum than morph A, metallic like body part",0
"900230FBBE2441C9835C208498649F78","D10","CPER","CPER_005","E","2014-06-05","2014-11-06","2014-11-06","CPER_005.E.20140605.DYSGLO.01","NEON.BET.D10.001108","vial of pooled individuals","DYSGLO","Dyschirius globulosus","species","cf. species","Say",,,"XXW8BqPXtz8Ncjf8bOi7gc6Hj7+NVXsl","Rjv/PyMx3k4oygLKYkCbuIDsccqDw9So",,0
"ADF8B96862CA4706AE8AC4B05736DB88","D10","CPER","CPER_005","S","2014-06-05","2014-11-07","2014-11-07","CPER_005.S.20140605.oc.01","NEON.BET.D10.001120","vial of pooled individuals",,,,,,"D10.2014.MorphB",,"XXW8BqPXtz8Ncjf8bOi7gc6Hj7+NVXsl","Rjv/PyMx3k4oygLKYkCbuIDsccqDw9So","Amara sp? 2 orbital setae, less sinuous pronotum than morph A, metallic like body part",0
"81113814F51443C49F16D0D22856FD6B","D10","CPER","CPER_005","S","2014-06-05","2014-11-07","2014-11-07","CPER_005.S.20140605.oc.01","NEON.BET.D10.001121","vial of pooled individuals",,,,,,"D10.2014.MorphB",,"XXW8BqPXtz8Ncjf8bOi7gc6Hj7+NVXsl","Rjv/PyMx3k4oygLKYkCbuIDsccqDw9So","Amara sp? 2 orbital setae, less sinuous pronotum than morph A, metallic like body part",0
"C8C1595EA81149D0A2F5B3B59F75D99B","D10","CPER","CPER_010","W","2014-06-05","2014-11-06","2014-11-06","CPER_010.W.20140605.eurgro.01","NEON.BET.D10.001107","vial of pooled individuals","EURGRO","Euryderus grossus","species",,"Say",,,"XXW8BqPXtz8Ncjf8bOi7gc6Hj7+NVXsl","Rjv/PyMx3k4oygLKYkCbuIDsccqDw9So",,0
"17C083102B4A4667B74FB163B1FEA4C9","D10","CPER","CPER_004","W","2014-06-05","2014-11-06","2014-11-06","CPER_004.W.20140605.paselo.01","NEON.BET.D10.001106","vial of pooled individuals","PASELO","Pasimachus elongatus","species",,"LeConte",,,"XXW8BqPXtz8Ncjf8bOi7gc6Hj7+NVXsl","Rjv/PyMx3k4oygLKYkCbuIDsccqDw9So",,0
"74AB9C4B9F8A4C708AA7AA3A4537B7C9","D10","CPER","CPER_004","E","2014-06-05","2014-11-06","2014-11-06","CPER_004.E.20140605.PASELO.01","NEON.BET.D10.001099","vial of pooled individuals","PASELO","Pasimachus elongatus","species",,"LeConte",,,"XXW8BqPXtz8Ncjf8bOi7gc6Hj7+NVXsl","ribMkJf9qw7MQxU/0O1q1gxer/x/8nRr",,0
"6683DC5D3CFC4F59B590B402759A2378","D10","CPER","CPER_004","S","2014-06-05","2014-11-06","2014-11-06","CPER_004.S.20140605.oc.01","NEON.BET.D10.001105","vial of pooled individuals",,,,,,"D10.2014.MorphH",,"XXW8BqPXtz8Ncjf8bOi7gc6Hj7+NVXsl","Rjv/PyMx3k4oygLKYkCbuIDsccqDw9So","Very similar to morph E, except head not as narrow, front of pronotum not as strongly sinuous as morph E",0
"C4BD73B4D7DD46B691CAAF6ABAA39524","D10","CPER","CPER_004","E","2014-06-05","2014-11-06","2014-11-06","CPER_004.E.20140605.OC.01","NEON.BET.D10.001095","vial of pooled individuals",,,,,,"D10.2014.MorphB",,"XXW8BqPXtz8Ncjf8bOi7gc6Hj7+NVXsl","ribMkJf9qw7MQxU/0O1q1gxer/x/8nRr","Morph B
Amara sp? 2 orbital setae, less sinuous pronotum than morph A, metallic like body part
",1
"28C369717FF74A5FA9A01878EE975774","D10","CPER","CPER_004","S","2014-06-05","2014-11-06","2014-11-06","CPER_004.S.20140605.oc.01","NEON.BET.D10.001104","vial of pooled individuals",,,,,,"D10.2014.MorphC",,"XXW8BqPXtz8Ncjf8bOi7gc6Hj7+NVXsl","Rjv/PyMx3k4oygLKYkCbuIDsccqDw9So","~6mm long black, anterior of pronotum forms obtuse angle, apex end of elytra hairy",0
"FB4E2D43E8B446A4BA8AB2D947AAB814","D10","CPER","CPER_004","E","2014-06-05","2014-11-06","2014-11-06","CPER_004.E.20140605.oc.01","NEON.BET.D10.001098","vial of pooled individuals",,,,,,"D10.2014.MorphC",,"XXW8BqPXtz8Ncjf8bOi7gc6Hj7+NVXsl","Rjv/PyMx3k4oygLKYkCbuIDsccqDw9So","~6mm long black, anterior of pronotum forms obtuse angle, apex end of elytra hairy",0
