"uid","domainID","siteID","plotID","trapID","collectDate","etOHChangeDate","processingDate","identifiedDate","associatedSampleID","sampleID","targetTaxaPresent","sampleType","taxonID","scientificName","taxonRank","identificationQualifier","scientificNameAuthorship","morphospeciesID","individualCount","identificationReferences","identifiedBy","recordedBy","remarks","duplicateSampleIDQF"
"12ACDBE2E8B94C87BD020E6491DDCF77","D10","CPER","CPER_003","W","2014-06-05","2014-06-06","2014-11-06","2014-11-06","CPER_003.W.20140605.PASELO.01","CPER_003.W.20140605.PASELO.01","Y","common carabid","PASELO","Pasimachus elongatus","species",,"LeConte",,2,,"P+EeY8owwbjzXaiaPoIJpc6mcpR6iWBh","P+EeY8owwbjzXaiaPoIJpc6mcpR6iWBh",,0
"7D270BC565534D2E93C4863F97EB3BAF","D10","CPER","CPER_003","W","2014-06-05","2014-06-06","2014-11-06",,"CPER_003.W.20140605.oc.01",,"Y","other carabid",,,,,,,,,,"P+EeY8owwbjzXaiaPoIJpc6mcpR6iWBh",,0
"70B8A5F8569049EFB78F556977C7FE2A","D10","CPER","CPER_003","E","2014-06-05","2014-06-06","2014-11-06","2014-11-06","CPER_003.E.20140605.PASELO.01","CPER_003.E.20140605.PASELO.01","Y","common carabid","PASELO","Pasimachus elongatus","species",,"LeConte",,1,,"P+EeY8owwbjzXaiaPoIJpc6mcpR6iWBh","P+EeY8owwbjzXaiaPoIJpc6mcpR6iWBh",,0
"A8035324C2B9457C9D4E0312EA0C2304","D10","CPER","CPER_003","S","2014-06-05","2014-06-06","2014-11-06",,"CPER_003.S.20140605.oc.01",,"Y","other carabid",,,,,,,,,,"P+EeY8owwbjzXaiaPoIJpc6mcpR6iWBh",,0
"AA598D68CB984DA99585760009E41A11","D10","CPER","CPER_003","E","2014-06-05","2014-06-06","2014-11-06",,"CPER_003.E.20140605.oc.01",,"Y","other carabid",,,,,,,,,,"P+EeY8owwbjzXaiaPoIJpc6mcpR6iWBh",,0
"0A958FE505A241109E6F8007B8E8D067","D10","CPER","CPER_003","S","2014-06-05","2014-06-06","2014-11-06","2014-11-06","CPER_003.S.20140605.PASELO.01","CPER_003.S.20140605.PASELO.01","Y","common carabid","PASELO","Pasimachus elongatus","species",,"LeConte",,2,,"P+EeY8owwbjzXaiaPoIJpc6mcpR6iWBh","P+EeY8owwbjzXaiaPoIJpc6mcpR6iWBh",,0
"4879D521FA7F4B518B5CE81A7B290F40","D10","CPER","CPER_003","N","2014-06-05","2014-06-06","2014-11-06",,"CPER_003.N.20140605.oc.01",,"Y","other carabid",,,,,,,,,,"P+EeY8owwbjzXaiaPoIJpc6mcpR6iWBh",,0
"591C24F06ABD44528BFEC28D1DCCC9D6","D10","CPER","CPER_003","N","2014-06-05","2014-06-06","2014-11-06",,"CPER_003.20140605.ib.02","CPER_003.20140605.ib.02","Y","invert bycatch",,,,,,,,,,"P+EeY8owwbjzXaiaPoIJpc6mcpR6iWBh",,0
"2385FE0A249B4CC2AFDDBC861700CDB7","D10","CPER","CPER_001","E","2014-06-05","2014-06-06","2014-11-06",,"CPER_001.20140605.ib.02","CPER_001.20140605.ib.02","Y","invert bycatch",,,,,,,,,,"Rjv/PyMx3k4oygLKYkCbuIDsccqDw9So",,2
"E70C22D414AA440181BB404D92E3C982","D10","CPER","CPER_001","S","2014-06-05","2014-06-06","2014-11-06",,"CPER_001.S.20140605.oc.01",,"Y","other carabid",,,,,,,,,,"Rjv/PyMx3k4oygLKYkCbuIDsccqDw9So",,0
"ECA656F1B1B747B68D55B1C5F80C55EC","D10","CPER","CPER_001","N","2014-06-05","2014-06-06","2014-11-06",,"CPER_001.20140605.ib.02","CPER_001.20140605.ib.02","N","invert bycatch",,,,,,,,,,"Rjv/PyMx3k4oygLKYkCbuIDsccqDw9So",,2
"988C2F621792480EBCCD7F5E3FA6ABAE","D10","CPER","CPER_001","S","2014-06-05","2014-06-06","2014-11-06",,"CPER_001.20140605.ib.02","CPER_001.20140605.ib.02","Y","invert bycatch",,,,,,,,,,"Rjv/PyMx3k4oygLKYkCbuIDsccqDw9So",,2
"B627E79E88474F598172385F866B26E9","D10","CPER","CPER_001","W","2014-06-05","2014-06-06","2014-11-06",,"CPER_001.20140605.ib.02","CPER_001.20140605.ib.02","Y","invert bycatch",,,,,,,,,,"Rjv/PyMx3k4oygLKYkCbuIDsccqDw9So",,2
"4260A1680F44463E9D5D7AEF6C8770B1","D10","CPER","CPER_001","E","2014-06-05","2014-06-06","2014-11-06","2014-11-06","CPER_001.E.20140605.PASELO.01","CPER_001.E.20140605.PASELO.01","Y","common carabid","PASELO","Pasimachus elongatus","species",,"LeConte",,1,,"P+EeY8owwbjzXaiaPoIJpc6mcpR6iWBh","Rjv/PyMx3k4oygLKYkCbuIDsccqDw9So",,0
"63D84A6E05034FD9B6A3EEF43B3687BB","D10","CPER","CPER_001","S","2014-06-05","2014-06-06","2014-11-06","2014-11-06","CPER_001.S.20140605.PASELO.01","CPER_001.S.20140605.PASELO.01","Y","common carabid","PASELO","Pasimachus elongatus","species",,"LeConte",,1,,"P+EeY8owwbjzXaiaPoIJpc6mcpR6iWBh","Rjv/PyMx3k4oygLKYkCbuIDsccqDw9So",,0
"3276834DA54A481DAE6B3705E0DCBCA1","D10","CPER","CPER_001","W","2014-06-05","2014-06-06","2014-11-06","2014-11-06","CPER_001.W.20140605.PASELO.01","CPER_001.W.20140605.PASELO.01","Y","common carabid","PASELO","Pasimachus elongatus","species",,"LeConte",,2,,"P+EeY8owwbjzXaiaPoIJpc6mcpR6iWBh","Rjv/PyMx3k4oygLKYkCbuIDsccqDw9So",,0
"12A9BCFA022A46508F78927844548294","D10","CPER","CPER_002","E","2014-06-05","2014-06-06","2014-11-06",,"CPER_002.20140605.ib.01","CPER_002.20140605.ib.01","N","invert bycatch",,,,,,,,,,"Rjv/PyMx3k4oygLKYkCbuIDsccqDw9So",,2
"FA8BCE8A706B4BA1BC1122D6BC32B428","D10","CPER","CPER_002","W","2014-06-05","2014-06-06","2014-11-06",,"CPER_002.20140605.ib.01","CPER_002.20140605.ib.01","Y","invert bycatch",,,,,,,,,,"Rjv/PyMx3k4oygLKYkCbuIDsccqDw9So",,2
"1621B3E3527144FEB23BB196CE3F0B53","D10","CPER","CPER_002","N","2014-06-05","2014-06-06","2014-11-06",,"CPER_002.20140605.ib.01","CPER_002.20140605.ib.01","N","invert bycatch",,,,,,,,,,"Rjv/PyMx3k4oygLKYkCbuIDsccqDw9So",,2
"1AC0D03B64DD4D24A65F79C1961DCEE2","D10","CPER","CPER_002","S","2014-06-05","2014-06-06","2014-11-06",,"CPER_002.20140605.ib.01","CPER_002.20140605.ib.01","Y","invert bycatch",,,,,,,,,,"Rjv/PyMx3k4oygLKYkCbuIDsccqDw9So",,2
"268EBAED9AA24DCE9008850C7D3DD176","D10","CPER","CPER_002","S","2014-06-05","2014-06-06","2014-11-06","2014-11-06","CPER_002.S.20140605.PASELO.01","CPER_002.S.20140605.PASELO.01","Y","common carabid","PASELO","Pasimachus elongatus","species",,"LeConte",,1,,"P+EeY8owwbjzXaiaPoIJpc6mcpR6iWBh","Rjv/PyMx3k4oygLKYkCbuIDsccqDw9So",,0
"D3332B46E0564878BA2814274A5A4028","D10","CPER","CPER_002","W","2014-06-05","2014-06-06","2014-11-06","2014-11-06","CPER_002.W.20140605.PASELO.01","CPER_002.W.20140605.PASELO.01","Y","common carabid","PASELO","Pasimachus elongatus","species",,"LeConte",,1,,"P+EeY8owwbjzXaiaPoIJpc6mcpR6iWBh","Rjv/PyMx3k4oygLKYkCbuIDsccqDw9So",,0
"5977FAC568B7459791B9C3D05954567D","D10","CPER","CPER_002","W","2014-06-05","2014-06-06","2014-11-06",,"CPER_002.W.20140605.oc.01",,"Y","other carabid",,,,,,,,,,"Rjv/PyMx3k4oygLKYkCbuIDsccqDw9So",,0
"6DAB163AE7F94895BFF63B4D8384A7B7","D10","CPER","CPER_004","W","2014-06-05","2014-06-06","2014-11-06",,"CPER_004.20140605.ib.01","CPER_004.20140605.ib.01","N","invert bycatch",,,,,,,,,,"N7nP5pe6dRdg5ouR8ph2jkGtnTJtrcdp",,2
"31EA85EADE844AF4BADAB32F850356F8","D10","CPER","CPER_004","S","2014-06-05","2014-06-06","2014-11-06",,"CPER_004.20140605.ib.01","CPER_004.20140605.ib.01","Y","invert bycatch",,,,,,,,,,"XdS8CDjUuNjPJ6QmvBH0ukFyxBLMfwwN",,2
"5CB141CE9FBF4417B00091454045FF37","D10","CPER","CPER_004","N","2014-06-05","2014-06-06","2014-11-06",,"CPER_004.20140605.ib.01","CPER_004.20140605.ib.01","N","invert bycatch",,,,,,,,,,"N7nP5pe6dRdg5ouR8ph2jkGtnTJtrcdp",,2
"044625056F4445739B7BABF354501C79","D10","CPER","CPER_004","N","2014-06-05","2014-06-06","2014-11-06",,"CPER_004.20140605.ib.01","CPER_004.20140605.ib.01","Y","invert bycatch",,,,,,,,,,"XdS8CDjUuNjPJ6QmvBH0ukFyxBLMfwwN",,2
"E437D5C5D6BF4300A93C22035FA91651","D10","CPER","CPER_004","E","2014-06-05","2014-06-06","2014-11-06",,"CPER_004.E.20140605.oc.01",,"Y","other carabid",,,,,,,,,,"XdS8CDjUuNjPJ6QmvBH0ukFyxBLMfwwN",,0
"B0A86F4B6D034E628C261ACCE829AD03","D10","CPER","CPER_004","E","2014-06-05","2014-06-06","2014-11-06","2014-11-06","CPER_004.E.20140605.PASELO.01","CPER_004.E.20140605.PASELO.01","Y","common carabid","PASELO","Pasimachus elongatus","species",,"LeConte",,3,,"XXW8BqPXtz8Ncjf8bOi7gc6Hj7+NVXsl","XdS8CDjUuNjPJ6QmvBH0ukFyxBLMfwwN",,0
"1CAEA860E336469F94EAD1C6CC2796D3","D10","CPER","CPER_004","S","2014-06-05","2014-06-06","2014-11-06",,"CPER_004.S.20140605.oc.01",,"Y","other carabid",,,,,,,,,,"XdS8CDjUuNjPJ6QmvBH0ukFyxBLMfwwN",,0
"EB84E608169440BCB503D36F51A72589","D10","CPER","CPER_008","N","2014-06-05","2014-06-06","2014-11-06",,"CPER_008.20140605.ib.01","CPER_008.20140605.ib.01","N","invert bycatch",,,,,,,,,,"Rjv/PyMx3k4oygLKYkCbuIDsccqDw9So",,0
"4A491DB5D0EA43C99D033237EA959E79","D10","CPER","CPER_007","S","2014-06-05","2014-06-06","2014-11-06",,"CPER_007.20140605.ib.01","CPER_007.20140605.ib.01","Y","invert bycatch",,,,,,,,,,"Rjv/PyMx3k4oygLKYkCbuIDsccqDw9So",,2
"39425E7F4FC1465FB117F9A3A752FB22","D10","CPER","CPER_007","W","2014-06-05","2014-06-06","2014-11-06",,"CPER_007.20140605.ib.01","CPER_007.20140605.ib.01","N","invert bycatch",,,,,,,,,,"Rjv/PyMx3k4oygLKYkCbuIDsccqDw9So",,2
"A4A015F4E7B946D1B679714DA2635799","D10","CPER","CPER_007","E","2014-06-05","2014-06-06","2014-11-06",,"CPER_007.20140605.ib.01","CPER_007.20140605.ib.01","N","invert bycatch",,,,,,,,,,"Rjv/PyMx3k4oygLKYkCbuIDsccqDw9So",,2
"C827E280809049E084CAE2F7B1FE01DD","D10","CPER","CPER_007","N","2014-06-05","2014-06-06","2014-11-06",,"CPER_007.20140605.ib.01","CPER_007.20140605.ib.01","N","invert bycatch",,,,,,,,,,"P+EeY8owwbjzXaiaPoIJpc6mcpR6iWBh",,2
"3DF83A82725941E7A01FA35246D0BCEE","D10","CPER","CPER_007","S","2014-06-05","2014-06-06","2014-11-06","2014-11-06","CPER_007.S.20140605.PASELO.01","CPER_007.S.20140605.PASELO.01","Y","common carabid","PASELO","Pasimachus elongatus","species",,"LeConte",,1,,"P+EeY8owwbjzXaiaPoIJpc6mcpR6iWBh","P+EeY8owwbjzXaiaPoIJpc6mcpR6iWBh",,0
"7213612B78524E2A897924C667E98B9D","D10","CPER","CPER_009","E","2014-06-05","2014-06-06","2014-11-06",,"CPER_009.20140605.ib.02","CPER_009.20140605.ib.02","N","invert bycatch",,,,,,,,,,"Rjv/PyMx3k4oygLKYkCbuIDsccqDw9So",,2
"85AF4CF6A89741AB81A460B0621E7642","D10","CPER","CPER_009","N","2014-06-05","2014-06-06","2014-11-06",,"CPER_009.20140605.ib.02","CPER_009.20140605.ib.02","Y","invert bycatch",,,,,,,,,,"Rjv/PyMx3k4oygLKYkCbuIDsccqDw9So",,2
"682FF6DD19774B67AE971FC4EC5A31FC","D10","CPER","CPER_009","N","2014-06-05","2014-06-06","2014-11-06",,"CPER_009.N.20140605.oc.01",,"Y","other carabid",,,,,,,,,,"Rjv/PyMx3k4oygLKYkCbuIDsccqDw9So",,0
"C4A83C5D20494CAB8EF80A4169B853B1","D10","CPER","CPER_009","W","2014-06-05","2014-06-06","2014-11-06",,"CPER_009.20140605.ib.02","CPER_009.20140605.ib.02","N","invert bycatch",,,,,,,,,,"Rjv/PyMx3k4oygLKYkCbuIDsccqDw9So",,2
"46F39CAA8BC641CC8A8E9F7239127F53","D10","CPER","CPER_009","S","2014-06-05","2014-06-06","2014-11-06",,"CPER_009.20140605.ib.02","CPER_009.20140605.ib.02","N","invert bycatch",,,,,,,,,,"Rjv/PyMx3k4oygLKYkCbuIDsccqDw9So",,2
"CDA1FE1979C64096BC4C83739118A6A3","D10","CPER","CPER_010","E","2014-06-05","2014-06-06","2014-11-06","2014-11-07","CPER_010.E.20140605.PASELO.01","CPER_010.E.20140605.PASELO.01","Y","common carabid","PASELO","Pasimachus elongatus","species",,"LeConte",,2,,"XXW8BqPXtz8Ncjf8bOi7gc6Hj7+NVXsl","N7nP5pe6dRdg5ouR8ph2jkGtnTJtrcdp",,0
"2ABF9FA58FA64105AD0B54D9BE8861E6","D10","CPER","CPER_010","N","2014-06-05","2014-06-06","2014-11-06",,"CPER_010.20140605.ib.01","CPER_010.20140605.ib.01","N","invert bycatch",,,,,,,,,,"N7nP5pe6dRdg5ouR8ph2jkGtnTJtrcdp",,0
"0043D0CA8AFF49BE87819BF3A27C0F77","D10","CPER","CPER_010","W","2014-06-05","2014-06-06","2014-11-07","2014-11-07","CPER_010.W.20140605.EURGRO.01","CPER_010.W.20140605.EURGRO.01","Y","common carabid","EURGRO","Euryderus grossus","species",,"Say",,1,,"XXW8BqPXtz8Ncjf8bOi7gc6Hj7+NVXsl","N7nP5pe6dRdg5ouR8ph2jkGtnTJtrcdp",,0
"8880F0A6631B4CFB9EF68E17FB54EDBE","D10","CPER","CPER_005","W","2014-06-05","2014-06-06","2014-11-07",,"CPER_005.20140605.ib.01","CPER_005.20140605.ib.01","N","invert bycatch",,,,,,,,,,"N7nP5pe6dRdg5ouR8ph2jkGtnTJtrcdp",,2
"E9E3FBDB58034C3C95502F3CA2A4BCA2","D10","CPER","CPER_005","N","2014-06-05","2014-06-06","2014-11-07",,"CPER_005.20140605.ib.01","CPER_005.20140605.ib.01","N","invert bycatch",,,,,,,,,,"N7nP5pe6dRdg5ouR8ph2jkGtnTJtrcdp",,2
"C281F986463A425793CCDD927E09C80C","D10","CPER","CPER_005","S","2014-06-05","2014-06-06","2014-11-07",,"CPER_005.S.20140605.oc.01",,"Y","other carabid",,,,,,,,,,"N7nP5pe6dRdg5ouR8ph2jkGtnTJtrcdp",,0
"694C9F4435C847F5BDD9AC51ED06308D","D10","CPER","CPER_005","E","2014-06-05","2014-06-06","2014-11-07","2014-11-07","CPER_005.E.20140605.DYSGLO.01","CPER_005.E.20140605.DYSGLO.01","Y","common carabid","DYSGLO","Dyschirius globulosus","species",,"Say",,1,,"XXW8BqPXtz8Ncjf8bOi7gc6Hj7+NVXsl","N7nP5pe6dRdg5ouR8ph2jkGtnTJtrcdp",,0
"AADE8C41ABD748798B2249D6E300B974","D10","CPER","CPER_006","E","2014-06-05","2014-06-06","2014-11-06","2014-11-06","CPER_006.E.20140605.PASELO.01","CPER_006.E.20140605.PASELO.01","Y","common carabid","PASELO","Pasimachus elongatus","species",,"LeConte",,1,,"XXW8BqPXtz8Ncjf8bOi7gc6Hj7+NVXsl","N7nP5pe6dRdg5ouR8ph2jkGtnTJtrcdp",,0
"616777B99942400A80056D87FF0D23DD","D10","CPER","CPER_006","W","2014-06-05","2014-06-06","2014-11-06","2014-11-06","CPER_006.W.20140605.PASELO.01","CPER_006.W.20140605.PASELO.01","Y","common carabid","PASELO","Pasimachus elongatus","species",,"LeConte",,2,,"XXW8BqPXtz8Ncjf8bOi7gc6Hj7+NVXsl","Rjv/PyMx3k4oygLKYkCbuIDsccqDw9So",,0
"A99CB17D79D6439D8581B4F0E21B0846","D10","CPER","CPER_006","S","2014-06-05","2014-06-06","2014-11-06",,"CPER_006.20140605.ib.01","CPER_006.20140605.ib.01","N","invert bycatch",,,,,,,,,,"N7nP5pe6dRdg5ouR8ph2jkGtnTJtrcdp",,2
"76651C326C6A4D07847DF5D4E659930E","D10","CPER","CPER_006","N","2014-06-05","2014-06-06","2014-11-06",,"CPER_006.20140605.ib.01","CPER_006.20140605.ib.01","N","invert bycatch",,,,,,,,,,"N7nP5pe6dRdg5ouR8ph2jkGtnTJtrcdp",,2
"DC7305CA4D7E424584699FF21A8E75DE","D10","CPER","CPER_006","W","2014-06-05","2014-06-06","2014-11-06",,"CPER_006.20140605.ib.01","CPER_006.20140605.ib.01","Y","invert bycatch",,,,,,,,,,"XdS8CDjUuNjPJ6QmvBH0ukFyxBLMfwwN",,2
"4F2DD976F2FD4B008D2D15B46578EA10","D10","CPER","CPER_006","E","2014-06-05","2014-06-06","2014-11-06",,"CPER_006.20140605.ib.01","CPER_006.20140605.ib.01","Y","invert bycatch",,,,,,,,,,"XdS8CDjUuNjPJ6QmvBH0ukFyxBLMfwwN",,2
