"uid","domainID","siteID","plotID","trapID","nlcdClass","decimalLatitude","decimalLongitude","geodeticDatum","coordinateUncertainty","elevation","elevationUncertainty","setDate","collectDate","boutNumber","eventID","sampleID","daysOfTrapping","cupStatus","lidStatus","fluidLevel","trapReset","samplingProtocol","recordedBy","remarks","missingRecordsPerBoutQF","duplicateCollectionEventQF","compareSetCollectDateQF"
"8460EA3CB25D44669499ECE141C4E06E","D10","STER","STER_035","W","cultivatedCrops",40.469725,-103.016895,"WGS84",5.1,1362.2,0.1,"2014-06-10","2014-06-24",1,"BET.STER_035.2014.01","STER_035.W.20140624",14,"ok","ok","high","Y","NEON.DOC.014050","XXW8BqPXtz8Ncjf8bOi7gc6Hj7+NVXsl",,0,0,0
"2E0EB465C11343058B9C039DACDE5F50","D10","STER","STER_035","S","cultivatedCrops",40.469541,-103.016665,"WGS84",5.1,1362.2,0.1,"2014-06-10","2014-06-24",1,"BET.STER_035.2014.01","STER_035.S.20140624",14,"ok","ok","high","Y","NEON.DOC.014050","XXW8BqPXtz8Ncjf8bOi7gc6Hj7+NVXsl",,0,0,0
"402AD6CE55C544EAA57A0ADB5A820ED6","D10","STER","STER_035","N","cultivatedCrops",40.469901,-103.016654,"WGS84",5.1,1362.2,0.1,"2014-06-10","2014-06-24",1,"BET.STER_035.2014.01","STER_035.N.20140624",14,"disturbed","disturbed","ok","Y","NEON.DOC.014050","XXW8BqPXtz8Ncjf8bOi7gc6Hj7+NVXsl",,0,0,0
"86DF73DC495D4224A0F36C1FC7D27731","D10","STER","STER_035","E","cultivatedCrops",40.469717,-103.016424,"WGS84",5.1,1362.2,0.1,"2014-06-10","2014-06-24",1,"BET.STER_035.2014.01","STER_035.E.20140624",14,"ok","ok","ok","Y","NEON.DOC.014050","XXW8BqPXtz8Ncjf8bOi7gc6Hj7+NVXsl",,0,0,0
"68739D084375471C8AA5477131383BA6","D10","STER","STER_034","E","cultivatedCrops",40.478662,-103.019003,"WGS84",5.1,1365.8,0.2,"2014-06-10","2014-06-24",1,"BET.STER_034.2014.01","STER_034.E.20140624",14,"ok","disturbed","high","Y","NEON.DOC.014050","XXW8BqPXtz8Ncjf8bOi7gc6Hj7+NVXsl",,0,0,0
"044F474693F64AC4AC6CF60BD36F91D9","D10","STER","STER_034","W","cultivatedCrops",40.478670,-103.019475,"WGS84",5.1,1365.8,0.2,"2014-06-10","2014-06-24",1,"BET.STER_034.2014.01","STER_034.W.20140624",14,"ok","disturbed","low","Y","NEON.DOC.014050","XXW8BqPXtz8Ncjf8bOi7gc6Hj7+NVXsl",,0,0,0
"E202C0F4A5E4415B924435F5ED3B0C02","D10","STER","STER_034","N","cultivatedCrops",40.478846,-103.019234,"WGS84",5.1,1365.8,0.2,"2014-06-10","2014-06-24",1,"BET.STER_034.2014.01","STER_034.N.20140624",14,"ok","ok","high","Y","NEON.DOC.014050","XXW8BqPXtz8Ncjf8bOi7gc6Hj7+NVXsl",,0,0,0
"4F135A68C2614358992D2361A7E154EE","D10","STER","STER_034","S","cultivatedCrops",40.478486,-103.019244,"WGS84",5.1,1365.8,0.2,"2014-06-10","2014-06-24",1,"BET.STER_034.2014.01","STER_034.S.20140624",14,"ok","disturbed","high","Y","NEON.DOC.014050","XXW8BqPXtz8Ncjf8bOi7gc6Hj7+NVXsl",,0,0,0
"49FA71BB91884D37A3AA62E07FE9ACEF","D10","STER","STER_033","N","cultivatedCrops",40.476566,-103.011857,"WGS84",5.1,1356.6,0.2,"2014-06-10","2014-06-24",1,"BET.STER_033.2014.01","STER_033.N.20140624",14,"ok","ok","high","Y","NEON.DOC.014050","XXW8BqPXtz8Ncjf8bOi7gc6Hj7+NVXsl",,0,0,0
"C753624CC7014A3D8D023097EECB6A11","D10","STER","STER_033","W","cultivatedCrops",40.476390,-103.012098,"WGS84",5.1,1356.6,0.2,"2014-06-10","2014-06-24",1,"BET.STER_033.2014.01","STER_033.W.20140624",14,"ok","ok","ok","Y","NEON.DOC.014050","XXW8BqPXtz8Ncjf8bOi7gc6Hj7+NVXsl",,0,0,0
