"uid","domainID","siteID","plotID","trapID","collectDate","etOHChangeDate","processingDate","identifiedDate","associatedSampleID","sampleID","targetTaxaPresent","sampleType","taxonID","scientificName","taxonRank","identificationQualifier","scientificNameAuthorship","morphospeciesID","individualCount","identificationReferences","identifiedBy","recordedBy","remarks","duplicateSampleIDQF"
"B88406F206D54D7695B4A9A8E6FDCA7E","D10","STER","STER_006","W","2014-06-24","2014-06-25","2014-07-28",,"STER_006.W.20140624.oc.01",,"Y","other carabid",,,,,,,,,,"XXW8BqPXtz8Ncjf8bOi7gc6Hj7+NVXsl",,0
"E830A34B170D479EAFCE0B06EF02ACFD","D10","STER","STER_006","E","2014-06-24","2014-06-25","2014-07-28",,"STER_006.20140624.ib.01","STER_006.20140624.ib.01","N","invert bycatch",,,,,,,,,,"XXW8BqPXtz8Ncjf8bOi7gc6Hj7+NVXsl",,2
"3F5555F4B26A4A08BE3651954894BD51","D10","STER","STER_006","N","2014-06-24","2014-06-25","2014-07-28",,"STER_006.20140624.ib.01","STER_006.20140624.ib.01","Y","invert bycatch",,,,,,,,,,"XXW8BqPXtz8Ncjf8bOi7gc6Hj7+NVXsl",,2
"39534DC05D6E4C5BA511FF69ED3DB3CF","D10","STER","STER_006","S","2014-06-24","2014-06-25","2014-07-28",,"STER_006.20140624.ib.01","STER_006.20140624.ib.01","N","invert bycatch",,,,,,,,,,"XXW8BqPXtz8Ncjf8bOi7gc6Hj7+NVXsl",,2
"0A6FA2E5DB4644FF88DC1B4434EED171","D10","STER","STER_006","W","2014-06-24","2014-06-25","2014-07-28",,"STER_006.20140624.ib.01","STER_006.20140624.ib.01","Y","invert bycatch",,,,,,,,,,"XXW8BqPXtz8Ncjf8bOi7gc6Hj7+NVXsl",,2
"4351FD2CA01B467DB095F4963572C004","D10","STER","STER_006","N","2014-06-24","2014-06-25","2014-07-28","2014-11-26","STER_006.N.20140624.CYCTOR.01","STER_006.N.20140624.CYCTOR.01","Y","common carabid","CYCTOR","Cyclotrachelus torvus","species",,"LeConte",,2,,"XXW8BqPXtz8Ncjf8bOi7gc6Hj7+NVXsl","XXW8BqPXtz8Ncjf8bOi7gc6Hj7+NVXsl",,0
"93C0C7DA84C2495E918868D737D8F1FE","D10","STER","STER_026","S","2014-06-24","2014-06-25","2014-11-24",,"STER_026.20140624.ib.02","STER_026.20140624.ib.02","Y","invert bycatch",,,,,,,,,,"XXW8BqPXtz8Ncjf8bOi7gc6Hj7+NVXsl",,2
"21C3515E369D4447B4E3E1E48BF480FB","D10","STER","STER_026","W","2014-06-24","2014-06-25","2014-11-24","2014-11-24","STER_026.W.20140624.AMACAR.01","STER_026.W.20140624.AMACAR.01","Y","common carabid","AMACAR","Amara carinata","species",,"LeConte",,1,,"P+EeY8owwbjzXaiaPoIJpc6mcpR6iWBh","XXW8BqPXtz8Ncjf8bOi7gc6Hj7+NVXsl",,0
"EB436F53ECA44484956F87E8D8A22ADB","D10","STER","STER_026","W","2014-06-24","2014-06-25","2014-11-24",,"STER_026.20140624.ib.02","STER_026.20140624.ib.02","Y","invert bycatch",,,,,,,,,,"XXW8BqPXtz8Ncjf8bOi7gc6Hj7+NVXsl",,2
"F0E4D10199FA4BA59FA20078F3DEB7ED","D10","STER","STER_026","E","2014-06-24","2014-06-25","2014-11-24",,"STER_026.20140624.ib.02","STER_026.20140624.ib.02","N","invert bycatch",,,,,,,,,,"XXW8BqPXtz8Ncjf8bOi7gc6Hj7+NVXsl",,2
"49DC5F05E48A4394B407D7AFD979BA47","D10","STER","STER_026","N","2014-06-24","2014-06-25","2014-11-24",,"STER_026.20140624.ib.02","STER_026.20140624.ib.02","Y","invert bycatch",,,,,,,,,,"XXW8BqPXtz8Ncjf8bOi7gc6Hj7+NVXsl",,2
"D5E4ED1F2C03430F89E1DF68D85E99DB","D10","STER","STER_027","S","2014-06-24","2014-06-25","2014-07-25","2014-11-25","STER_027.S.20140624.POESCI.01","STER_027.S.20140624.POESCI.01","Y","common carabid","POESCI","Poecilus scitulus","species",,"LeConte",,1,,"P+EeY8owwbjzXaiaPoIJpc6mcpR6iWBh","XXW8BqPXtz8Ncjf8bOi7gc6Hj7+NVXsl",,0
"9AB01FCA91994DB6B2B029749C1F4F84","D10","STER","STER_027","N","2014-06-24","2014-06-25","2014-07-28",,"STER_027.N.20140624.oc.01",,"Y","other carabid",,,,,,,,,,"XXW8BqPXtz8Ncjf8bOi7gc6Hj7+NVXsl",,0
"1A0963B419C04AA0A13D51B4D2284B54","D10","STER","STER_027","N","2014-06-24","2014-06-25","2014-07-28","2014-11-26","STER_027.N.20140624.HARAMP.01","STER_027.N.20140624.HARAMP.01","Y","common carabid","HARAMP","Harpalus amputatus amputatus","subspecies",,"Say",,6,,"XXW8BqPXtz8Ncjf8bOi7gc6Hj7+NVXsl","XXW8BqPXtz8Ncjf8bOi7gc6Hj7+NVXsl",,0
"150F1042790B427FBDB8B781A855E814","D10","STER","STER_027","E","2014-06-24","2014-06-25","2014-07-28","2014-11-26","STER_027.E.20140624.HARAMP.01","STER_027.E.20140624.HARAMP.01","Y","common carabid","HARAMP","Harpalus amputatus amputatus","subspecies",,"Say",,1,,"XXW8BqPXtz8Ncjf8bOi7gc6Hj7+NVXsl","XXW8BqPXtz8Ncjf8bOi7gc6Hj7+NVXsl",,0
"B3BB5051BB924FC0B594ED062E56706F","D10","STER","STER_027","N","2014-06-24","2014-06-25","2014-10-09","2014-11-25","STER_027.N.20140624.CRADUB.01","STER_027.N.20140624.CRADUB.01","Y","common carabid","CRADUB","Cratacanthus dubius","species",,"Palisot de Beauvois",,1,,"P+EeY8owwbjzXaiaPoIJpc6mcpR6iWBh","XXW8BqPXtz8Ncjf8bOi7gc6Hj7+NVXsl",,0
"827F8D8B840D4879800E035F3D71E1CA","D10","STER","STER_027","N","2014-06-24","2014-06-25","2014-07-28",,"STER_027.20140624.ib.04","STER_027.20140624.ib.04","Y","invert bycatch",,,,,,,,,,"XXW8BqPXtz8Ncjf8bOi7gc6Hj7+NVXsl",,0
"1C802B80525A4B80BB2BC9FF6B61D254","D10","STER","STER_027","E","2014-06-24","2014-06-25","2014-07-28",,"STER_027.E.20140624.oc.01",,"Y","other carabid",,,,,,,,,,"XXW8BqPXtz8Ncjf8bOi7gc6Hj7+NVXsl",,0
"C8EE9C269E4544AE99BAFA3EB2A517FE","D10","STER","STER_027","N","2014-06-24","2014-06-25","2014-07-28","2014-11-26","STER_027.N.20140624.POESCI.01","STER_027.N.20140624.POESCI.01","Y","common carabid","POESCI","Poecilus scitulus","species",,"LeConte",,2,,"XXW8BqPXtz8Ncjf8bOi7gc6Hj7+NVXsl","XXW8BqPXtz8Ncjf8bOi7gc6Hj7+NVXsl",,0
"66D666A40B8942F68983FAEAB55C674A","D10","STER","STER_027","W","2014-06-24","2014-06-25","2014-07-28","2014-11-26","STER_027.W.20140624.HARAMP.01","STER_027.W.20140624.HARAMP.01","Y","common carabid","HARAMP","Harpalus amputatus amputatus","subspecies",,"Say",,1,,"XXW8BqPXtz8Ncjf8bOi7gc6Hj7+NVXsl","XXW8BqPXtz8Ncjf8bOi7gc6Hj7+NVXsl",,0
"2B138493078340FDBAE7D184358A4EBA","D10","STER","STER_028","S","2014-06-24","2014-06-25","2014-10-10","2014-11-24","STER_028.S.20140624.AMACAR.01","STER_028.S.20140624.AMACAR.01","Y","common carabid","AMACAR","Amara carinata","species",,"LeConte",,1,,"P+EeY8owwbjzXaiaPoIJpc6mcpR6iWBh","XXW8BqPXtz8Ncjf8bOi7gc6Hj7+NVXsl",,0
"04C7CB45797A478B87D60003F9D8A93B","D10","STER","STER_028","S","2014-06-24","2014-06-25","2014-10-10",,"STER_028.20140624.ib.01","STER_028.20140624.ib.01","Y","invert bycatch",,,,,,,,,,"XXW8BqPXtz8Ncjf8bOi7gc6Hj7+NVXsl",,2
"DA0707779FC84CCE9A0F2AEA73304CAF","D10","STER","STER_028","N","2014-06-24","2014-06-25","2014-10-10",,"STER_028.20140624.ib.01","STER_028.20140624.ib.01","Y","invert bycatch",,,,,,,,,,"XXW8BqPXtz8Ncjf8bOi7gc6Hj7+NVXsl",,2
"03BD96295C804C359C72A405888898B2","D10","STER","STER_028","E","2014-06-24","2014-06-25","2014-10-10",,"STER_028.20140624.ib.01","STER_028.20140624.ib.01","Y","invert bycatch",,,,,,,,,,"XXW8BqPXtz8Ncjf8bOi7gc6Hj7+NVXsl",,2
"5C3D22F8D5454C228A990CD5B878B781","D10","STER","STER_028","W","2014-06-24","2014-06-25","2014-10-10","2014-11-24","STER_028.W.20140624.CRADUB.01","STER_028.W.20140624.CRADUB.01","Y","common carabid","CRADUB","Cratacanthus dubius","species",,"Palisot de Beauvois",,7,,"P+EeY8owwbjzXaiaPoIJpc6mcpR6iWBh","XXW8BqPXtz8Ncjf8bOi7gc6Hj7+NVXsl",,0
"58A391CE6AFF4BC285BCD739C2A1E224","D10","STER","STER_028","E","2014-06-24","2014-06-25","2014-10-10",,"STER_028.E.20140624.oc.01",,"Y","other carabid",,,,,,,,,,"XXW8BqPXtz8Ncjf8bOi7gc6Hj7+NVXsl",,0
"676D6948BF5C449D81A0750E4F81EC2E","D10","STER","STER_028","W","2014-06-24","2014-06-25","2014-10-10",,"STER_028.20140624.ib.01","STER_028.20140624.ib.01","Y","invert bycatch",,,,,,,,,,"XXW8BqPXtz8Ncjf8bOi7gc6Hj7+NVXsl",,2
"5C4A663AE8C9422DB93475FAC790A5E6","D10","STER","STER_028","N","2014-06-24","2014-06-25","2014-10-10",,"STER_028.N.20140624.oc.01",,"Y","other carabid",,,,,,,,,,"XXW8BqPXtz8Ncjf8bOi7gc6Hj7+NVXsl",,0
"FEE63396FA694D71B350DC181F938A9C","D10","STER","STER_028","N","2014-06-24","2014-06-25","2014-10-10","2014-11-24","STER_028.N.20140624.PASELO.01","STER_028.N.20140624.PASELO.01","Y","common carabid","PASELO","Pasimachus elongatus","species",,"LeConte",,1,,"P+EeY8owwbjzXaiaPoIJpc6mcpR6iWBh","XXW8BqPXtz8Ncjf8bOi7gc6Hj7+NVXsl",,0
"C331D96BED68429784897B0E56727752","D10","STER","STER_028","S","2014-06-24","2014-06-25","2014-10-10",,"STER_028.S.20140624.oc.01",,"Y","other carabid",,,,,,,,,,"XXW8BqPXtz8Ncjf8bOi7gc6Hj7+NVXsl",,0
"F488092E6C0E4918996FF1EF6326169A","D10","STER","STER_029","N","2014-06-24","2014-06-25","2014-07-28",,"STER_029.N.20140624.oc.01",,"Y","other carabid",,,,,,,,,,"XXW8BqPXtz8Ncjf8bOi7gc6Hj7+NVXsl",,0
"296737D8C0204F00B37A72F1A1B47315","D10","STER","STER_029","N","2014-06-24","2014-06-25","2014-07-28","2014-11-26","STER_029.N.20140624.PASELO.01","STER_029.N.20140624.PASELO.01","Y","common carabid","PASELO","Pasimachus elongatus","species",,"LeConte",,1,,"XXW8BqPXtz8Ncjf8bOi7gc6Hj7+NVXsl","XXW8BqPXtz8Ncjf8bOi7gc6Hj7+NVXsl",,0
