uid,domainID,siteID,plotID,nlcdClass,decimalLatitude,decimalLongitude,geodeticDatum,coordinateUncertainty,elevation,elevationUncertainty,setDateTime,collectDateTime,localSetDateTime,localCollectDateTime,identifiedDate,sampleTiming,eventID,nightOrDay,trapHours,subsampleID,scientificName,sex,individualCount,estimatedAbundance,percentCounted,individualIDList,samplingProtocolVersion,identificationReferences,sortingLaboratoryName,idLaboratoryName,trapRecordedBy,sortedBy,identifiedBy,trappingRemarks,sortingRemarks,identificationRemarks,identificationLabRemarks,testingID,archiveID,trapCompromisedQF,sampleCompromisedAtTrapping,sampleCompromisedAtSorting,sampleCompromisedAtIDLab,idqQF,taxonRangeQF,duplicatesInTrappingQF,duplicatesInSortingQF,duplicatesInIdentificationQF
165C759C918F43018A3FD72376339C42,D03,OSBS,OSBS_056,evergreenForest,29.707942,-81.985398,WGS84,0.2,31.7,0.9,2014-04-08T22:46Z,2014-04-09T13:20Z,20140408.18,20140409.09,9/8/14,field season,OSBS.2014.14,night,14.5,OSBS_056.20140409.0920.S.01,Culex erraticus,F,39,39,100,MOS.D03.000577,NEON.DOC.014049vE,"Darsie Jr., R. F., and R. A. Ward. 2005. Identification and geographical distribution of the mosquitoes of North America, North of Mexico. University Press of Florida, Gainesville.",Colorado Mosquito Control,Colorado Mosquito Control,JPlYyEuagl4=,3Mdlhdfvdu6SJC7geZPRMQ==,M.J. Weissmann,,tech names may not be accurate,,,OSBS.2014.14.CULERR.F.T,OSBS.2014.14.CULERR.F.A,0,No known compromise,No known compromise,No known compromise,-1,1,0,0,0
9FBAA61704A74EE59A2190CFC59694D4,D03,OSBS,OSBS_056,evergreenForest,29.707942,-81.985398,WGS84,0.2,31.7,0.9,2014-04-08T22:46Z,2014-04-09T13:20Z,20140408.18,20140409.09,9/8/14,field season,OSBS.2014.14,night,14.5,OSBS_056.20140409.0920.S.01,Mansonia titillans,F,2,2,100,,NEON.DOC.014049vE,"Darsie Jr., R. F., and R. A. Ward. 2005. Identification and geographical distribution of the mosquitoes of North America, North of Mexico. University Press of Florida, Gainesville.",Colorado Mosquito Control,Colorado Mosquito Control,JPlYyEuagl4=,3Mdlhdfvdu6SJC7geZPRMQ==,M.J. Weissmann,,tech names may not be accurate,,,,OSBS.2014.14.MANTIT.F.A,0,No known compromise,No known compromise,No known compromise,-1,1,0,0,0
3122291B01D2412FABBE17FF599A6D24,D03,OSBS,OSBS_056,evergreenForest,29.707942,-81.985398,WGS84,0.2,31.7,0.9,2014-04-08T22:46Z,2014-04-09T13:20Z,20140408.18,20140409.09,9/8/14,field season,OSBS.2014.14,night,14.5,OSBS_056.20140409.0920.S.01,Culex nigripalpus,F,3,3,100,,NEON.DOC.014049vE,"Darsie Jr., R. F., and R. A. Ward. 2005. Identification and geographical distribution of the mosquitoes of North America, North of Mexico. University Press of Florida, Gainesville.",Colorado Mosquito Control,Colorado Mosquito Control,JPlYyEuagl4=,3Mdlhdfvdu6SJC7geZPRMQ==,M.J. Weissmann,,tech names may not be accurate,,,OSBS.2014.14.CULNIG.F.T,OSBS.2014.14.CULNIG.F.A,0,No known compromise,No known compromise,No known compromise,-1,0,0,0,0
1A60D6A6626841969F1D909BCF698A3E,D03,OSBS,OSBS_056,evergreenForest,29.707942,-81.985398,WGS84,0.2,31.7,0.9,2014-04-08T22:46Z,2014-04-09T13:20Z,20140408.18,20140409.09,9/8/14,field season,OSBS.2014.14,night,14.5,OSBS_056.20140409.0920.S.01,Aedes mitchellae,F,1,1,100,,NEON.DOC.014049vE,"Darsie Jr., R. F., and R. A. Ward. 2005. Identification and geographical distribution of the mosquitoes of North America, North of Mexico. University Press of Florida, Gainesville.",Colorado Mosquito Control,Colorado Mosquito Control,JPlYyEuagl4=,3Mdlhdfvdu6SJC7geZPRMQ==,M.J. Weissmann,,tech names may not be accurate,,,,OSBS.2014.14.AEDMIT.F.A,0,No known compromise,No known compromise,No known compromise,-1,0,0,0,0
AD2284C4B5E24693B84E172104D1257D,D03,OSBS,OSBS_056,evergreenForest,29.707942,-81.985398,WGS84,0.2,31.7,0.9,2014-04-08T22:46Z,2014-04-09T13:20Z,20140408.18,20140409.09,9/8/14,field season,OSBS.2014.14,night,14.5,OSBS_056.20140409.0920.S.01,Culex salinarius,F,26,26,100,,NEON.DOC.014049vE,"Darsie Jr., R. F., and R. A. Ward. 2005. Identification and geographical distribution of the mosquitoes of North America, North of Mexico. University Press of Florida, Gainesville.",Colorado Mosquito Control,Colorado Mosquito Control,JPlYyEuagl4=,3Mdlhdfvdu6SJC7geZPRMQ==,M.J. Weissmann,,tech names may not be accurate,,,OSBS.2014.14.CULSAL.F.T,OSBS.2014.14.CULSAL.F.A,0,No known compromise,No known compromise,No known compromise,-1,0,0,0,0
F0ABA98B7EED48BC88AFD1E8059F1622,D03,OSBS,OSBS_056,evergreenForest,29.707942,-81.985398,WGS84,0.2,31.7,0.9,2014-04-08T22:46Z,2014-04-09T13:20Z,20140408.18,20140409.09,9/8/14,field season,OSBS.2014.14,night,14.5,OSBS_056.20140409.0920.S.01,Anopheles crucians,F,177,177,100,MOS.D03.000545,NEON.DOC.014049vE,"Darsie Jr., R. F., and R. A. Ward. 2005. Identification and geographical distribution of the mosquitoes of North America, North of Mexico. University Press of Florida, Gainesville.",Colorado Mosquito Control,Colorado Mosquito Control,JPlYyEuagl4=,3Mdlhdfvdu6SJC7geZPRMQ==,M.J. Weissmann,,tech names may not be accurate,,,,OSBS.2014.14.ANOCRU.F.A,0,No known compromise,No known compromise,No known compromise,-1,0,0,0,0
C0EB6405FB0041DCB5AD4F533C87AAB6,D03,OSBS,OSBS_056,evergreenForest,29.707942,-81.985398,WGS84,0.2,31.7,0.9,2014-04-08T22:46Z,2014-04-09T13:20Z,20140408.18,20140409.09,9/8/14,field season,OSBS.2014.14,night,14.5,OSBS_056.20140409.0920.S.01,Anopheles sp.,F,7,7,100,,NEON.DOC.014049vE,"Darsie Jr., R. F., and R. A. Ward. 2005. Identification and geographical distribution of the mosquitoes of North America, North of Mexico. University Press of Florida, Gainesville.",Colorado Mosquito Control,Colorado Mosquito Control,JPlYyEuagl4=,3Mdlhdfvdu6SJC7geZPRMQ==,M.J. Weissmann,,tech names may not be accurate,specimens in poor condition,,,OSBS.2014.14.ANOSPP1.F.A,0,No known compromise,No known compromise,"Damaged, analysis affected",-1,0,0,0,0
1F3BDAA5A78E492EA9CBAEAD47C86062,D03,OSBS,OSBS_057,evergreenForest,29.725194,-81.987658,WGS84,0.9,35.3,1.2,2014-04-08T23:00Z,2014-04-09T13:40Z,20140408.19,20140409.09,9/8/14,field season,OSBS.2014.14,night,14.5,OSBS_057.20140409.0940.S.01,Aedes infirmatus,F,2,2,100,,NEON.DOC.014049vE,"Darsie Jr., R. F., and R. A. Ward. 2005. Identification and geographical distribution of the mosquitoes of North America, North of Mexico. University Press of Florida, Gainesville.",Colorado Mosquito Control,Colorado Mosquito Control,JPlYyEuagl4=,3Mdlhdfvdu6SJC7geZPRMQ==,M.J. Weissmann,,tech names may not be accurate,,,,OSBS.2014.14.AEDINF.F.A,0,No known compromise,No known compromise,No known compromise,-1,0,0,0,0
E160AD40867D4FEE83D042817134C412,D03,OSBS,OSBS_057,evergreenForest,29.725194,-81.987658,WGS84,0.9,35.3,1.2,2014-04-08T23:00Z,2014-04-09T13:40Z,20140408.19,20140409.09,9/8/14,field season,OSBS.2014.14,night,14.5,OSBS_057.20140409.0940.S.01,Culex erraticus,F,21,21,100,,NEON.DOC.014049vE,"Darsie Jr., R. F., and R. A. Ward. 2005. Identification and geographical distribution of the mosquitoes of North America, North of Mexico. University Press of Florida, Gainesville.",Colorado Mosquito Control,Colorado Mosquito Control,JPlYyEuagl4=,3Mdlhdfvdu6SJC7geZPRMQ==,M.J. Weissmann,,tech names may not be accurate,,,OSBS.2014.14.CULERR.F.T,OSBS.2014.14.CULERR.F.A,0,No known compromise,No known compromise,No known compromise,-1,1,0,0,0
D4FC618B56AD464C81879F4DA2A5A342,D03,OSBS,OSBS_057,evergreenForest,29.725194,-81.987658,WGS84,0.9,35.3,1.2,2014-04-08T23:00Z,2014-04-09T13:40Z,20140408.19,20140409.09,9/8/14,field season,OSBS.2014.14,night,14.5,OSBS_057.20140409.0940.S.01,Culiseta melanura,F,46,46,100,MOS.D03.000603,NEON.DOC.014049vE,"Darsie Jr., R. F., and R. A. Ward. 2005. Identification and geographical distribution of the mosquitoes of North America, North of Mexico. University Press of Florida, Gainesville.",Colorado Mosquito Control,Colorado Mosquito Control,JPlYyEuagl4=,3Mdlhdfvdu6SJC7geZPRMQ==,M.J. Weissmann,,tech names may not be accurate,,,,OSBS.2014.14.CULMEL.F.A,0,No known compromise,No known compromise,No known compromise,-1,0,0,0,0
