"uid","domainID","siteID","decimalLatitude","decimalLongitude","geodeticDatum","coordinateUncertainty","elevation","elevationUncertainty","startCollectDate","endCollectDate","archiveID","sampleTiming","scientificName","sex","archivedCount","archiveMedium","archiveVialIDList","archiveFacilityID","deprecatedVialID","samplingProtocolVersion","duplicatesInArchivePoolingQF"
"FB6F9797EB0E43D8A072953AC2214FC9","D08","TALL",32.914360,-87.426322,"WGS84",6763.8,111.7,38.3,"2014-05-07","2014-05-08","TALL.2014.18.AEDSTI.F.A","field season","Aedes sticticus","F",45,"Frozen -80C","TALL.2014.18.AEDSTI.F.A.01",,"TALL.2014.1.Aedes sticticus.Female","NEON.DOC.014049vE",0
"756AF422CF914BE6A93A71AB3107086A","D08","TALL",32.911551,-87.422379,"WGS84",6990.6,113.7,65.7,"2014-05-07","2014-05-08","TALL.2014.18.COQPER.F.A","field season","Coquillettidia perturbans","F",41,"Frozen -80C","TALL.2014.18.COQPER.F.A.01",,"TALL.2014.1.Coquillettidia perturbans.Female","NEON.DOC.014049vE",0
"A032BC28DBC84E35B7B27C45C11FF9AF","D08","TALL",32.914334,-87.413474,"WGS84",0.1,135.8,0.1,"2014-05-07","2014-05-08","TALL.2014.18.AEDALB.F.A","field season","Aedes albopictus","F",3,"Frozen -80C","TALL.2014.18.AEDALB.F.A.01",,"TALL.2014.1.Aedes albopictus.Female","NEON.DOC.014049vE",0
"4AC79687ED7043F8A6BA53AE5E3E916B","D08","TALL",32.907894,-87.416008,"WGS84",1293.7,118.8,27.3,"2014-05-07","2014-05-08","TALL.2014.18.ANOBAR.F.A","field season","Anopheles barberi","F",2,"Frozen -80C","TALL.2014.18.ANOBAR.F.A.01",,"TALL.2014.1.Anopheles barberi.Female","NEON.DOC.014049vE",0
"C2875384B0BC42338C8B146408CEC3C6","D08","TALL",32.907758,-87.450338,"WGS84",0.1,127.0,0.2,"2014-05-07","2014-05-08","TALL.2014.18.AEDTHI.F.A","field season","Aedes thibaulti","F",1,"Frozen -80C","TALL.2014.18.AEDTHI.F.A.01",,"TALL.2014.1.Aedes thibaulti.Female","NEON.DOC.014049vE",0
"594590002D664FDBB3DE9E7986261462","D08","TALL",32.913981,-87.423870,"WGS84",6753.3,117.8,61.7,"2014-05-07","2014-05-08","TALL.2014.18.AEDVEX.F.A","field season","Aedes vexans","F",53,"Frozen -80C","TALL.2014.18.AEDVEX.F.A.01",,"TALL.2014.1.Aedes vexans.Female","NEON.DOC.014049vE",0
"6A7DDFB25689451EBB76B3C8A48BCAD3","D08","TALL",32.914334,-87.413474,"WGS84",0.1,135.8,0.1,"2014-05-07","2014-05-08","TALL.2014.18.AEDVEX.M.A","field season","Aedes vexans","M",3,"Frozen -80C","TALL.2014.18.AEDVEX.M.A.01",,"TALL.2014.1.Aedes vexans.Male","NEON.DOC.014049vE",0
"9E633C0EFB234A899E258310A182FCE5","D08","TALL",32.973570,-87.408875,"WGS84",0.1,77.1,0.1,"2014-05-07","2014-05-08","TALL.2014.18.AEDCAN2.M.A","field season","Aedes canadensis","M",1,"Frozen -80C","TALL.2014.18.AEDCAN2.M.A.01",,"TALL.2014.1.Aedes canadensis.Male","NEON.DOC.014049vE",0
"B2894BB4043F4A02B5AB57B3529257C6","D08","TALL",32.948435,-87.428416,"WGS84",0.1,149.7,0.3,"2014-05-07","2014-05-08","TALL.2014.18.AEDJAP.F.A","field season","Aedes japonicus","F",1,"Frozen -80C","TALL.2014.18.AEDJAP.F.A.01",,"TALL.2014.1.Aedes japonicus.Female","NEON.DOC.014049vE",0
"B035506A7E9B4B7B9A9F364D2A858617","D08","TALL",32.905575,-87.413116,"WGS84",971.7,130.8,5.2,"2014-05-07","2014-05-08","TALL.2014.18.COQPER.M.A","field season","Coquillettidia perturbans","M",2,"Frozen -80C","TALL.2014.18.COQPER.M.A.01",,"TALL.2014.1.Coquillettidia perturbans.Male","NEON.DOC.014049vE",0
