"uid","domainID","siteID","plotID","nlcdClass","decimalLatitude","decimalLongitude","geodeticDatum","coordinateUncertainty","elevation","elevationUncertainty","setDateTime","collectDateTime","localSetDateTime","localCollectDateTime","identifiedDate","sampleTiming","eventID","nightOrDay","trapHours","subsampleID","scientificName","sex","individualCount","estimatedAbundance","percentCounted","individualIDList","samplingProtocolVersion","identificationReferences","sortingLaboratoryName","idLaboratoryName","trapRecordedBy","sortedBy","identifiedBy","trappingRemarks","sortingRemarks","identificationRemarks","identificationLabRemarks","testingID","archiveID","trapCompromisedQF","sampleCompromisedAtTrapping","sampleCompromisedAtSorting","sampleCompromisedAtIDLab","idqQF","taxonRangeQF","duplicatesInTrappingQF","duplicatesInSortingQF","duplicatesInIdentificationQF"
"602FF3A7880340BDAA7F80905E00B535","D08","TALL","TALL_034","deciduousForest",32.948435,-87.428416,"WGS84",0.1,149.7,0.3,"2014-05-06T21:53Z","2014-05-07T13:08Z","20140506.1653","20140507.0808","2014-08-23","field season","TALL.2014.18","night",15.5,"TALL_034.20140507.0808.S.01","Aedes japonicus","F",1,1,100,,"NEON.DOC.014049vE","Darsie Jr., R. F., and R. A. Ward. 2005. Identification and geographical distribution of the mosquitoes of North America, North of Mexico. University Press of Florida, Gainesville.","Colorado Mosquito Control","Colorado Mosquito Control","MWL103hooHY=","3Mdlhdfvdu6SJC7geZPRMQ==","M.J. Weissmann","QC - no transcription errors found","tech names may not be accurate",,,,"TALL.2014.18.AEDJAP.F.A",0,"No known compromise","No known compromise","No known compromise",-1,1,0,0,0
"EE76E8105AAB4573808C71BD522826B0","D08","TALL","TALL_034","deciduousForest",32.948435,-87.428416,"WGS84",0.1,149.7,0.3,"2014-05-06T21:53Z","2014-05-07T13:08Z","20140506.1653","20140507.0808","2014-08-23","field season","TALL.2014.18","night",15.5,"TALL_034.20140507.0808.S.01","Aedes sticticus","F",1,1,100,"MOS.D08.000028","NEON.DOC.014049vE","Darsie Jr., R. F., and R. A. Ward. 2005. Identification and geographical distribution of the mosquitoes of North America, North of Mexico. University Press of Florida, Gainesville.","Colorado Mosquito Control","Colorado Mosquito Control","MWL103hooHY=","3Mdlhdfvdu6SJC7geZPRMQ==","M.J. Weissmann","QC - no transcription errors found","tech names may not be accurate",,,,"TALL.2014.18.AEDSTI.F.A",0,"No known compromise","No known compromise","No known compromise",-1,0,0,0,0
"18E15A20F4894D0E841E47176500D580","D08","TALL","TALL_034","deciduousForest",32.948435,-87.428416,"WGS84",0.1,149.7,0.3,"2014-05-06T21:53Z","2014-05-07T13:08Z","20140506.1653","20140507.0808","2014-08-23","field season","TALL.2014.18","night",15.5,"TALL_034.20140507.0808.S.01","Aedes vexans","F",7,7,100,,"NEON.DOC.014049vE","Darsie Jr., R. F., and R. A. Ward. 2005. Identification and geographical distribution of the mosquitoes of North America, North of Mexico. University Press of Florida, Gainesville.","Colorado Mosquito Control","Colorado Mosquito Control","MWL103hooHY=","3Mdlhdfvdu6SJC7geZPRMQ==","M.J. Weissmann","QC - no transcription errors found","tech names may not be accurate",,,"TALL.2014.18.AEDVEX.F.T","TALL.2014.18.AEDVEX.F.A",0,"No known compromise","No known compromise","No known compromise",-1,0,0,0,0
"1ADDC4E9780E4513AD22FDB6D1636F25","D08","TALL","TALL_037","mixedForest",32.909110,-87.442949,"WGS84",0.2,102.3,0.3,"2014-05-06T21:02Z","2014-05-07T13:27Z","20140506.1602","20140507.0827","2014-08-23","field season","TALL.2014.18","night",16.5,"TALL_037.20140507.0827.S.01","Psorophora ferox","F",2,2,100,"MOS.D08.000108","NEON.DOC.014049vE","Darsie Jr., R. F., and R. A. Ward. 2005. Identification and geographical distribution of the mosquitoes of North America, North of Mexico. University Press of Florida, Gainesville.","Colorado Mosquito Control","Colorado Mosquito Control","7tJMJuQ70/Y=","3Mdlhdfvdu6SJC7geZPRMQ==","M.J. Weissmann","QC - no transcription errors found","tech names may not be accurate",,,,"TALL.2014.18.PSOFER.F.A",0,"No known compromise","No known compromise","No known compromise",-1,0,0,0,0
"0BEFD6E9AFCB44458F88742FED9DDCB9","D08","TALL","TALL_037","mixedForest",32.909110,-87.442949,"WGS84",0.2,102.3,0.3,"2014-05-06T21:02Z","2014-05-07T13:27Z","20140506.1602","20140507.0827","2014-08-23","field season","TALL.2014.18","night",16.5,"TALL_037.20140507.0827.S.01","Aedes canadensis","F",37,37,100,,"NEON.DOC.014049vE","Darsie Jr., R. F., and R. A. Ward. 2005. Identification and geographical distribution of the mosquitoes of North America, North of Mexico. University Press of Florida, Gainesville.","Colorado Mosquito Control","Colorado Mosquito Control","7tJMJuQ70/Y=","3Mdlhdfvdu6SJC7geZPRMQ==","M.J. Weissmann","QC - no transcription errors found","tech names may not be accurate",,,"TALL.2014.18.AEDCAN2.F.T","TALL.2014.18.AEDCAN2.F.A",0,"No known compromise","No known compromise","No known compromise",-1,0,0,0,0
"F9F84E38997742368FED49908AABF8AC","D08","TALL","TALL_037","mixedForest",32.909110,-87.442949,"WGS84",0.2,102.3,0.3,"2014-05-06T21:02Z","2014-05-07T13:27Z","20140506.1602","20140507.0827","2014-08-23","field season","TALL.2014.18","night",16.5,"TALL_037.20140507.0827.S.01","Aedes triseriatus","F",2,2,100,,"NEON.DOC.014049vE","Darsie Jr., R. F., and R. A. Ward. 2005. Identification and geographical distribution of the mosquitoes of North America, North of Mexico. University Press of Florida, Gainesville.","Colorado Mosquito Control","Colorado Mosquito Control","7tJMJuQ70/Y=","3Mdlhdfvdu6SJC7geZPRMQ==","M.J. Weissmann","QC - no transcription errors found","tech names may not be accurate","possibly Ae. hendersoni",,,"TALL.2014.18.AEDTRI1.F.A",0,"No known compromise","No known compromise","No known compromise",0,0,0,0,0
"122ABFF8808F41BB80A9ADD3188BA19A","D08","TALL","TALL_037","mixedForest",32.909110,-87.442949,"WGS84",0.2,102.3,0.3,"2014-05-06T21:02Z","2014-05-07T13:27Z","20140506.1602","20140507.0827","2014-08-23","field season","TALL.2014.18","night",16.5,"TALL_037.20140507.0827.S.01","Aedes vexans","F",3,3,100,,"NEON.DOC.014049vE","Darsie Jr., R. F., and R. A. Ward. 2005. Identification and geographical distribution of the mosquitoes of North America, North of Mexico. University Press of Florida, Gainesville.","Colorado Mosquito Control","Colorado Mosquito Control","7tJMJuQ70/Y=","3Mdlhdfvdu6SJC7geZPRMQ==","M.J. Weissmann","QC - no transcription errors found","tech names may not be accurate",,,"TALL.2014.18.AEDVEX.F.T","TALL.2014.18.AEDVEX.F.A",0,"No known compromise","No known compromise","No known compromise",-1,0,0,0,0
"01FF97EA4C9148B48814685664513AB2","D08","TALL","TALL_037","mixedForest",32.909110,-87.442949,"WGS84",0.2,102.3,0.3,"2014-05-06T21:02Z","2014-05-07T13:27Z","20140506.1602","20140507.0827","2014-08-23","field season","TALL.2014.18","night",16.5,"TALL_037.20140507.0827.S.01","Aedes sticticus","F",2,2,100,"MOS.D08.000032","NEON.DOC.014049vE","Darsie Jr., R. F., and R. A. Ward. 2005. Identification and geographical distribution of the mosquitoes of North America, North of Mexico. University Press of Florida, Gainesville.","Colorado Mosquito Control","Colorado Mosquito Control","7tJMJuQ70/Y=","3Mdlhdfvdu6SJC7geZPRMQ==","M.J. Weissmann","QC - no transcription errors found","tech names may not be accurate",,,,"TALL.2014.18.AEDSTI.F.A",0,"No known compromise","No known compromise","No known compromise",-1,0,0,0,0
"60EFB526E14745BFBE66AC0DEEE1E749","D08","TALL","TALL_036","mixedForest",32.907758,-87.450338,"WGS84",0.1,127.0,0.2,"2014-05-06T21:18Z","2014-05-07T13:37Z","20140506.1618","20140507.0837","2014-08-23","field season","TALL.2014.18","night",16.5,"TALL_036.20140507.0837.S.01","Coquillettidia perturbans","F",2,2,100,,"NEON.DOC.014049vE","Darsie Jr., R. F., and R. A. Ward. 2005. Identification and geographical distribution of the mosquitoes of North America, North of Mexico. University Press of Florida, Gainesville.","Colorado Mosquito Control","Colorado Mosquito Control","7tJMJuQ70/Y=","3Mdlhdfvdu6SJC7geZPRMQ==","M.J. Weissmann","QC - no transcription errors found","tech names may not be accurate",,,"TALL.2014.18.COQPER.F.T","TALL.2014.18.COQPER.F.A",0,"No known compromise","No known compromise","No known compromise",-1,0,0,0,0
"279FC73B039046649A55D5F51902F0F1","D08","TALL","TALL_036","mixedForest",32.907758,-87.450338,"WGS84",0.1,127.0,0.2,"2014-05-06T21:18Z","2014-05-07T13:37Z","20140506.1618","20140507.0837","2014-08-23","field season","TALL.2014.18","night",16.5,"TALL_036.20140507.0837.S.01","Aedes canadensis","F",17,17,100,,"NEON.DOC.014049vE","Darsie Jr., R. F., and R. A. Ward. 2005. Identification and geographical distribution of the mosquitoes of North America, North of Mexico. University Press of Florida, Gainesville.","Colorado Mosquito Control","Colorado Mosquito Control","7tJMJuQ70/Y=","3Mdlhdfvdu6SJC7geZPRMQ==","M.J. Weissmann","QC - no transcription errors found","tech names may not be accurate",,,"TALL.2014.18.AEDCAN2.F.T","TALL.2014.18.AEDCAN2.F.A",0,"No known compromise","No known compromise","No known compromise",-1,0,0,0,0
