"uid","domainID","siteID","plotID","nlcdClass","decimalLatitude","decimalLongitude","geodeticDatum","coordinateUncertainty","elevation","elevationUncertainty","setDateTime","collectDateTime","localSetDateTime","localCollectDateTime","sampleTiming","eventID","nightOrDay","trapHours","sampleID","targetTaxaPresent","samplingProtocolVersion","trapRecordedBy","trappingRemarks","trapCompromisedQF","sampleCompromisedAtTrapping","sampleLostQF","duplicatesInTrappingQF"
"D50D62D704114E55B720D2666C05ABB7","D08","TALL","TALL_034","deciduousForest",32.948435,-87.428416,"WGS84",0.1,149.7,0.3,"2014-05-06T21:53Z","2014-05-07T13:08Z","20140506.1653","20140507.0808","field season","TALL.2014.18","night",15.5,"TALL_034.20140507.0808","Y","NEON.DOC.014049vE","MWL103hooHY=","QC - no transcription errors found",0,"No known compromise",0,0
"AA3C09EC22214730ACAD811CA3C8A137","D08","TALL","TALL_037","mixedForest",32.909110,-87.442949,"WGS84",0.2,102.3,0.3,"2014-05-06T21:02Z","2014-05-07T13:27Z","20140506.1602","20140507.0827","field season","TALL.2014.18","night",16.5,"TALL_037.20140507.0827","Y","NEON.DOC.014049vE","7tJMJuQ70/Y=","QC - no transcription errors found",0,"No known compromise",0,0
"345C108B6515412896AA160B52DB1365","D08","TALL","TALL_028","evergreenForest",32.923034,-87.413517,"WGS84",0.2,179.3,0.2,"2014-05-06T22:14Z","2014-05-07T13:30Z","20140506.1714","20140507.0830","field season","TALL.2014.18","night",15.5,,"N","NEON.DOC.014049vE","MWL103hooHY=","QC - no transcription errors found",0,"No known compromise",-1,0
"73DFCEFDE98C4E29994C291BC3917B28","D08","TALL","TALL_036","mixedForest",32.907758,-87.450338,"WGS84",0.1,127.0,0.2,"2014-05-06T21:18Z","2014-05-07T13:37Z","20140506.1618","20140507.0837","field season","TALL.2014.18","night",16.5,"TALL_036.20140507.0837","Y","NEON.DOC.014049vE","7tJMJuQ70/Y=","QC - no transcription errors found",0,"No known compromise",0,0
"D338D7A486DE4552BFD68C0A213D6442","D08","TALL","TALL_039","evergreenForest",32.916037,-87.406101,"WGS84",0.2,145.8,0.2,"2014-05-06T22:29Z","2014-05-07T13:41Z","20140506.1729","20140507.0841","field season","TALL.2014.18","night",15.0,"TALL_039.20140507.0841","Y","NEON.DOC.014049vE","MWL103hooHY=","QC - no transcription errors found",0,"No known compromise",0,0
"0962685D98534272A0855FBDC71FBC86","D08","TALL","TALL_038","evergreenForest",32.914334,-87.413474,"WGS84",0.1,135.8,0.1,"2014-05-06T22:44Z","2014-05-07T13:56Z","20140506.1744","20140507.0856","field season","TALL.2014.18","night",15.0,"TALL_038.20140507.0856","Y","NEON.DOC.014049vE","MWL103hooHY=","QC - no transcription errors found",0,"No known compromise",0,0
"33D2BCCD9C444C2D8DDCFF5F1E9F94AC","D08","TALL","TALL_041","deciduousForest",32.881294,-87.438992,"WGS84",0.2,86.1,0.2,"2014-05-06T21:49Z","2014-05-07T14:02Z","20140506.1649","20140507.0902","field season","TALL.2014.18","night",16.0,"TALL_041.20140507.0902","Y","NEON.DOC.014049vE","7tJMJuQ70/Y=","QC - no transcription errors found",0,"No known compromise",0,0
"B77E95BB27634F8EBD34FB7D7873E494","D08","TALL","TALL_040","deciduousForest",32.899750,-87.425914,"WGS84",0.2,91.8,0.3,"2014-05-06T22:59Z","2014-05-07T14:14Z","20140506.1759","20140507.0914","field season","TALL.2014.18","night",15.5,"TALL_040.20140507.0914","Y","NEON.DOC.014049vE","MWL103hooHY=","QC - no transcription errors found. lightbulb had been left installed overnight. removed during this morning collection",0,"No known compromise",0,0
"7E4606A3BB9340AC9D92DAD0B117A660","D08","TALL","TALL_035","evergreenForest",32.896817,-87.412758,"WGS84",0.1,125.7,0.1,"2014-05-06T22:10Z","2014-05-07T14:27Z","20140506.1710","20140507.0927","field season","TALL.2014.18","night",16.5,"TALL_035.20140507.0927","Y","NEON.DOC.014049vE","7tJMJuQ70/Y=","QC - no transcription errors found",0,"No known compromise",0,0
"209815DEA5F141CDA47AAF792068DA34","D08","TALL","TALL_033","mixedForest",32.973570,-87.408875,"WGS84",0.1,77.1,0.1,"2014-05-06T23:04Z","2014-05-07T15:10Z","20140506.1804","20140507.1010","field season","TALL.2014.18","night",16.0,"TALL_033.20140507.1010","Y","NEON.DOC.014049vE","7tJMJuQ70/Y=","QC - no transcription errors found",0,"No known compromise",0,0
