"uid","domainID","siteID","decimalLatitude","decimalLongitude","geodeticDatum","coordinateUncertainty","elevation","elevationUncertainty","startCollectDate","endCollectDate","archiveID","sampleTiming","scientificName","sex","archivedCount","archiveMedium","archiveVialIDList","archiveFacilityID","deprecatedVialID","samplingProtocolVersion","duplicatesInArchivePoolingQF"
"C44EF41A648044D09688758BE7925F4C","D10","CPER",40.845700,-104.764050,"WGS84",0.1,1662.5,0.1,"2014-05-20","2014-05-21","CPER.2014.20.CULINO.F.A","field season","Culiseta inornata","F",1,"Frozen -80C","CPER.2014.20.CULINO.F.A.01",,"cPER.2014.1.Culiseta inornata.Female","NEON.DOC.014049vE",0
"60D224BB83B34F6590834A358873D623","D10","CPER",40.838041,-104.725745,"WGS84",3339.4,1645.5,20.8,"2014-05-20","2014-05-21","CPER.2014.20.AEDDOR.F.A","field season","Aedes dorsalis","F",6,"Frozen -80C","CPER.2014.20.AEDDOR.F.A.01",,"CPER.2014.1.Aedes dorsalis.Female","NEON.DOC.014049vE",0
"900959E6868140D58CEEB350BD616C7D","D10","CPER",40.837116,-104.732133,"WGS84",4176.0,1647.0,14.2,"2014-06-04","2014-06-05","CPER.2014.22.CULINO.F.A","field season","Culiseta inornata","F",8,"Frozen -80C","CPER.2014.22.CULINO.F.A.01",,"CPER.2014.2.Culiseta inornata.Female","NEON.DOC.014049vE",0
"4A560239216E4996841FCB87D612D3CE","D10","CPER",40.842921,-104.713539,"WGS84",4269.3,1642.9,19.7,"2014-06-04","2014-06-05","CPER.2014.22.AEDNIG.F.A","field season","Aedes nigromaculis","F",13,"Frozen -80C","CPER.2014.22.AEDNIG.F.A.01",,"CPER.2014.2.Aedes nigromaculis.Female","NEON.DOC.014049vE",0
"3C1C3D7232004E04837CFC9194115193","D10","CPER",40.838127,-104.725283,"WGS84",3440.3,1643.9,9.8,"2014-06-04","2014-06-05","CPER.2014.22.CULTAR.F.A","field season","Culex tarsalis","F",3,"Frozen -80C","CPER.2014.22.CULTAR.F.A.01",,"CPER.2014.2.Culex tarsalis.Female","NEON.DOC.014049vE",0
"AA6BE0852FEA424B9496E561E7F5C2AF","D10","CPER",40.837903,-104.729613,"WGS84",4610.1,1646.4,21.7,"2014-06-04","2014-06-05","CPER.2014.22.AEDDOR.F.A","field season","Aedes dorsalis","F",245,"Frozen -80C","CPER.2014.22.AEDDOR.F.A.01",,"CPER.2014.2.Aedes dorsalis.Female","NEON.DOC.014049vE",0
"C3CE1D8B6D6F443B80E547360F114831","D10","CPER",40.826505,-104.742891,"WGS84",4478.6,1640.3,15.6,"2014-06-17","2014-06-18","CPER.2014.24.CULTAR.F.A","field season","Culex tarsalis","F",9,"Frozen -80C","CPER.2014.24.CULTAR.F.A.01",,"CPER.2014.3.Culex tarsalis.Female","NEON.DOC.014049vE",0
"0B4F0A350CE145E7AC5B69F23DB8E0B2","D10","CPER",40.818996,-104.765165,"WGS84",987.7,1643.1,3.8,"2014-06-17","2014-06-18","CPER.2014.24.PSOSIG.F.A","field season","Psorophora signipennis","F",27,"Frozen -80C","CPER.2014.24.PSOSIG.F.A.01",,"CPER.2014.3.Psorophora signipennis.Female","NEON.DOC.014049vE",0
"D80E07B1DAE440CEBF2489989AADF95B","D10","CPER",40.845700,-104.764050,"WGS84",0.1,1662.5,0.1,"2014-06-17","2014-06-18","CPER.2014.24.AEDFLA.F.A","field season","Aedes flavescens","F",1,"Frozen -80C","CPER.2014.24.AEDFLA.F.A.01",,"CPER.2014.3.Aedes flavescens.Female","NEON.DOC.014049vE",0
"DAF2F0671CD547F68E67F8DC41504FDD","D10","CPER",40.847775,-104.725614,"WGS84",0.1,1650.8,0.1,"2014-06-17","2014-06-18","CPER.2014.24.OCHSPE.F.A","field season","Ochlerotatus spencerii idahoensis","F",1,"Frozen -80C","CPER.2014.24.OCHSPE.F.A.01",,"CPER.2014.3.Aedes idahoensis.Female","NEON.DOC.014049vE",0
"6CF534C61244437C88ED07706657822B","D10","CPER",40.830063,-104.726733,"WGS84",3067.4,1635.7,11.0,"2014-06-17","2014-06-18","CPER.2014.24.AEDVEX.F.A","field season","Aedes vexans","F",3,"Frozen -80C","CPER.2014.24.AEDVEX.F.A.01",,"CPER.2014.3.Aedes vexans.Female","NEON.DOC.014049vE",0
"4A33A56515354A0396977B1EA1777870","D10","CPER",40.837602,-104.729730,"WGS84",4581.5,1645.6,21.0,"2014-06-17","2014-06-18","CPER.2014.24.AEDDOR.F.A","field season","Aedes dorsalis","F",103,"Frozen -80C","CPER.2014.24.AEDDOR.F.A.01",,"CPER.2014.3.Aedes dorsalis.Female","NEON.DOC.014049vE",0
"8C52A885EEE9437FBFCF83DB833309E7","D10","CPER",40.829067,-104.746630,"WGS84",5149.7,1645.9,21.3,"2014-06-17","2014-06-18","CPER.2014.24.AEDNIG.F.A","field season","Aedes nigromaculis","F",206,"Frozen -80C","CPER.2014.24.AEDNIG.F.A.01",,"CPER.2014.3.Aedes nigromaculis.Female","NEON.DOC.014049vE",0
