"uid","domainID","siteID","plotID","nlcdClass","decimalLatitude","decimalLongitude","geodeticDatum","coordinateUncertainty","elevation","elevationUncertainty","setDateTime","collectDateTime","localSetDateTime","localCollectDateTime","identifiedDate","sampleTiming","eventID","nightOrDay","trapHours","subsampleID","scientificName","sex","individualCount","estimatedAbundance","percentCounted","individualIDList","samplingProtocolVersion","identificationReferences","sortingLaboratoryName","idLaboratoryName","trapRecordedBy","sortedBy","identifiedBy","trappingRemarks","sortingRemarks","identificationRemarks","identificationLabRemarks","testingID","archiveID","trapCompromisedQF","sampleCompromisedAtTrapping","sampleCompromisedAtSorting","sampleCompromisedAtIDLab","idqQF","taxonRangeQF","duplicatesInTrappingQF","duplicatesInSortingQF","duplicatesInIdentificationQF"
"E2C249B916744184AB2C0ADBBB923BAE","D10","CPER","CPER_084","grasslandHerbaceous",40.845700,-104.764050,"WGS84",0.1,1662.5,0.1,"2014-05-20T00:22Z","2014-05-20T13:07Z","20140519.1822","20140520.0707","2014-09-11","field season","CPER.2014.20","night",13,"CPER_084.20140520.0707.S.01","Aedes dorsalis","F",2,2,100,,"NEON.DOC.014049vE","Darsie Jr., R. F., and R. A. Ward. 2005. Identification and geographical distribution of the mosquitoes of North America, North of Mexico. University Press of Florida, Gainesville.","Colorado Mosquito Control","Colorado Mosquito Control","XXW8BqPXtz9SVhPzC4oUWA==","3Mdlhdfvdu6SJC7geZPRMQ==","M.J. Weissmann",,"tech names may not be accurate",,,,"CPER.2014.20.AEDDOR.F.A",0,"No known compromise","No known compromise","No known compromise",-1,0,0,0,0
"C4E94E9F635745ABB59392F1B99A78C5","D10","CPER","CPER_080","grasslandHerbaceous",40.831098,-104.760543,"WGS84",0.1,1660.4,0.1,"2014-05-20T00:33Z","2014-05-20T13:40Z","20140519.1833","20140520.0740","2014-09-11","field season","CPER.2014.20","night",13,"CPER_080.20140520.0740.S.01","Aedes dorsalis","F",2,2,100,,"NEON.DOC.014049vE","Darsie Jr., R. F., and R. A. Ward. 2005. Identification and geographical distribution of the mosquitoes of North America, North of Mexico. University Press of Florida, Gainesville.","Colorado Mosquito Control","Colorado Mosquito Control","XXW8BqPXtz9SVhPzC4oUWA==","3Mdlhdfvdu6SJC7geZPRMQ==","M.J. Weissmann",,"tech names may not be accurate",,,,"CPER.2014.20.AEDDOR.F.A",0,"No known compromise","No known compromise","No known compromise",-1,0,0,0,0
"02E5159B85A546F18E57F22F302F5B10","D10","CPER","CPER_083","grasslandHerbaceous",40.840911,-104.687576,"WGS84",0.1,1634.2,0.1,"2014-05-19T23:22Z","2014-05-20T15:17Z","20140519.1722","20140520.0917","2014-09-11","field season","CPER.2014.20","night",16,"CPER_083.20140520.0917.S.01","Aedes dorsalis","F",1,1,100,,"NEON.DOC.014049vE","Darsie Jr., R. F., and R. A. Ward. 2005. Identification and geographical distribution of the mosquitoes of North America, North of Mexico. University Press of Florida, Gainesville.","Colorado Mosquito Control","Colorado Mosquito Control","XXW8BqPXtz9SVhPzC4oUWA==","3Mdlhdfvdu6SJC7geZPRMQ==","M.J. Weissmann",,"tech names may not be accurate",,,,"CPER.2014.20.AEDDOR.F.A",0,"No known compromise","No known compromise","No known compromise",-1,0,0,0,0
"ABED9F897A0D4DBD95381DA4961589EE","D10","CPER","CPER_078","grasslandHerbaceous",40.834431,-104.690811,"WGS84",0.1,1624.8,0.1,"2014-05-20T22:37Z","2014-05-21T12:02Z","20140520.1637","20140521.0602","2014-09-11","field season","CPER.2014.20","night",13.5,"CPER_078.20140521.0602.S.01","Aedes dorsalis","F",1,1,100,,"NEON.DOC.014049vE","Darsie Jr., R. F., and R. A. Ward. 2005. Identification and geographical distribution of the mosquitoes of North America, North of Mexico. University Press of Florida, Gainesville.","Colorado Mosquito Control","Colorado Mosquito Control","XXW8BqPXtz9SVhPzC4oUWA==","3Mdlhdfvdu6SJC7geZPRMQ==","M.J. Weissmann",,"tech names may not be accurate",,,,"CPER.2014.20.AEDDOR.F.A",0,"No known compromise","No known compromise","No known compromise",-1,0,0,0,0
"B10F040FFC0F4DD19204C3A83B69E5B3","D10","CPER","CPER_084","grasslandHerbaceous",40.845700,-104.764050,"WGS84",0.1,1662.5,0.1,"2014-05-21T00:03Z","2014-05-21T13:01Z","20140520.1803","20140521.0701","2014-09-11","field season","CPER.2014.20","night",13,"CPER_084.20140521.0701.S.01","Culiseta inornata","F",1,1,100,,"NEON.DOC.014049vE","Darsie Jr., R. F., and R. A. Ward. 2005. Identification and geographical distribution of the mosquitoes of North America, North of Mexico. University Press of Florida, Gainesville.","Colorado Mosquito Control","Colorado Mosquito Control","XXW8BqPXtz9SVhPzC4oUWA==","3Mdlhdfvdu6SJC7geZPRMQ==","M.J. Weissmann",,"tech names may not be accurate",,,,"CPER.2014.20.CULINO.F.A",0,"No known compromise","No known compromise","No known compromise",-1,0,0,0,0
"00C81E07EECA4848BDDBF1C2FEB48F75","D10","CPER","CPER_088","grasslandHerbaceous",40.811915,-104.772255,"WGS84",0.1,1639.9,0.1,"2014-06-04T02:40Z","2014-06-04T12:00Z","20140603.2040","20140604.0600","2014-08-08","field season","CPER.2014.22","night",9.5,"CPER_088.20140604.0600.S.01","Aedes dorsalis","F",10,10,100,,"NEON.DOC.014049vE","Darsie Jr., R. F., and R. A. Ward. 2005. Identification and geographical distribution of the mosquitoes of North America, North of Mexico. University Press of Florida, Gainesville.","Colorado Mosquito Control","Colorado Mosquito Control","5cJrGWs5ZbE+2stOtk3fwA==","3Mdlhdfvdu6SJC7geZPRMQ==","M.J. Weissmann",,"tech names may not be accurate",,,"CPER.2014.22.AEDDOR.F.T","CPER.2014.22.AEDDOR.F.A",0,"No known compromise","No known compromise","No known compromise",-1,0,0,0,0
"CD51A51180E843779E3F9789D6C05E4D","D10","CPER","CPER_078","grasslandHerbaceous",40.834431,-104.690811,"WGS84",0.1,1624.8,0.1,"2014-06-04T00:00Z","2014-06-04T12:27Z","20140603.1800","20140604.0627","2014-10-14","field season","CPER.2014.22","night",12.5,"CPER_078.20140604.0627.S.01","Aedes nigromaculis","F",1,1,100,,"NEON.DOC.014049vE","Darsie Jr., R. F., and R. A. Ward. 2005. Identification and geographical distribution of the mosquitoes of North America, North of Mexico. University Press of Florida, Gainesville.","Colorado Mosquito Control","Colorado Mosquito Control","5cJrGWs5ZbE+2stOtk3fwA==","3Mdlhdfvdu6SJC7geZPRMQ==","M.J. Weissmann",,"tech names may not be accurate",,,,"CPER.2014.22.AEDNIG.F.A",0,"No known compromise","No known compromise","No known compromise",-1,0,0,0,0
"74A9C42E78F147919AC4E1EC5355A51C","D10","CPER","CPER_078","grasslandHerbaceous",40.834431,-104.690811,"WGS84",0.1,1624.8,0.1,"2014-06-04T00:00Z","2014-06-04T12:27Z","20140603.1800","20140604.0627","2014-10-14","field season","CPER.2014.22","night",12.5,"CPER_078.20140604.0627.S.01","Aedes dorsalis","F",12,12,100,,"NEON.DOC.014049vE","Darsie Jr., R. F., and R. A. Ward. 2005. Identification and geographical distribution of the mosquitoes of North America, North of Mexico. University Press of Florida, Gainesville.","Colorado Mosquito Control","Colorado Mosquito Control","5cJrGWs5ZbE+2stOtk3fwA==","3Mdlhdfvdu6SJC7geZPRMQ==","M.J. Weissmann",,"tech names may not be accurate",,,"CPER.2014.22.AEDDOR.F.T","CPER.2014.22.AEDDOR.F.A",0,"No known compromise","No known compromise","No known compromise",-1,0,0,0,0
"32FD148F817446B2B6AE61E19A9CF2F3","D10","CPER","CPER_083","grasslandHerbaceous",40.840911,-104.687576,"WGS84",0.1,1634.2,0.1,"2014-06-04T00:20Z","2014-06-04T12:41Z","20140603.1820","20140604.0641","2014-08-08","field season","CPER.2014.22","night",12.5,"CPER_083.20140604.0641.S.01","Aedes dorsalis","F",16,16,100,"MOS.D10.000949","NEON.DOC.014049vE","Darsie Jr., R. F., and R. A. Ward. 2005. Identification and geographical distribution of the mosquitoes of North America, North of Mexico. University Press of Florida, Gainesville.","Colorado Mosquito Control","Colorado Mosquito Control","5cJrGWs5ZbE+2stOtk3fwA==","3Mdlhdfvdu6SJC7geZPRMQ==","M.J. Weissmann",,"tech names may not be accurate",,,"CPER.2014.22.AEDDOR.F.T","CPER.2014.22.AEDDOR.F.A",0,"No known compromise","No known compromise","No known compromise",-1,0,0,0,0
"433E3E1E32AE4919A7331C9D2EA2B8D4","D10","CPER","CPER_083","grasslandHerbaceous",40.840911,-104.687576,"WGS84",0.1,1634.2,0.1,"2014-06-04T00:20Z","2014-06-04T12:41Z","20140603.1820","20140604.0641","2014-08-08","field season","CPER.2014.22","night",12.5,"CPER_083.20140604.0641.S.01","Aedes nigromaculis","F",1,1,100,,"NEON.DOC.014049vE","Darsie Jr., R. F., and R. A. Ward. 2005. Identification and geographical distribution of the mosquitoes of North America, North of Mexico. University Press of Florida, Gainesville.","Colorado Mosquito Control","Colorado Mosquito Control","5cJrGWs5ZbE+2stOtk3fwA==","3Mdlhdfvdu6SJC7geZPRMQ==","M.J. Weissmann",,"tech names may not be accurate",,,,"CPER.2014.22.AEDNIG.F.A",0,"No known compromise","No known compromise","No known compromise",-1,0,0,0,0
