"uid","domainID","siteID","plotID","nlcdClass","decimalLatitude","decimalLongitude","geodeticDatum","coordinateUncertainty","elevation","elevationUncertainty","setDateTime","collectDateTime","localSetDateTime","localCollectDateTime","sampleTiming","eventID","nightOrDay","trapHours","sampleID","targetTaxaPresent","samplingProtocolVersion","trapRecordedBy","trappingRemarks","trapCompromisedQF","sampleCompromisedAtTrapping","sampleLostQF","duplicatesInTrappingQF"
"21D93656F65248489AD4D1DABC406688","D10","CPER","CPER_088","grasslandHerbaceous",40.811915,-104.772255,"WGS84",0.1,1639.9,0.1,"2014-05-20T01:09Z","2014-05-20T12:20Z","20140519.1909","20140520.0620","field season","CPER.2014.20","night",11.0,,"N","NEON.DOC.014049vE","XXW8BqPXtz9SVhPzC4oUWA==",,0,"No known compromise",-1,0
"1A7862370C214C908D98A81D3D37F618","D10","CPER","CPER_089","grasslandHerbaceous",40.812702,-104.763102,"WGS84",0.1,1639.5,0.1,"2014-05-20T01:02Z","2014-05-20T12:33Z","20140519.1902","20140520.0633","field season","CPER.2014.20","night",11.5,,"N","NEON.DOC.014049vE","XXW8BqPXtz9SVhPzC4oUWA==",,0,"No known compromise",-1,0
"EC970FDE68294D4AB6968B4A07F5DACE","D10","CPER","CPER_087","grasslandHerbaceous",40.825683,-104.762650,"WGS84",0.1,1646.6,0.1,"2014-05-20T00:49Z","2014-05-20T12:49Z","20140519.1849","20140520.0649","field season","CPER.2014.20","night",12.0,,"N","NEON.DOC.014049vE","XXW8BqPXtz9SVhPzC4oUWA==","catchCupStatus may not be accurate",1,"No known compromise",-1,0
"73A0619C7C634D33AFFE640FB7E28D83","D10","CPER","CPER_084","grasslandHerbaceous",40.845700,-104.764050,"WGS84",0.1,1662.5,0.1,"2014-05-20T00:22Z","2014-05-20T13:07Z","20140519.1822","20140520.0707","field season","CPER.2014.20","night",13.0,"CPER_084.20140520.0707","Y","NEON.DOC.014049vE","XXW8BqPXtz9SVhPzC4oUWA==",,0,"No known compromise",0,0
"3EE7413B27954CADB53AB522BA9DCA1C","D10","CPER","CPER_080","grasslandHerbaceous",40.831098,-104.760543,"WGS84",0.1,1660.4,0.1,"2014-05-20T00:33Z","2014-05-20T13:40Z","20140519.1833","20140520.0740","field season","CPER.2014.20","night",13.0,"CPER_080.20140520.0740","Y","NEON.DOC.014049vE","XXW8BqPXtz9SVhPzC4oUWA==",,0,"No known compromise",0,0
"BA998B00DC2749BBA8314CE20B5106F2","D10","CPER","CPER_086","grasslandHerbaceous",40.847775,-104.725614,"WGS84",0.1,1650.8,0.1,"2014-05-20T00:04Z","2014-05-20T14:18Z","20140519.1804","20140520.0818","field season","CPER.2014.20","night",14.0,,"N","NEON.DOC.014049vE","XXW8BqPXtz9SVhPzC4oUWA==",,0,"No known compromise",-1,0
"894AD87AE66640A6A022E86F67BAF4D3","D10","CPER","CPER_090","grasslandHerbaceous",40.855550,-104.714539,"WGS84",0.1,1661.1,0.1,"2014-05-19T23:50Z","2014-05-20T14:40Z","20140519.1750","20140520.0840","field season","CPER.2014.20","night",15.0,,"N","NEON.DOC.014049vE","XXW8BqPXtz9SVhPzC4oUWA==",,0,"No known compromise",-1,0
"646EAE87FCFD41EA8F18D95B0D7C5658","D10","CPER","CPER_082","grasslandHerbaceous",40.854510,-104.688209,"WGS84",0.1,1640.8,0.1,"2014-05-19T23:35Z","2014-05-20T15:02Z","20140519.1735","20140520.0902","field season","CPER.2014.20","night",15.5,,"N","NEON.DOC.014049vE","XXW8BqPXtz9SVhPzC4oUWA==",,0,"No known compromise",-1,0
"232E59A9BE824A09B592A015BC5242AD","D10","CPER","CPER_083","grasslandHerbaceous",40.840911,-104.687576,"WGS84",0.1,1634.2,0.1,"2014-05-19T23:22Z","2014-05-20T15:17Z","20140519.1722","20140520.0917","field season","CPER.2014.20","night",16.0,"CPER_083.20140520.0917","Y","NEON.DOC.014049vE","XXW8BqPXtz9SVhPzC4oUWA==",,0,"No known compromise",0,0
"F803A61774DC4704AC525CA6C7F1402E","D10","CPER","CPER_078","grasslandHerbaceous",40.834431,-104.690811,"WGS84",0.1,1624.8,0.1,"2014-05-19T22:58Z","2014-05-20T15:38Z","20140519.1658","20140520.0938","field season","CPER.2014.20","night",16.5,,"N","NEON.DOC.014049vE","XXW8BqPXtz9SVhPzC4oUWA==","catchCupStatus may not be accurate",1,"No known compromise",-1,0
"1301856D2E2948E988D98DFBDA3F2EC7","D10","CPER","CPER_078","grasslandHerbaceous",40.834431,-104.690811,"WGS84",0.1,1624.8,0.1,"2014-05-20T15:38Z","2014-05-20T22:37Z","20140520.0938","20140520.1637","field season","CPER.2014.20","day",7.0,,"N","NEON.DOC.014049vE","XXW8BqPXtz9SVhPzC4oUWA==",,0,"No known compromise",-1,0
"F7919B3B188C4A6FB77DF98536692316","D10","CPER","CPER_083","grasslandHerbaceous",40.840911,-104.687576,"WGS84",0.1,1634.2,0.1,"2014-05-20T15:17Z","2014-05-20T22:53Z","20140520.0917","20140520.1653","field season","CPER.2014.20","day",7.5,,"N","NEON.DOC.014049vE","XXW8BqPXtz9SVhPzC4oUWA==",,0,"No known compromise",-1,0
"FD80477C7DF44730BD8A7190159F5E80","D10","CPER","CPER_082","grasslandHerbaceous",40.854510,-104.688209,"WGS84",0.1,1640.8,0.1,"2014-05-20T15:02Z","2014-05-20T23:11Z","20140520.0902","20140520.1711","field season","CPER.2014.20","day",8.0,,"N","NEON.DOC.014049vE","XXW8BqPXtz9SVhPzC4oUWA==",,0,"No known compromise",-1,0
"44594392AE05485BABD861B0A5249062","D10","CPER","CPER_090","grasslandHerbaceous",40.855550,-104.714539,"WGS84",0.1,1661.1,0.1,"2014-05-20T14:40Z","2014-05-20T23:30Z","20140520.0840","20140520.1730","field season","CPER.2014.20","day",9.0,"CPER_090.20140520.1730","Y","NEON.DOC.014049vE","XXW8BqPXtz9SVhPzC4oUWA==",,0,"No known compromise",1,0
"66B0DFF6EFC54C0F8811706A67BFCBCB","D10","CPER","CPER_086","grasslandHerbaceous",40.847775,-104.725614,"WGS84",0.1,1650.8,0.1,"2014-05-20T14:18Z","2014-05-20T23:42Z","20140520.0818","20140520.1742","field season","CPER.2014.20","day",9.5,,"N","NEON.DOC.014049vE","XXW8BqPXtz9SVhPzC4oUWA==",,0,"No known compromise",-1,0
