"uid","domainID","siteID","decimalLatitude","decimalLongitude","geodeticDatum","coordinateUncertainty","elevation","elevationUncertainty","startCollectDate","endCollectDate","archiveID","sampleTiming","scientificName","sex","archivedCount","archiveMedium","archiveVialIDList","archiveFacilityID","deprecatedVialID","samplingProtocolVersion","duplicatesInArchivePoolingQF"
"B71B862D17E743F094842FF5474F3FEE","D10","STER",40.471566,-103.023133,"WGS84",1266.9,1358.2,5.8,"2014-06-10","2014-06-11","STER.2014.23.AEDVEX.F.A","field season","Aedes vexans","F",11,"Frozen -80C","STER.2014.23.AEDVEX.F.A.01",,"STER.2014.2.Aedes vexans.Female","NEON.DOC.014049vE",0
"F7C49583D4ED4736A9B0E09234CFC058","D10","STER",40.474114,-103.021772,"WGS84",1470.6,1360.9,8.6,"2014-06-10","2014-06-11","STER.2014.23.AEDNIG.F.A","field season","Aedes nigromaculis","F",59,"Frozen -80C","STER.2014.23.AEDNIG.F.A.01",,"STER.2014.2.Aedes nigromaculis.Female","NEON.DOC.014049vE",0
"E01645BE233E486BB382370A40839B50","D10","STER",40.475994,-103.024984,"WGS84",0.1,1359.0,0.1,"2014-06-10","2014-06-11","STER.2014.23.CULINO.F.A","field season","Culiseta inornata","F",1,"Frozen -80C","STER.2014.23.CULINO.F.A.01",,"STER.2014.2.Culiseta inornata.Female","NEON.DOC.014049vE",0
"8FFFB7A778594A138D7DF99A075022D4","D10","STER",40.466783,-103.036213,"WGS84",0.1,1363.0,0.1,"2014-06-10","2014-06-11","STER.2014.23.CULINO.M.A","field season","Culiseta inornata","M",1,"Frozen -80C","STER.2014.23.CULINO.M.A.01",,"STER.2014.2.Culiseta inornata.Male","NEON.DOC.014049vE",0
"D9A00119F62041ACB6EC19C4663EE54C","D10","STER",40.477497,-103.018278,"WGS84",1337.4,1361.8,9.5,"2014-06-10","2014-06-11","STER.2014.23.CULTAR.F.A","field season","Culex tarsalis","F",28,"Frozen -80C","STER.2014.23.CULTAR.F.A.01",,"STER.2014.2.Culex tarsalis.Female","NEON.DOC.014049vE",0
"CCFEA25B69624D79B58EC04EF8E2E5FC","D10","STER",40.474345,-103.020568,"WGS84",1570.2,1361.2,8.9,"2014-06-10","2014-06-11","STER.2014.23.PSOSIG.F.A","field season","Psorophora signipennis","F",32,"Frozen -80C","STER.2014.23.PSOSIG.F.A.01",,"STER.2014.2.Psorophora signipennis.Female","NEON.DOC.014049vE",0
"D53AE0160A4B4C5F9162219F5F5C2F25","D10","STER",40.474528,-103.020755,"WGS84",1567.8,1361.3,9.0,"2014-06-10","2014-06-11","STER.2014.23.AEDDOR.F.A","field season","Aedes dorsalis","F",181,"Frozen -80C","STER.2014.23.AEDDOR.F.A.01",,"STER.2014.2.Aedes dorsalis.Female","NEON.DOC.014049vE",0
"B5465E2601BC40B58812E651EE72E717","D10","STER",40.472527,-103.023377,"WGS84",1324.0,1360.4,8.1,"2014-07-08","2014-07-09","STER.2014.27.AEDNIG.F.A","field season","Aedes nigromaculis","F",11,"Frozen -80C","STER.2014.27.AEDNIG.F.A.01",,"STER.2014.3.Aedes nigromaculis.Female","NEON.DOC.014049vE",0
"B2963E3EE45E44188CDF4AA06122FED1","D10","STER",40.473965,-103.021629,"WGS84",1471.6,1361.0,8.7,"2014-07-08","2014-07-09","STER.2014.27.AEDDOR.F.A","field season","Aedes dorsalis","F",128,"Frozen -80C","STER.2014.27.AEDDOR.F.A.01",,"STER.2014.3.Aedes dorsalis.Female","NEON.DOC.014049vE",0
"08B0DE20958F4E80B1CB453D7CF7229E","D10","STER",40.471918,-103.008202,"WGS84",0.1,1352.4,0.1,"2014-07-08","2014-07-09","STER.2014.27.AEDVEX.M.A","field season","Aedes vexans","M",1,"Frozen -80C","STER.2014.27.AEDVEX.M.A.01",,"STER.2014.3.Aedes vexans.Male","NEON.DOC.014049vE",0
"85A0E7AFB6B54B0AADBC5B954897B842","D10","STER",40.473690,-103.021134,"WGS84",1491.2,1362.7,4.2,"2014-07-08","2014-07-09","STER.2014.27.PSOSIG.F.A","field season","Psorophora signipennis","F",6,"Frozen -80C","STER.2014.27.PSOSIG.F.A.01",,"STER.2014.3.Psorophora signipennis.Female","NEON.DOC.014049vE",0
"9C91B56949034374BE17F2ED120A419F","D10","STER",40.471918,-103.008202,"WGS84",0.1,1352.4,0.1,"2014-07-08","2014-07-09","STER.2014.27.CULTAR.M.A","field season","Culex tarsalis","M",1,"Frozen -80C","STER.2014.27.CULTAR.M.A.01",,"STER.2014.3.Culex tarsalis.Male","NEON.DOC.014049vE",0
"7A82BB6AD89E48209D77E20086F169DE","D10","STER",40.474829,-103.021385,"WGS84",1542.6,1361.3,8.9,"2014-07-08","2014-07-09","STER.2014.27.CULTAR.F.A","field season","Culex tarsalis","F",354,"Frozen -80C","STER.2014.27.CULTAR.F.A.01",,"STER.2014.3.Culex tarsalis.Female","NEON.DOC.014049vE",0
"182C3B7CDF5D4BEAB487D3DF8BFBFB53","D10","STER",40.471918,-103.008202,"WGS84",0.1,1352.4,0.1,"2014-07-08","2014-07-09","STER.2014.27.AEDVEX.F.A","field season","Aedes vexans","F",1,"Frozen -80C","STER.2014.27.AEDVEX.F.A.01",,"STER.2014.3.Aedes vexans.Female","NEON.DOC.014049vE",0
"A4D6BD60E0034AF39E9B2699840D38B9","D10","STER",40.466783,-103.036213,"WGS84",0.1,1363.0,0.1,"2014-08-05","2014-08-06","STER.2014.31.CULSPP3.F.A","field season","Culex sp.","F",1,"Frozen -80C","STER.2014.31.CULSPP3.F.A.01",,"STER.2014.4.Culex spp.Female","NEON.DOC.014049vE",0
"4B882AE9FDC649DF97DFC481EF2BC448","D10","STER",40.479212,-103.023603,"WGS84",923.9,1362.9,4.6,"2014-08-05","2014-08-06","STER.2014.31.PSOSIG.F.A","field season","Psorophora signipennis","F",9,"Frozen -80C","STER.2014.31.PSOSIG.F.A.01",,"STER.2014.4.Psorophora signipennis.Female","NEON.DOC.014049vE",0
"25BF722A90FB4701A8CC01D2549DAC79","D10","STER",40.472900,-103.027013,"WGS84",1034.5,1361.6,5.9,"2014-08-05","2014-08-06","STER.2014.31.AEDNIG.F.A","field season","Aedes nigromaculis","F",5,"Frozen -80C","STER.2014.31.AEDNIG.F.A.01",,"STER.2014.4.Aedes nigromaculis.Female","NEON.DOC.014049vE",0
"BBED0FC0D7EF44D985259A1685CF1A4D","D10","STER",40.472900,-103.027013,"WGS84",1034.5,1361.6,5.9,"2014-08-05","2014-08-06","STER.2014.31.AEDVEX.F.A","field season","Aedes vexans","F",4,"Frozen -80C","STER.2014.31.AEDVEX.F.A.01",,"STER.2014.4.Aedes vexans.Female","NEON.DOC.014049vE",0
"D9EE6CD6E11848E28A56C44312062CB2","D10","STER",40.474540,-103.022087,"WGS84",1475.5,1361.4,9.0,"2014-08-05","2014-08-06","STER.2014.31.CULTAR.F.A","field season","Culex tarsalis","F",2102,"Frozen -80C","STER.2014.31.CULTAR.F.A.02",,"STER.2014.4.Culex tarsalis.Female","NEON.DOC.014049vE",0
"23857D07E80344E58E6E10FE3583F428","D10","STER",40.478528,-103.027012,"WGS84",0.1,1361.3,0.1,"2014-08-05","2014-08-06","STER.2014.31.AEDSPP.F.A","field season","Aedes sp.","F",2,"Frozen -80C","STER.2014.31.AEDSPP.F.A.01",,"STER.2014.4.Aedes spp.Female","NEON.DOC.014049vE",0
"630D788CA1FD44488DE4B4E55B32E076","D10","STER",40.473383,-103.026824,"WGS84",0.1,1365.7,0.1,"2014-09-03","2014-09-04","STER.2014.35.AEDMEL.F.A","field season","Aedes melanimon","F",1,"Frozen -80C","STER.2014.35.AEDMEL.F.A.01",,"STER.2014.5.Aedes melanimon.Female","NEON.DOC.014049vE",0
"2A125D8A754F43738543011F1B9119A6","D10","STER",40.480006,-103.026441,"WGS84",171.2,1364.4,3.1,"2014-09-03","2014-09-04","STER.2014.35.CULSAL.F.A","field season","Culex salinarius","F",2,"Frozen -80C","STER.2014.35.CULSAL.F.A.01",,"STER.2014.5.Culex salinarius.Female","NEON.DOC.014049vE",0
"14903B1CEC584C74AC1A60990103D83A","D10","STER",40.468897,-103.018710,"WGS84",952.2,1356.0,3.7,"2014-09-03","2014-09-04","STER.2014.35.CULINO.F.A","field season","Culiseta inornata","F",3,"Frozen -80C","STER.2014.35.CULINO.F.A.01",,"STER.2014.5.Culiseta inornata.Female","NEON.DOC.014049vE",0
"8C8299D4988440DAB2D10D1A6D0E54F8","D10","STER",40.466783,-103.036213,"WGS84",0.1,1363.0,0.1,"2014-09-03","2014-09-04","STER.2014.35.AEDTRI.F.A","field season","Aedes trivittatus","F",1,"Frozen -80C","STER.2014.35.AEDTRI.F.A.01",,"STER.2014.5.Aedes trivittatus.Female","NEON.DOC.014049vE",0
"2A08C569CD5A4C16B6A3D6984AF91693","D10","STER",40.474341,-103.021841,"WGS84",1479.8,1361.4,9.0,"2014-09-03","2014-09-04","STER.2014.35.PSOSIG.F.A","field season","Psorophora signipennis","F",403,"Frozen -80C","STER.2014.35.PSOSIG.F.A.01",,"STER.2014.5.Psorophora signipennis.Female","NEON.DOC.014049vE",0
"4E7E20AC5C8246BABF6508EA9D010445","D10","STER",40.474095,-103.022557,"WGS84",1414.4,1361.2,8.9,"2014-09-03","2014-09-04","STER.2014.35.AEDVEX.F.A","field season","Aedes vexans","F",734,"Frozen -80C","STER.2014.35.AEDVEX.F.A.01",,"STER.2014.5.Aedes vexans.Female","NEON.DOC.014049vE",0
"E90D3A63DEBC4CE594B4F42260A032BD","D10","STER",40.474856,-103.022259,"WGS84",1484.5,1361.6,9.3,"2014-09-03","2014-09-04","STER.2014.35.AEDNIG.F.A","field season","Aedes nigromaculis","F",261,"Frozen -80C","STER.2014.35.AEDNIG.F.A.01",,"STER.2014.5.Aedes nigromaculis.Female","NEON.DOC.014049vE",0
"3B5E251863DE419AB6EBAAD07104E221","D10","STER",40.474341,-103.021841,"WGS84",1479.8,1361.4,9.0,"2014-09-03","2014-09-04","STER.2014.35.AEDDOR.F.A","field season","Aedes dorsalis","F",313,"Frozen -80C","STER.2014.35.AEDDOR.F.A.01",,"STER.2014.5.Aedes dorsalis.Female","NEON.DOC.014049vE",0
"51677C05AA75487EA35C1BCD92F9B695","D10","STER",40.467338,-103.020986,"WGS84",0.1,1357.0,0.1,"2014-09-03","2014-09-04","STER.2014.35.AEDVEX.M.A","field season","Aedes vexans","M",1,"Frozen -80C","STER.2014.35.AEDVEX.M.A.01",,"STER.2014.5.Aedes vexans.Male","NEON.DOC.014049vE",0
