"uid","domainID","siteID","plotID","nlcdClass","decimalLatitude","decimalLongitude","geodeticDatum","coordinateUncertainty","elevation","elevationUncertainty","setDateTime","collectDateTime","localSetDateTime","localCollectDateTime","identifiedDate","sampleTiming","eventID","nightOrDay","trapHours","subsampleID","scientificName","sex","individualCount","estimatedAbundance","percentCounted","individualIDList","samplingProtocolVersion","identificationReferences","sortingLaboratoryName","idLaboratoryName","trapRecordedBy","sortedBy","identifiedBy","trappingRemarks","sortingRemarks","identificationRemarks","identificationLabRemarks","testingID","archiveID","trapCompromisedQF","sampleCompromisedAtTrapping","sampleCompromisedAtSorting","sampleCompromisedAtIDLab","idqQF","taxonRangeQF","duplicatesInTrappingQF","duplicatesInSortingQF","duplicatesInIdentificationQF"
"9440F92C02724B9A8CEFF3DEEB0EACC0","D10","STER","STER_037","cultivatedCrops",40.479029,-103.008241,"WGS84",0.1,1363.6,0.1,"2014-06-10T00:23Z","2014-06-10T12:46Z","20140609.1823","20140610.0646","2014-08-10","field season","STER.2014.23","night",12.5,"STER_037.20140610.0646.S.01","Aedes dorsalis","F",1,1,100,"MOS.D10.001000","NEON.DOC.014049vE","Darsie Jr., R. F., and R. A. Ward. 2005. Identification and geographical distribution of the mosquitoes of North America, North of Mexico. University Press of Florida, Gainesville.","Colorado Mosquito Control","Colorado Mosquito Control","XXW8BqPXtz9SVhPzC4oUWA==","3Mdlhdfvdu6SJC7geZPRMQ==","M.J. Weissmann",,"tech names may not be accurate",,,,"STER.2014.23.AEDDOR.F.A",0,"No known compromise","No known compromise","No known compromise",-1,0,0,0,0
"A5D3333B95E84AD4A1D4D0634D72DD3D","D10","STER","STER_037","cultivatedCrops",40.479029,-103.008241,"WGS84",0.1,1363.6,0.1,"2014-06-10T00:23Z","2014-06-10T12:46Z","20140609.1823","20140610.0646","2014-08-10","field season","STER.2014.23","night",12.5,"STER_037.20140610.0646.S.01","Aedes nigromaculis","F",2,2,100,"MOS.D10.001011","NEON.DOC.014049vE","Darsie Jr., R. F., and R. A. Ward. 2005. Identification and geographical distribution of the mosquitoes of North America, North of Mexico. University Press of Florida, Gainesville.","Colorado Mosquito Control","Colorado Mosquito Control","XXW8BqPXtz9SVhPzC4oUWA==","3Mdlhdfvdu6SJC7geZPRMQ==","M.J. Weissmann",,"tech names may not be accurate",,,,"STER.2014.23.AEDNIG.F.A",0,"No known compromise","No known compromise","No known compromise",-1,0,0,0,0
"536F5F088A114ED4876D350D09BE01EF","D10","STER","STER_037","cultivatedCrops",40.479029,-103.008241,"WGS84",0.1,1363.6,0.1,"2014-06-10T00:23Z","2014-06-10T12:46Z","20140609.1823","20140610.0646","2014-08-10","field season","STER.2014.23","night",12.5,"STER_037.20140610.0646.S.01","Culex tarsalis","F",1,1,100,,"NEON.DOC.014049vE","Darsie Jr., R. F., and R. A. Ward. 2005. Identification and geographical distribution of the mosquitoes of North America, North of Mexico. University Press of Florida, Gainesville.","Colorado Mosquito Control","Colorado Mosquito Control","XXW8BqPXtz9SVhPzC4oUWA==","3Mdlhdfvdu6SJC7geZPRMQ==","M.J. Weissmann",,"tech names may not be accurate",,,,"STER.2014.23.CULTAR.F.A",0,"No known compromise","No known compromise","No known compromise",-1,0,0,0,0
"8F1A05A90E60447F93911524FFAC6B8F","D10","STER","STER_040","cultivatedCrops",40.471932,-103.008202,"WGS84",0.1,1352.4,0.1,"2014-06-10T00:40Z","2014-06-10T13:02Z","20140609.1840","20140610.0702","2014-08-10","field season","STER.2014.23","night",12.5,"STER_040.20140610.0702.S.01","Aedes dorsalis","F",1,1,100,,"NEON.DOC.014049vE","Darsie Jr., R. F., and R. A. Ward. 2005. Identification and geographical distribution of the mosquitoes of North America, North of Mexico. University Press of Florida, Gainesville.","Colorado Mosquito Control","Colorado Mosquito Control","XXW8BqPXtz9SVhPzC4oUWA==","3Mdlhdfvdu6SJC7geZPRMQ==","M.J. Weissmann",,"tech names may not be accurate",,,,"STER.2014.23.AEDDOR.F.A",0,"No known compromise","No known compromise","No known compromise",-1,0,0,0,0
"ADC218C39EDD4875A2DD29564AB28FDA","D10","STER","STER_040","cultivatedCrops",40.471932,-103.008202,"WGS84",0.1,1352.4,0.1,"2014-06-10T00:40Z","2014-06-10T13:02Z","20140609.1840","20140610.0702","2014-08-10","field season","STER.2014.23","night",12.5,"STER_040.20140610.0702.S.01","Aedes nigromaculis","F",1,1,100,,"NEON.DOC.014049vE","Darsie Jr., R. F., and R. A. Ward. 2005. Identification and geographical distribution of the mosquitoes of North America, North of Mexico. University Press of Florida, Gainesville.","Colorado Mosquito Control","Colorado Mosquito Control","XXW8BqPXtz9SVhPzC4oUWA==","3Mdlhdfvdu6SJC7geZPRMQ==","M.J. Weissmann",,"tech names may not be accurate",,,,"STER.2014.23.AEDNIG.F.A",0,"No known compromise","No known compromise","No known compromise",-1,0,0,0,0
"8377C15E23594A72A0C0FF2E26FC7133","D10","STER","STER_038","cultivatedCrops",40.467352,-103.020986,"WGS84",0.1,1357.0,0.1,"2014-06-10T00:55Z","2014-06-10T13:12Z","20140609.1855","20140610.0712","2014-09-10","field season","STER.2014.23","night",12.5,"STER_038.20140610.0712.S.01","Aedes dorsalis","F",2,2,100,,"NEON.DOC.014049vE","Darsie Jr., R. F., and R. A. Ward. 2005. Identification and geographical distribution of the mosquitoes of North America, North of Mexico. University Press of Florida, Gainesville.","Colorado Mosquito Control","Colorado Mosquito Control","XXW8BqPXtz9SVhPzC4oUWA==","3Mdlhdfvdu6SJC7geZPRMQ==","M.J. Weissmann",,"tech names may not be accurate",,,,"STER.2014.23.AEDDOR.F.A",0,"No known compromise","No known compromise","No known compromise",-1,0,0,0,0
"DD9E2A10AAD74633B6C2DF3884567B64","D10","STER","STER_038","cultivatedCrops",40.467352,-103.020986,"WGS84",0.1,1357.0,0.1,"2014-06-10T00:55Z","2014-06-10T13:12Z","20140609.1855","20140610.0712","2014-09-10","field season","STER.2014.23","night",12.5,"STER_038.20140610.0712.S.01","Aedes nigromaculis","F",2,2,100,,"NEON.DOC.014049vE","Darsie Jr., R. F., and R. A. Ward. 2005. Identification and geographical distribution of the mosquitoes of North America, North of Mexico. University Press of Florida, Gainesville.","Colorado Mosquito Control","Colorado Mosquito Control","XXW8BqPXtz9SVhPzC4oUWA==","3Mdlhdfvdu6SJC7geZPRMQ==","M.J. Weissmann",,"tech names may not be accurate",,,,"STER.2014.23.AEDNIG.F.A",0,"No known compromise","No known compromise","No known compromise",-1,0,0,0,0
"D0C8652851A54415927073C32ECE3002","D10","STER","STER_038","cultivatedCrops",40.467352,-103.020986,"WGS84",0.1,1357.0,0.1,"2014-06-10T00:55Z","2014-06-10T13:12Z","20140609.1855","20140610.0712","2014-09-10","field season","STER.2014.23","night",12.5,"STER_038.20140610.0712.S.01","Psorophora signipennis","F",2,2,100,,"NEON.DOC.014049vE","Darsie Jr., R. F., and R. A. Ward. 2005. Identification and geographical distribution of the mosquitoes of North America, North of Mexico. University Press of Florida, Gainesville.","Colorado Mosquito Control","Colorado Mosquito Control","XXW8BqPXtz9SVhPzC4oUWA==","3Mdlhdfvdu6SJC7geZPRMQ==","M.J. Weissmann",,"tech names may not be accurate",,,,"STER.2014.23.PSOSIG.F.A",0,"No known compromise","No known compromise","No known compromise",-1,0,0,0,0
"C0DFDF0BBCF6463AA9C1D7B205688B43","D10","STER","STER_039","cultivatedCrops",40.467447,-103.026941,"WGS84",0.1,1358.5,0.1,"2014-06-10T01:04Z","2014-06-10T13:16Z","20140609.1904","20140610.0716","2014-08-10","field season","STER.2014.23","night",12,"STER_039.20140610.0716.S.01","Culex tarsalis","F",1,1,100,"MOS.D10.001035","NEON.DOC.014049vE","Darsie Jr., R. F., and R. A. Ward. 2005. Identification and geographical distribution of the mosquitoes of North America, North of Mexico. University Press of Florida, Gainesville.","Colorado Mosquito Control","Colorado Mosquito Control","XXW8BqPXtz9SVhPzC4oUWA==","3Mdlhdfvdu6SJC7geZPRMQ==","M.J. Weissmann",,"tech names may not be accurate",,,,"STER.2014.23.CULTAR.F.A",0,"No known compromise","No known compromise","No known compromise",-1,0,0,0,0
"CAA676FB6DCB4CEAB1CE1F26DFF6A3C4","D10","STER","STER_039","cultivatedCrops",40.467447,-103.026941,"WGS84",0.1,1358.5,0.1,"2014-06-10T01:04Z","2014-06-10T13:16Z","20140609.1904","20140610.0716","2014-08-10","field season","STER.2014.23","night",12,"STER_039.20140610.0716.S.01","Aedes dorsalis","F",1,1,100,,"NEON.DOC.014049vE","Darsie Jr., R. F., and R. A. Ward. 2005. Identification and geographical distribution of the mosquitoes of North America, North of Mexico. University Press of Florida, Gainesville.","Colorado Mosquito Control","Colorado Mosquito Control","XXW8BqPXtz9SVhPzC4oUWA==","3Mdlhdfvdu6SJC7geZPRMQ==","M.J. Weissmann",,"tech names may not be accurate",,,,"STER.2014.23.AEDDOR.F.A",0,"No known compromise","No known compromise","No known compromise",-1,0,0,0,0
