"uid","domainID","siteID","plotID","subplotID","decimalLatitude","decimalLongitude","geodeticDatum","coordinateUncertainty","date","boutNumber","eventID","targetTaxaPresent","taxonID","scientificName","taxonRank","identificationQualifier","morphospeciesID","samplingProtocol","identificationReferences","measuredBy","recordedBy","morphospeciesIDRemarks","taxonIDRemarks","remarks","missingRecords1m2QF","missingRecords10m2QF","missingRecords100m2QF","duplicateTaxonIDPerBout100m2QF"
"5AB27F4540514117A2FA1D4BDA33F6FB","D03","OSBS","OSBS_001","40",,,,,"2014-03-31",1,"DIV.OSBS.2014.1","Y","ACRUT","Acer rubrum L. var. trilobum Torr. & A. Gray ex K. Koch","variety",,,"NEON.DOC.014042",,"qwd4SsQjkwojVAYuvLRi2I6c493EEc9K","sJHVgeaUm9xlaUDYd+IwAL+wATCDBR80",,,,0,0,0,0
"A127374D2B1141E7B83BA8DCD344F0AA","D03","OSBS","OSBS_001","40",,,,,"2014-03-31",1,"DIV.OSBS.2014.1","Y","ILCO","Ilex coriacea (Pursh) Chapm.","species",,,"NEON.DOC.014042",,"qwd4SsQjkwojVAYuvLRi2I6c493EEc9K","sJHVgeaUm9xlaUDYd+IwAL+wATCDBR80",,,,0,0,0,0
"09CDBE285F874167B3C6E7518D1F4669","D03","OSBS","OSBS_001","40",,,,,"2014-03-31",1,"DIV.OSBS.2014.1","Y","LYFE","Lyonia ferruginea (Walter) Nutt.","species",,,"NEON.DOC.014042",,"qwd4SsQjkwojVAYuvLRi2I6c493EEc9K","sJHVgeaUm9xlaUDYd+IwAL+wATCDBR80",,,,0,0,0,0
"8845EF7FDAAD4E1FAD12C2A58F62CAE2","D03","OSBS","OSBS_001","40",,,,,"2014-03-31",1,"DIV.OSBS.2014.1","Y","LYLU3","Lyonia lucida (Lam.) K. Koch","species",,,"NEON.DOC.014042",,"qwd4SsQjkwojVAYuvLRi2I6c493EEc9K","sJHVgeaUm9xlaUDYd+IwAL+wATCDBR80",,,,0,0,0,0
"C7BC31101C914385834C51B0B83A8F92","D03","OSBS","OSBS_001","40",,,,,"2014-03-31",1,"DIV.OSBS.2014.1","Y","QUNI","Quercus nigra L.","species",,,"NEON.DOC.014042",,"qwd4SsQjkwojVAYuvLRi2I6c493EEc9K","sJHVgeaUm9xlaUDYd+IwAL+wATCDBR80",,,,0,0,0,0
"1994201D37A04FC9A5BB687663BBC453","D03","OSBS","OSBS_001","40",,,,,"2014-03-31",1,"DIV.OSBS.2014.1","Y","SERE2","Serenoa repens (W. Bartram) Small","species",,,"NEON.DOC.014042",,"qwd4SsQjkwojVAYuvLRi2I6c493EEc9K","sJHVgeaUm9xlaUDYd+IwAL+wATCDBR80",,,,0,0,0,0
"ABA7D750EA66440F8D60328D70D7A3BB","D03","OSBS","OSBS_001","40",,,,,"2014-03-31",1,"DIV.OSBS.2014.1","Y","SMGL","Smilax glauca Walter","species",,,"NEON.DOC.014042",,"qwd4SsQjkwojVAYuvLRi2I6c493EEc9K","sJHVgeaUm9xlaUDYd+IwAL+wATCDBR80",,,,0,0,0,0
"0240AB49F4A9496F83BE8C8CC0CA514A","D03","OSBS","OSBS_001","40",,,,,"2014-03-31",1,"DIV.OSBS.2014.1","Y","VIRO3","Vitis rotundifolia Michx.","species",,,"NEON.DOC.014042",,"qwd4SsQjkwojVAYuvLRi2I6c493EEc9K","sJHVgeaUm9xlaUDYd+IwAL+wATCDBR80",,,,0,0,0,0
"53752BC986F44A858F0911D0ECA40E8E","D03","OSBS","OSBS_001","41",29.702963,-82.008835,"WGS84",2.3,"2014-03-31",1,"DIV.OSBS.2014.1","Y","PEPA37","Persea palustris (Raf.) Sarg.","species",,,"NEON.DOC.014042",,"qwd4SsQjkwojVAYuvLRi2I6c493EEc9K","sJHVgeaUm9xlaUDYd+IwAL+wATCDBR80",,,,0,0,0,0
"7CED4BBC21FB49DDA1B095F87D1189C9","D03","OSBS","OSBS_001","41",29.702963,-82.008835,"WGS84",2.3,"2014-03-31",1,"DIV.OSBS.2014.1","Y","ACRUT","Acer rubrum L. var. trilobum Torr. & A. Gray ex K. Koch","variety",,,"NEON.DOC.014042",,"qwd4SsQjkwojVAYuvLRi2I6c493EEc9K","sJHVgeaUm9xlaUDYd+IwAL+wATCDBR80",,,,0,0,0,0
"5D4249C65DD746DFBD291167409FBE15","D03","OSBS","OSBS_001","41",29.702963,-82.008835,"WGS84",2.3,"2014-03-31",1,"DIV.OSBS.2014.1","Y","ILCO","Ilex coriacea (Pursh) Chapm.","species",,,"NEON.DOC.014042",,"qwd4SsQjkwojVAYuvLRi2I6c493EEc9K","sJHVgeaUm9xlaUDYd+IwAL+wATCDBR80",,,,0,0,0,0
"941323B497B740CB80DDBE5C9A26A4AD","D03","OSBS","OSBS_001","41",29.702963,-82.008835,"WGS84",2.3,"2014-03-31",1,"DIV.OSBS.2014.1","Y","ILGL","Ilex glabra (L.) A. Gray","species",,,"NEON.DOC.014042",,"qwd4SsQjkwojVAYuvLRi2I6c493EEc9K","sJHVgeaUm9xlaUDYd+IwAL+wATCDBR80",,,,0,0,0,0
"2370775916AB4DE8BC9BE8D603A71DAD","D03","OSBS","OSBS_001","41",29.702963,-82.008835,"WGS84",2.3,"2014-03-31",1,"DIV.OSBS.2014.1","Y","LYFE","Lyonia ferruginea (Walter) Nutt.","species",,,"NEON.DOC.014042",,"qwd4SsQjkwojVAYuvLRi2I6c493EEc9K","sJHVgeaUm9xlaUDYd+IwAL+wATCDBR80",,,,0,0,0,0
"F2F7C7340138445C9F1BC7406F8A9481","D03","OSBS","OSBS_001","41",29.702963,-82.008835,"WGS84",2.3,"2014-03-31",1,"DIV.OSBS.2014.1","Y","LYLU3","Lyonia lucida (Lam.) K. Koch","species",,,"NEON.DOC.014042",,"qwd4SsQjkwojVAYuvLRi2I6c493EEc9K","sJHVgeaUm9xlaUDYd+IwAL+wATCDBR80",,,,0,0,0,0
"35DDA2CC2D3B4C1BBB643593BEFED571","D03","OSBS","OSBS_001","41",29.702963,-82.008835,"WGS84",2.3,"2014-03-31",1,"DIV.OSBS.2014.1","Y","PAQU2","Parthenocissus quinquefolia (L.) Planch.","species",,,"NEON.DOC.014042",,"qwd4SsQjkwojVAYuvLRi2I6c493EEc9K","sJHVgeaUm9xlaUDYd+IwAL+wATCDBR80",,,,0,0,0,0
"2CE0696140BB49E8A4BE4AB2EFAE7314","D03","OSBS","OSBS_001","41",29.702963,-82.008835,"WGS84",2.3,"2014-03-31",1,"DIV.OSBS.2014.1","Y","PITA","Pinus taeda L.","species",,,"NEON.DOC.014042",,"qwd4SsQjkwojVAYuvLRi2I6c493EEc9K","sJHVgeaUm9xlaUDYd+IwAL+wATCDBR80",,,,0,0,0,0
"30AE1211E9BD48698BA87AAC85FC7089","D03","OSBS","OSBS_001","41",29.702963,-82.008835,"WGS84",2.3,"2014-03-31",1,"DIV.OSBS.2014.1","Y","QUNI","Quercus nigra L.","species",,,"NEON.DOC.014042",,"qwd4SsQjkwojVAYuvLRi2I6c493EEc9K","sJHVgeaUm9xlaUDYd+IwAL+wATCDBR80",,,,0,0,0,0
"9335724D2DDD42DEA5C8D7AB34B2BC63","D03","OSBS","OSBS_001","41",29.702963,-82.008835,"WGS84",2.3,"2014-03-31",1,"DIV.OSBS.2014.1","Y","SERE2","Serenoa repens (W. Bartram) Small","species",,,"NEON.DOC.014042",,"qwd4SsQjkwojVAYuvLRi2I6c493EEc9K","sJHVgeaUm9xlaUDYd+IwAL+wATCDBR80",,,,0,0,0,0
"DD102C48A2FE4FC5800130D9BA350A3C","D03","OSBS","OSBS_001","41",29.702963,-82.008835,"WGS84",2.3,"2014-03-31",1,"DIV.OSBS.2014.1","Y","SMGL","Smilax glauca Walter","species","cf. species",,"NEON.DOC.014042",,"qwd4SsQjkwojVAYuvLRi2I6c493EEc9K","sJHVgeaUm9xlaUDYd+IwAL+wATCDBR80",,,,0,0,0,0
"AE41813B579F4CC89452AEB055DD3541","D03","OSBS","OSBS_001","41",29.702963,-82.008835,"WGS84",2.3,"2014-03-31",1,"DIV.OSBS.2014.1","Y","VIRO3","Vitis rotundifolia Michx.","species",,,"NEON.DOC.014042",,"qwd4SsQjkwojVAYuvLRi2I6c493EEc9K","sJHVgeaUm9xlaUDYd+IwAL+wATCDBR80",,,,0,0,0,0
"056A25DC43074144A6472BB5C43B2FB2","D03","OSBS","OSBS_001","31",,,,,"2014-03-31",1,"DIV.OSBS.2014.1","Y","TIBA3","Tillandsia bartramii Elliott","species",,,"NEON.DOC.014042",,"qwd4SsQjkwojVAYuvLRi2I6c493EEc9K","sJHVgeaUm9xlaUDYd+IwAL+wATCDBR80",,,,0,0,0,0
"F3D323BB9E8A45CE8B5149BB26DE3B35","D03","OSBS","OSBS_001","31",,,,,"2014-03-31",1,"DIV.OSBS.2014.1","Y","MIRE","Mitchella repens L.","species",,,"NEON.DOC.014042",,"qwd4SsQjkwojVAYuvLRi2I6c493EEc9K","sJHVgeaUm9xlaUDYd+IwAL+wATCDBR80",,,,0,0,0,0
"99948B8CF9BC4B2C951A450091BE4319","D03","OSBS","OSBS_001","31",,,,,"2014-03-31",1,"DIV.OSBS.2014.1","Y","GOLA","Gordonia lasianthus (L.) Ellis","species",,,"NEON.DOC.014042",,"qwd4SsQjkwojVAYuvLRi2I6c493EEc9K","sJHVgeaUm9xlaUDYd+IwAL+wATCDBR80",,,,0,0,0,0
"8DF07D5377CF4F6198A4A238601517DC","D03","OSBS","OSBS_001","31",,,,,"2014-03-31",1,"DIV.OSBS.2014.1","Y","ACRUT","Acer rubrum L. var. trilobum Torr. & A. Gray ex K. Koch","variety",,,"NEON.DOC.014042",,"qwd4SsQjkwojVAYuvLRi2I6c493EEc9K","sJHVgeaUm9xlaUDYd+IwAL+wATCDBR80",,,,0,0,0,0
"73850D8764B54489B70966A4DFA6E0E5","D03","OSBS","OSBS_001","31",,,,,"2014-03-31",1,"DIV.OSBS.2014.1","Y","ILCO","Ilex coriacea (Pursh) Chapm.","species",,,"NEON.DOC.014042",,"qwd4SsQjkwojVAYuvLRi2I6c493EEc9K","sJHVgeaUm9xlaUDYd+IwAL+wATCDBR80",,,,0,0,0,0
"A6C3CE5BBCC94C05A59FF6FF84904606","D03","OSBS","OSBS_001","31",,,,,"2014-03-31",1,"DIV.OSBS.2014.1","Y","ILGL","Ilex glabra (L.) A. Gray","species",,,"NEON.DOC.014042",,"qwd4SsQjkwojVAYuvLRi2I6c493EEc9K","sJHVgeaUm9xlaUDYd+IwAL+wATCDBR80",,,,0,0,0,0
"0740357A456D447FAD0544EE4A52F554","D03","OSBS","OSBS_001","31",,,,,"2014-03-31",1,"DIV.OSBS.2014.1","Y","LYFE","Lyonia ferruginea (Walter) Nutt.","species",,,"NEON.DOC.014042",,"qwd4SsQjkwojVAYuvLRi2I6c493EEc9K","sJHVgeaUm9xlaUDYd+IwAL+wATCDBR80",,,,0,0,0,0
"A222F38967524987B44970CC32A78FD5","D03","OSBS","OSBS_001","31",,,,,"2014-03-31",1,"DIV.OSBS.2014.1","Y","LYLU3","Lyonia lucida (Lam.) K. Koch","species",,,"NEON.DOC.014042",,"qwd4SsQjkwojVAYuvLRi2I6c493EEc9K","sJHVgeaUm9xlaUDYd+IwAL+wATCDBR80",,,,0,0,0,0
"18C21CCDB91748C080173D7C68B2511E","D03","OSBS","OSBS_001","31",,,,,"2014-03-31",1,"DIV.OSBS.2014.1","Y","OSAMA","Osmanthus americanus (L.) Benth. & Hook. f. ex A. Gray var. americanus","variety",,,"NEON.DOC.014042",,"qwd4SsQjkwojVAYuvLRi2I6c493EEc9K","sJHVgeaUm9xlaUDYd+IwAL+wATCDBR80",,,,0,0,0,0
"BEADBA0DAC2D45F5B477C48BCAB73E5C","D03","OSBS","OSBS_001","31",,,,,"2014-03-31",1,"DIV.OSBS.2014.1","Y","PLPO2","Pleopeltis polypodioides (L.) Andrews & Windham","species",,,"NEON.DOC.014042",,"qwd4SsQjkwojVAYuvLRi2I6c493EEc9K","sJHVgeaUm9xlaUDYd+IwAL+wATCDBR80",,,,0,0,0,0
"F965D6EA33A243FDA697488B533818D4","D03","OSBS","OSBS_001","31",,,,,"2014-03-31",1,"DIV.OSBS.2014.1","Y","SERE2","Serenoa repens (W. Bartram) Small","species",,,"NEON.DOC.014042",,"qwd4SsQjkwojVAYuvLRi2I6c493EEc9K","sJHVgeaUm9xlaUDYd+IwAL+wATCDBR80",,,,0,0,0,0
"477B086C37104F4EBD5F558FF0437017","D03","OSBS","OSBS_001","31",,,,,"2014-03-31",1,"DIV.OSBS.2014.1","Y","SMGL","Smilax glauca Walter","species",,,"NEON.DOC.014042",,"qwd4SsQjkwojVAYuvLRi2I6c493EEc9K","sJHVgeaUm9xlaUDYd+IwAL+wATCDBR80",,,,0,0,0,0
"0745F12A90E542AB86841F7E8EF83CB5","D03","OSBS","OSBS_001","31",,,,,"2014-03-31",1,"DIV.OSBS.2014.1","Y","VIRO3","Vitis rotundifolia Michx.","species",,,"NEON.DOC.014042",,"qwd4SsQjkwojVAYuvLRi2I6c493EEc9K","sJHVgeaUm9xlaUDYd+IwAL+wATCDBR80",,,,0,0,0,0
"B4D3164A6C6B4B889DDA93DF148A74DC","D03","OSBS","OSBS_001","32",,,,,"2014-03-31",1,"DIV.OSBS.2014.1","Y","SMAU","Smilax auriculata Walter","species",,,"NEON.DOC.014042",,"qwd4SsQjkwojVAYuvLRi2I6c493EEc9K","sJHVgeaUm9xlaUDYd+IwAL+wATCDBR80",,,,0,0,0,0
"90973AFE481E4FD3889C7252C21229A0","D03","OSBS","OSBS_001","32",,,,,"2014-03-31",1,"DIV.OSBS.2014.1","Y","PLPO2","Pleopeltis polypodioides (L.) Andrews & Windham","species",,,"NEON.DOC.014042",,"qwd4SsQjkwojVAYuvLRi2I6c493EEc9K","sJHVgeaUm9xlaUDYd+IwAL+wATCDBR80",,,,0,0,0,0
"3DDC61976621464E900AB0910BFF9CA3","D03","OSBS","OSBS_001","32",,,,,"2014-03-31",1,"DIV.OSBS.2014.1","Y","VAST","Vaccinium stamineum L.","species",,,"NEON.DOC.014042",,"qwd4SsQjkwojVAYuvLRi2I6c493EEc9K","sJHVgeaUm9xlaUDYd+IwAL+wATCDBR80",,,,0,0,0,0
