"uid","domainID","siteID","plotID","subplotID","decimalLatitude","decimalLongitude","geodeticDatum","coordinateUncertainty","date","boutNumber","eventID","targetTaxaPresent","taxonID","scientificName","taxonRank","identificationQualifier","morphospeciesID","samplingProtocol","identificationReferences","measuredBy","recordedBy","taxonIDRemarks","morphospeciesIDRemarks","remarks","missingRecords1m2QF","missingRecords10m2QF","duplicateTaxonIDPerBout10m2QF"
"4C5301A0FDC44729949DD3DEAB95B7D3","D03","OSBS","OSBS_001","41.4.10",29.702984,-82.008793,"WGS84",1.1,"2014-03-31",1,"DIV.OSBS.2014.1","Y","ILCO","Ilex coriacea (Pursh) Chapm.","species",,,"NEON.DOC.014042",,"qwd4SsQjkwojVAYuvLRi2I6c493EEc9K","sJHVgeaUm9xlaUDYd+IwAL+wATCDBR80",,,,0,0,0
"DC2636425F874582AA21052DDE8A6CE3","D03","OSBS","OSBS_001","41.4.10",29.702984,-82.008793,"WGS84",1.1,"2014-03-31",1,"DIV.OSBS.2014.1","Y","LYLU3","Lyonia lucida (Lam.) K. Koch","species",,,"NEON.DOC.014042",,"qwd4SsQjkwojVAYuvLRi2I6c493EEc9K","sJHVgeaUm9xlaUDYd+IwAL+wATCDBR80",,,,0,0,0
"B997508264B2492F80E4B92D48377E56","D03","OSBS","OSBS_001","41.4.10",29.702984,-82.008793,"WGS84",1.1,"2014-03-31",1,"DIV.OSBS.2014.1","Y","SMGL","Smilax glauca Walter","species",,,"NEON.DOC.014042",,"qwd4SsQjkwojVAYuvLRi2I6c493EEc9K","sJHVgeaUm9xlaUDYd+IwAL+wATCDBR80",,,,0,0,0
"FDED2D2CBBB24276A8AD747E327DBD86","D03","OSBS","OSBS_001","41.4.10",29.702984,-82.008793,"WGS84",1.1,"2014-03-31",1,"DIV.OSBS.2014.1","Y","QUNI","Quercus nigra L.","species",,,"NEON.DOC.014042",,"qwd4SsQjkwojVAYuvLRi2I6c493EEc9K","sJHVgeaUm9xlaUDYd+IwAL+wATCDBR80",,,,0,0,0
"366A43F64B1B4299B696254FF7DD4943","D03","OSBS","OSBS_001","41.4.10",29.702984,-82.008793,"WGS84",1.1,"2014-03-31",1,"DIV.OSBS.2014.1","Y","ACRUT","Acer rubrum L. var. trilobum Torr. & A. Gray ex K. Koch","variety",,,"NEON.DOC.014042",,"qwd4SsQjkwojVAYuvLRi2I6c493EEc9K","sJHVgeaUm9xlaUDYd+IwAL+wATCDBR80",,,,0,0,0
"3AD98FC0FF584C8388F5E80084827A56","D03","OSBS","OSBS_001","41.1.10",29.702932,-82.008870,"WGS84",1.3,"2014-03-31",1,"DIV.OSBS.2014.1","Y","SERE2","Serenoa repens (W. Bartram) Small","species",,,"NEON.DOC.014042",,"qwd4SsQjkwojVAYuvLRi2I6c493EEc9K","sJHVgeaUm9xlaUDYd+IwAL+wATCDBR80",,,,0,0,0
"1D0334B9C33A4F14A4E60B4C66B52781","D03","OSBS","OSBS_001","41.4.10",29.702984,-82.008793,"WGS84",1.1,"2014-03-31",1,"DIV.OSBS.2014.1","Y","SERE2","Serenoa repens (W. Bartram) Small","species",,,"NEON.DOC.014042",,"qwd4SsQjkwojVAYuvLRi2I6c493EEc9K","sJHVgeaUm9xlaUDYd+IwAL+wATCDBR80",,,,0,0,0
"8B9452073C704C938F86E5F6A4E07C84","D03","OSBS","OSBS_001","41.4.10",29.702984,-82.008793,"WGS84",1.1,"2014-03-31",1,"DIV.OSBS.2014.1","Y","PAQU2","Parthenocissus quinquefolia (L.) Planch.","species",,,"NEON.DOC.014042",,"qwd4SsQjkwojVAYuvLRi2I6c493EEc9K","sJHVgeaUm9xlaUDYd+IwAL+wATCDBR80",,,,0,0,0
"44011F657B9E43FD84AE8ACB209C5DF1","D03","OSBS","OSBS_001","41.4.10",29.702984,-82.008793,"WGS84",1.1,"2014-03-31",1,"DIV.OSBS.2014.1","Y","VIRO3","Vitis rotundifolia Michx.","species",,,"NEON.DOC.014042",,"qwd4SsQjkwojVAYuvLRi2I6c493EEc9K","sJHVgeaUm9xlaUDYd+IwAL+wATCDBR80",,,,0,0,0
"3459A72DA9D94C8083A39DBE3AACC57F","D03","OSBS","OSBS_001","41.1.10",29.702932,-82.008870,"WGS84",1.3,"2014-03-31",1,"DIV.OSBS.2014.1","Y","LYLU3","Lyonia lucida (Lam.) K. Koch","species",,,"NEON.DOC.014042",,"qwd4SsQjkwojVAYuvLRi2I6c493EEc9K","sJHVgeaUm9xlaUDYd+IwAL+wATCDBR80",,,,0,0,0
"A3DABEF20FE445B4A81F254CFA51F36C","D03","OSBS","OSBS_001","41.1.10",29.702932,-82.008870,"WGS84",1.3,"2014-03-31",1,"DIV.OSBS.2014.1","Y","LYFE","Lyonia ferruginea (Walter) Nutt.","species",,,"NEON.DOC.014042",,"qwd4SsQjkwojVAYuvLRi2I6c493EEc9K","sJHVgeaUm9xlaUDYd+IwAL+wATCDBR80",,,,0,0,0
"F0E74BC97DE04BA48A8A04D8190402F3","D03","OSBS","OSBS_001","41.1.10",29.702932,-82.008870,"WGS84",1.3,"2014-03-31",1,"DIV.OSBS.2014.1","Y","ACRUT","Acer rubrum L. var. trilobum Torr. & A. Gray ex K. Koch","variety",,,"NEON.DOC.014042",,"qwd4SsQjkwojVAYuvLRi2I6c493EEc9K","sJHVgeaUm9xlaUDYd+IwAL+wATCDBR80",,,,0,0,0
"66A5F8FD37E64224AAA7DDBBF2665CAA","D03","OSBS","OSBS_001","41.1.10",29.702932,-82.008870,"WGS84",1.3,"2014-03-31",1,"DIV.OSBS.2014.1","Y","ILCO","Ilex coriacea (Pursh) Chapm.","species",,,"NEON.DOC.014042",,"qwd4SsQjkwojVAYuvLRi2I6c493EEc9K","sJHVgeaUm9xlaUDYd+IwAL+wATCDBR80",,,,0,0,0
"3A0498AA87D14EF0A8F65AAFB0B5A167","D03","OSBS","OSBS_001","41.1.10",29.702932,-82.008870,"WGS84",1.3,"2014-03-31",1,"DIV.OSBS.2014.1","Y","SMGL","Smilax glauca Walter","species","cf. species",,"NEON.DOC.014042",,"qwd4SsQjkwojVAYuvLRi2I6c493EEc9K","sJHVgeaUm9xlaUDYd+IwAL+wATCDBR80",,,,0,0,0
