"uid","domainID","siteID","plotID","subplotID","decimalLatitude","decimalLongitude","geodeticDatum","coordinateUncertainty","date","boutNumber","eventID","targetTaxaPresent","taxonID","scientificName","taxonRank","identificationQualifier","morphospeciesID","percentCover","heightPlantOver300cm","heightPlantSpecies","samplingProtocol","identificationReferences","measuredBy","recordedBy","taxonIDRemarks","morphospeciesIDRemarks","remarks","duplicateTaxonIDBoutPer1m2QF","missingRecords1m2QF"
"96C5F20E082D442FB5B3A7ABAB48C422","D03","OSBS","OSBS_001","32.2.1",,,,,"2014-03-31",1,"DIV.OSBS.2014.1","Y","ILCO","Ilex coriacea (Pursh) Chapm.","species",,,11,"N",82.0,"NEON.DOC.014042",,"qwd4SsQjkwojVAYuvLRi2I6c493EEc9K","sJHVgeaUm9xlaUDYd+IwAL+wATCDBR80",,,,0,0
"7C414E9812584180B98DC7044FD2C734","D03","OSBS","OSBS_001","32.2.1",,,,,"2014-03-31",1,"DIV.OSBS.2014.1","Y","ACRU","Acer rubrum L.","species",,,0.5,"N",5.0,"NEON.DOC.014042",,"qwd4SsQjkwojVAYuvLRi2I6c493EEc9K","sJHVgeaUm9xlaUDYd+IwAL+wATCDBR80",,,,0,0
"66ABE85F8C11448F85A07D121AC419CE","D03","OSBS","OSBS_001","32.2.1",,,,,"2014-03-31",1,"DIV.OSBS.2014.1","Y","MIRE","Mitchella repens L.","species",,,1,"N",4.0,"NEON.DOC.014042",,"qwd4SsQjkwojVAYuvLRi2I6c493EEc9K","sJHVgeaUm9xlaUDYd+IwAL+wATCDBR80",,,,0,0
"9A72223845E24C15ACEA8C985467BF5E","D03","OSBS","OSBS_001","32.2.1",,,,,"2014-03-31",1,"DIV.OSBS.2014.1","Y","SMGL","Smilax glauca Walter","species",,,0.5,"N",5.0,"NEON.DOC.014042",,"qwd4SsQjkwojVAYuvLRi2I6c493EEc9K","sJHVgeaUm9xlaUDYd+IwAL+wATCDBR80",,,,0,0
"E8EC04227F314C9DA045B59AA95CB85A","D03","OSBS","OSBS_001","32.2.1",,,,,"2014-03-31",1,"DIV.OSBS.2014.1","Y","SERE2","Serenoa repens (W. Bartram) Small","species",,,5,"N",58.0,"NEON.DOC.014042",,"qwd4SsQjkwojVAYuvLRi2I6c493EEc9K","sJHVgeaUm9xlaUDYd+IwAL+wATCDBR80",,,,0,0
"F7CAF635421544B2BA90E4248232267D","D03","OSBS","OSBS_001","32.2.1",,,,,"2014-03-31",1,"DIV.OSBS.2014.1","Y","LYLU3","Lyonia lucida (Lam.) K. Koch","species",,,0.5,"N",12.0,"NEON.DOC.014042",,"qwd4SsQjkwojVAYuvLRi2I6c493EEc9K","sJHVgeaUm9xlaUDYd+IwAL+wATCDBR80",,,,0,0
"CD16DEDB664B4472AAA0D9945855AD8B","D03","OSBS","OSBS_001","32.4.1",,,,,"2014-03-31",1,"DIV.OSBS.2014.1","Y","ACRUT","Acer rubrum L. var. trilobum Torr. & A. Gray ex K. Koch","variety",,,0.5,"N",11.0,"NEON.DOC.014042",,"qwd4SsQjkwojVAYuvLRi2I6c493EEc9K","sJHVgeaUm9xlaUDYd+IwAL+wATCDBR80",,,,0,0
"24DF0328A9C545BA8CCAD3F2445AF8F6","D03","OSBS","OSBS_001","32.4.1",,,,,"2014-03-31",1,"DIV.OSBS.2014.1","Y","LYLU3","Lyonia lucida (Lam.) K. Koch","species",,,1,"N",43.0,"NEON.DOC.014042",,"qwd4SsQjkwojVAYuvLRi2I6c493EEc9K","sJHVgeaUm9xlaUDYd+IwAL+wATCDBR80",,,,0,0
"2AD3C7229B334F55A271CEBD54F65B21","D03","OSBS","OSBS_001","40.1.1",,,,,"2014-03-31",1,"DIV.OSBS.2014.1","Y","LYFE","Lyonia ferruginea (Walter) Nutt.","species",,,65,"N",24.0,"NEON.DOC.014042",,"qwd4SsQjkwojVAYuvLRi2I6c493EEc9K","sJHVgeaUm9xlaUDYd+IwAL+wATCDBR80",,,,0,0
"889ABF9CCEA24FD0A15E6C55CF402E7A","D03","OSBS","OSBS_001","40.1.1",,,,,"2014-03-31",1,"DIV.OSBS.2014.1","Y","ACRU","Acer rubrum L.","species",,,0.5,"N",6.0,"NEON.DOC.014042",,"qwd4SsQjkwojVAYuvLRi2I6c493EEc9K","sJHVgeaUm9xlaUDYd+IwAL+wATCDBR80",,,,0,0
