"uid","domainID","siteID","plotID","decimalLatitude","decimalLongitude","geodeticDatum","coordinateUncertainty","nlcdClass","elevation","elevationUncertainty","date","boutNumber","eventID","targetTaxaPresent","taxonID","scientificName","taxonRank","identificationQualifier","morphospeciesID","samplingProtocol","identificationReferences","measuredBy","taxonIDRemarks","morphospeciesIDRemarks","remarks","missingRecords1m2QF","missingRecords10m2QF","missingRecords100m2QF"
"975C09CB84AD452DB5FCAD422E46D7AE","D03","OSBS","OSBS_001",,,,,"woodyWetlands",,,"2014-03-31",1,"DIV.OSBS.2014.1","Y","SMAU","Smilax auriculata Walter","species",,,"NEON.DOC.014042",,"qwd4SsQjkwojVAYuvLRi2I6c493EEc9K",,,,0,0,0
"595165133B1943CAAA91BE908C314759","D03","OSBS","OSBS_001",,,,,"woodyWetlands",,,"2014-03-31",1,"DIV.OSBS.2014.1","Y","SMSM","Smilax smallii Morong","species","cf. species",,"NEON.DOC.014042",,"qwd4SsQjkwojVAYuvLRi2I6c493EEc9K",,,,0,0,0
"5C02A1B95D064AFAB80313FA49ED1D24","D03","OSBS","OSBS_001",,,,,"woodyWetlands",,,"2014-03-31",1,"DIV.OSBS.2014.1","Y","SMGL","Smilax glauca Walter","species","cf. species",,"NEON.DOC.014042",,"qwd4SsQjkwojVAYuvLRi2I6c493EEc9K",,,,0,0,0
"C85685F3E6384CCDBEE8EC6CB8ECA822","D03","OSBS","OSBS_001",,,,,"woodyWetlands",,,"2014-03-31",1,"DIV.OSBS.2014.1","Y","QUNI","Quercus nigra L.","species",,,"NEON.DOC.014042",,"qwd4SsQjkwojVAYuvLRi2I6c493EEc9K",,,,0,0,0
"B4E34A4893AB42E3BE10AA9AEE930076","D03","OSBS","OSBS_001",,,,,"woodyWetlands",,,"2014-03-31",1,"DIV.OSBS.2014.1","Y","TIBA3","Tillandsia bartramii Elliott","species",,,"NEON.DOC.014042",,"qwd4SsQjkwojVAYuvLRi2I6c493EEc9K",,,,0,0,0
"795B054FECC643E39CFB61A425FBA054","D03","OSBS","OSBS_001",,,,,"woodyWetlands",,,"2014-03-31",1,"DIV.OSBS.2014.1","Y","ILCO","Ilex coriacea (Pursh) Chapm.","species",,,"NEON.DOC.014042",,"qwd4SsQjkwojVAYuvLRi2I6c493EEc9K",,,,0,0,0
"86EF763177BE44C49BC9F7665FE4D875","D03","OSBS","OSBS_001",,,,,"woodyWetlands",,,"2014-03-31",1,"DIV.OSBS.2014.1","Y","PEPA37","Persea palustris (Raf.) Sarg.","species",,,"NEON.DOC.014042",,"qwd4SsQjkwojVAYuvLRi2I6c493EEc9K",,,,0,0,0
"BAA13E108A28415EB32D86DE3C68918D","D03","OSBS","OSBS_001",,,,,"woodyWetlands",,,"2014-03-31",1,"DIV.OSBS.2014.1","Y","PAQU2","Parthenocissus quinquefolia (L.) Planch.","species",,,"NEON.DOC.014042",,"qwd4SsQjkwojVAYuvLRi2I6c493EEc9K",,,,0,0,0
"2B68CC162C6049619EA27220C0C84BBB","D03","OSBS","OSBS_001",,,,,"woodyWetlands",,,"2014-03-31",1,"DIV.OSBS.2014.1","Y","QUHE2","Quercus hemisphaerica W. Bartram ex Willd.","species","cf. species",,"NEON.DOC.014042",,"qwd4SsQjkwojVAYuvLRi2I6c493EEc9K",,,,0,0,0
"F59E16EBD3934DF8A0741F9BFF6EA35C","D03","OSBS","OSBS_001",,,,,"woodyWetlands",,,"2014-03-31",1,"DIV.OSBS.2014.1","Y","LYFE","Lyonia ferruginea (Walter) Nutt.","species",,,"NEON.DOC.014042",,"qwd4SsQjkwojVAYuvLRi2I6c493EEc9K",,,,0,0,0
"CBAAB6C04262485C8DB7FEE6944ABFB2","D03","OSBS","OSBS_001",,,,,"woodyWetlands",,,"2014-03-31",1,"DIV.OSBS.2014.1","Y","SERE2","Serenoa repens (W. Bartram) Small","species",,,"NEON.DOC.014042",,"qwd4SsQjkwojVAYuvLRi2I6c493EEc9K",,,,0,0,0
"7E7952C9BCDD4C82BC8CF3A6312EDB5A","D03","OSBS","OSBS_001",,,,,"woodyWetlands",,,"2014-03-31",1,"DIV.OSBS.2014.1","Y","PTAQ","Pteridium aquilinum (L.) Kuhn","species",,,"NEON.DOC.014042",,"qwd4SsQjkwojVAYuvLRi2I6c493EEc9K",,,,0,0,0
"64A74F23473D416C84ABAD62C7EEBF6D","D03","OSBS","OSBS_001",,,,,"woodyWetlands",,,"2014-03-31",1,"DIV.OSBS.2014.1","Y","VIRO3","Vitis rotundifolia Michx.","species",,,"NEON.DOC.014042",,"qwd4SsQjkwojVAYuvLRi2I6c493EEc9K",,,,0,0,0
"CB56D911B4424FB4A842EAC0A37A13D9","D03","OSBS","OSBS_001",,,,,"woodyWetlands",,,"2014-03-31",1,"DIV.OSBS.2014.1","Y","OSAMA","Osmanthus americanus (L.) Benth. & Hook. f. ex A. Gray var. americanus","variety",,,"NEON.DOC.014042",,"qwd4SsQjkwojVAYuvLRi2I6c493EEc9K",,,,0,0,0
"AEF274AA124644AABAF027FF80B2243C","D03","OSBS","OSBS_001",,,,,"woodyWetlands",,,"2014-03-31",1,"DIV.OSBS.2014.1","Y","LYLU3","Lyonia lucida (Lam.) K. Koch","species",,,"NEON.DOC.014042",,"qwd4SsQjkwojVAYuvLRi2I6c493EEc9K",,,,0,0,0
"FA1F89A4089F483184122626BE1CA30D","D03","OSBS","OSBS_001",,,,,"woodyWetlands",,,"2014-03-31",1,"DIV.OSBS.2014.1","Y","PITA","Pinus taeda L.","species",,,"NEON.DOC.014042",,"qwd4SsQjkwojVAYuvLRi2I6c493EEc9K",,,,0,0,0
"7514F56AD0BA418290525B1D7AAD570B","D03","OSBS","OSBS_001",,,,,"woodyWetlands",,,"2014-03-31",1,"DIV.OSBS.2014.1","Y","MIRE","Mitchella repens L.","species",,,"NEON.DOC.014042",,"qwd4SsQjkwojVAYuvLRi2I6c493EEc9K",,,,0,0,0
