"uid","domainID","siteID","plotID","subplotID","decimalLatitude","decimalLongitude","geodeticDatum","coordinateUncertainty","date","boutNumber","eventID","targetTaxaPresent","taxonID","scientificName","taxonRank","identificationQualifier","morphospeciesID","samplingProtocol","identificationReferences","measuredBy","recordedBy","taxonIDRemarks","morphospeciesIDRemarks","remarks","missingRecords1m2QF","missingRecords10m2QF","duplicateTaxonIDPerBout10m2QF"
"0F9B87DFBDC248FD883FD5F0D22A1EAE","D10","CPER","CPER_009","31.1.10",40.826045,-104.746004,"WGS84",1.1,"2014-05-28",1,"DIV.CPER.2014.1","Y","THME","Thelesperma megapotamicum (Spreng.) Kuntze","species","cf. species",,"NEON.DOC.014042",,"P+EeY8owwbjzXaiaPoIJpc6mcpR6iWBh","n15MKd9HZpj/Ln9qG+710s4OwrcybKrR",,,,0,0,0
"5935AF4E9C1C443CB78E4B4C2ABF3803","D10","CPER","CPER_009","31.4.10",40.826106,-104.745922,"WGS84",1.1,"2014-05-28",1,"DIV.CPER.2014.1","Y","BOGR2","Bouteloua gracilis (Willd. ex Kunth) Lag. ex Griffiths","species",,,"NEON.DOC.014042",,"P+EeY8owwbjzXaiaPoIJpc6mcpR6iWBh","n15MKd9HZpj/Ln9qG+710s4OwrcybKrR",,,,0,0,0
"33518146BF714CC48FD3949181F25478","D10","CPER","CPER_009","32.2.10",40.826044,-104.745804,"WGS84",1.1,"2014-05-28",1,"DIV.CPER.2014.1","Y","BOGR2","Bouteloua gracilis (Willd. ex Kunth) Lag. ex Griffiths","species",,,"NEON.DOC.014042",,"P+EeY8owwbjzXaiaPoIJpc6mcpR6iWBh","AHNxvhv4OK4mGSXWK8I1MxdfifOuzbmS",,,,0,0,0
"BF58F6F9886C4D4FB8E8A83B7FC2E6D8","D10","CPER","CPER_009","32.2.10",40.826044,-104.745804,"WGS84",1.1,"2014-05-28",1,"DIV.CPER.2014.1","Y","ARFR4","Artemisia frigida Willd.","species",,,"NEON.DOC.014042",,"P+EeY8owwbjzXaiaPoIJpc6mcpR6iWBh","AHNxvhv4OK4mGSXWK8I1MxdfifOuzbmS",,,,0,0,0
"C1375C2F04C94A9284F52C19C166C9B9","D10","CPER","CPER_009","32.2.10",40.826044,-104.745804,"WGS84",1.1,"2014-05-28",1,"DIV.CPER.2014.1","Y","ECVI2","Echinocereus viridiflorus Engelm.","species",,,"NEON.DOC.014042",,"P+EeY8owwbjzXaiaPoIJpc6mcpR6iWBh","AHNxvhv4OK4mGSXWK8I1MxdfifOuzbmS",,,,0,0,0
"F1F1EE5A21244D75846AFD33ABADCBDC","D10","CPER","CPER_009","32.2.10",40.826044,-104.745804,"WGS84",1.1,"2014-05-28",1,"DIV.CPER.2014.1","Y","ELEL5","Elymus elymoides (Raf.) Swezey","species",,,"NEON.DOC.014042",,"P+EeY8owwbjzXaiaPoIJpc6mcpR6iWBh","AHNxvhv4OK4mGSXWK8I1MxdfifOuzbmS",,,,0,0,0
"E7C6F56A40AF4E608A26B77B67B63780","D10","CPER","CPER_009","32.2.10",40.826044,-104.745804,"WGS84",1.1,"2014-05-28",1,"DIV.CPER.2014.1","Y","THFI","Thelesperma filifolium (Hook.) A. Gray","species",,,"NEON.DOC.014042",,"P+EeY8owwbjzXaiaPoIJpc6mcpR6iWBh","AHNxvhv4OK4mGSXWK8I1MxdfifOuzbmS",,,,0,0,0
"ED2A300865B1460793A840EC7EE8F2F0","D10","CPER","CPER_009","32.4.10",40.826106,-104.745804,"WGS84",1.1,"2014-05-28",1,"DIV.CPER.2014.1","Y","OPPO","Opuntia polyacantha Haw.","species",,,"NEON.DOC.014042",,"P+EeY8owwbjzXaiaPoIJpc6mcpR6iWBh","AHNxvhv4OK4mGSXWK8I1MxdfifOuzbmS",,,,0,0,0
"6FF75E31BE3A4A06B12A46E9C37FBBC4","D10","CPER","CPER_009","32.4.10",40.826106,-104.745804,"WGS84",1.1,"2014-05-28",1,"DIV.CPER.2014.1","Y","PSTE5","Psoralidium tenuiflorum (Pursh) Rydb.","species",,,"NEON.DOC.014042",,"P+EeY8owwbjzXaiaPoIJpc6mcpR6iWBh","AHNxvhv4OK4mGSXWK8I1MxdfifOuzbmS",,,,0,0,0
"C546DBCF82FF4FB3A481A1859090455C","D10","CPER","CPER_009","40.1.10",40.826137,-104.746001,"WGS84",1.1,"2014-05-28",1,"DIV.CPER.2014.1","Y","BODA2","Bouteloua dactyloides (Nutt.) J.T. Columbus","species",,,"NEON.DOC.014042",,"P+EeY8owwbjzXaiaPoIJpc6mcpR6iWBh","AHNxvhv4OK4mGSXWK8I1MxdfifOuzbmS",,,,0,0,0
"60B1D8C51E58450FA6F3320D37CBF2C6","D10","CPER","CPER_009","40.1.10",40.826137,-104.746001,"WGS84",1.1,"2014-05-28",1,"DIV.CPER.2014.1","Y","VUOC","Vulpia octoflora (Walter) Rydb.","species",,,"NEON.DOC.014042",,"P+EeY8owwbjzXaiaPoIJpc6mcpR6iWBh","AHNxvhv4OK4mGSXWK8I1MxdfifOuzbmS",,,,0,0,0
"8827208CB3F6478891869C41B25C1247","D10","CPER","CPER_009","40.3.10",40.826198,-104.746001,"WGS84",1.1,"2014-05-28",1,"DIV.CPER.2014.1","Y","PLPA2","Plantago patagonica Jacq.","species",,,"NEON.DOC.014042",,"P+EeY8owwbjzXaiaPoIJpc6mcpR6iWBh","n15MKd9HZpj/Ln9qG+710s4OwrcybKrR",,,,0,0,0
"5D233F3A323047C38B62026639C5E386","D10","CPER","CPER_009","40.3.10",40.826198,-104.746001,"WGS84",1.1,"2014-05-28",1,"DIV.CPER.2014.1","Y","PASM","Pascopyrum smithii (Rydb.) Á. Löve","species",,,"NEON.DOC.014042",,"P+EeY8owwbjzXaiaPoIJpc6mcpR6iWBh","n15MKd9HZpj/Ln9qG+710s4OwrcybKrR",,,,0,0,0
"55EA75C4AFC344EB8F35BFC709C6705E","D10","CPER","CPER_009","41.1.10",40.826134,-104.745884,"WGS84",1.1,"2014-05-28",1,"DIV.CPER.2014.1","Y","SPCO","Sphaeralcea coccinea (Nutt.) Rydb.","species",,,"NEON.DOC.014042",,"P+EeY8owwbjzXaiaPoIJpc6mcpR6iWBh","AHNxvhv4OK4mGSXWK8I1MxdfifOuzbmS",,,,0,0,0
"263098481EFB441F9974F781DC6BE1A9","D10","CPER","CPER_009","41.1.10",40.826134,-104.745884,"WGS84",1.1,"2014-05-28",1,"DIV.CPER.2014.1","Y","THFI","Thelesperma filifolium (Hook.) A. Gray","species",,,"NEON.DOC.014042",,"P+EeY8owwbjzXaiaPoIJpc6mcpR6iWBh","AHNxvhv4OK4mGSXWK8I1MxdfifOuzbmS",,,,0,0,0
"5871BC34EB944F3C8BD1DE22DACB3A61","D10","CPER","CPER_009","31.1.10",40.826045,-104.746004,"WGS84",1.1,"2014-05-28",1,"DIV.CPER.2014.1","Y","THFI","Thelesperma filifolium (Hook.) A. Gray","species",,,"NEON.DOC.014042",,"P+EeY8owwbjzXaiaPoIJpc6mcpR6iWBh","n15MKd9HZpj/Ln9qG+710s4OwrcybKrR",,,,0,0,0
"EA0A4DF7D5264E389B490BD22B561B81","D10","CPER","CPER_009","31.1.10",40.826045,-104.746004,"WGS84",1.1,"2014-05-28",1,"DIV.CPER.2014.1","Y","VUOC","Vulpia octoflora (Walter) Rydb.","species",,,"NEON.DOC.014042",,"P+EeY8owwbjzXaiaPoIJpc6mcpR6iWBh","n15MKd9HZpj/Ln9qG+710s4OwrcybKrR",,,,0,0,0
"0777F98F4E614997847734BB92FE9350","D10","CPER","CPER_009","41.1.10",40.826134,-104.745884,"WGS84",1.1,"2014-05-28",1,"DIV.CPER.2014.1","Y","LONU3","Lomatium nuttallii (A. Gray) J.F. Macbr.","species","cf. genus",,"NEON.DOC.014042",,"P+EeY8owwbjzXaiaPoIJpc6mcpR6iWBh","AHNxvhv4OK4mGSXWK8I1MxdfifOuzbmS",,,,0,0,0
"FCFF89808A3E4DA6B9C2F032841F9A21","D10","CPER","CPER_009","41.4.10",40.826195,-104.745802,"WGS84",1.1,"2014-05-28",1,"DIV.CPER.2014.1","Y","SPCO","Sphaeralcea coccinea (Nutt.) Rydb.","species",,,"NEON.DOC.014042",,"P+EeY8owwbjzXaiaPoIJpc6mcpR6iWBh","AHNxvhv4OK4mGSXWK8I1MxdfifOuzbmS",,,,0,0,0
"AF1D5309E1D843ED85D3BB566F5EC350","D10","CPER","CPER_009","31.1.10",40.826045,-104.746004,"WGS84",1.1,"2014-05-28",1,"DIV.CPER.2014.1","Y","ARPU9","Aristida purpurea Nutt.","species",,,"NEON.DOC.014042",,"P+EeY8owwbjzXaiaPoIJpc6mcpR6iWBh","n15MKd9HZpj/Ln9qG+710s4OwrcybKrR",,,,0,0,0
"B18E2DE722FC4A4387DF750C20DCA815","D10","CPER","CPER_009","41.4.10",40.826195,-104.745802,"WGS84",1.1,"2014-05-28",1,"DIV.CPER.2014.1","Y","BOGR2","Bouteloua gracilis (Willd. ex Kunth) Lag. ex Griffiths","species",,,"NEON.DOC.014042",,"P+EeY8owwbjzXaiaPoIJpc6mcpR6iWBh","AHNxvhv4OK4mGSXWK8I1MxdfifOuzbmS",,,,0,0,0
"7401BCB8BDC14282844E9350C5B1162F","D10","CPER","CPER_009","32.4.10",40.826106,-104.745804,"WGS84",1.1,"2014-05-28",1,"DIV.CPER.2014.1","Y","PASM","Pascopyrum smithii (Rydb.) Á. Löve","species",,,"NEON.DOC.014042",,"P+EeY8owwbjzXaiaPoIJpc6mcpR6iWBh","AHNxvhv4OK4mGSXWK8I1MxdfifOuzbmS",,,,0,0,0
"888E730CFE8A4CC298765B8A8D9C46D5","D10","CPER","CPER_009","32.2.10",40.826044,-104.745804,"WGS84",1.1,"2014-05-28",1,"DIV.CPER.2014.1","Y","VIAM","Vicia americana Muhl. ex Willd.","species",,,"NEON.DOC.014042",,"P+EeY8owwbjzXaiaPoIJpc6mcpR6iWBh","AHNxvhv4OK4mGSXWK8I1MxdfifOuzbmS",,,,0,0,0
"D28920554C474EBC8748A8935EFA5571","D10","CPER","CPER_009","41.1.10",40.826134,-104.745884,"WGS84",1.1,"2014-05-28",1,"DIV.CPER.2014.1","Y","ELEL5","Elymus elymoides (Raf.) Swezey","species",,,"NEON.DOC.014042",,"P+EeY8owwbjzXaiaPoIJpc6mcpR6iWBh","AHNxvhv4OK4mGSXWK8I1MxdfifOuzbmS",,,,0,0,0
"592B947C5A7E4B42BC6C68E27CF11AC0","D10","CPER","CPER_009","41.1.10",40.826134,-104.745884,"WGS84",1.1,"2014-05-28",1,"DIV.CPER.2014.1","Y","BODA2","Bouteloua dactyloides (Nutt.) J.T. Columbus","species",,,"NEON.DOC.014042",,"P+EeY8owwbjzXaiaPoIJpc6mcpR6iWBh","AHNxvhv4OK4mGSXWK8I1MxdfifOuzbmS",,,,0,0,0
"D5CFA5C7B71F4B53B750DF2ED8D6B716","D10","CPER","CPER_009","41.1.10",40.826134,-104.745884,"WGS84",1.1,"2014-05-28",1,"DIV.CPER.2014.1","Y","PIOP","Picradeniopsis oppositifolia (Nutt.) Rydb. ex Britton","species",,,"NEON.DOC.014042",,"P+EeY8owwbjzXaiaPoIJpc6mcpR6iWBh","AHNxvhv4OK4mGSXWK8I1MxdfifOuzbmS",,,,0,0,0
"043102854E2242BB825A22FC27AE3E53","D10","CPER","CPER_009","40.1.10",40.826137,-104.746001,"WGS84",1.1,"2014-05-28",1,"DIV.CPER.2014.1","Y","PLPA2","Plantago patagonica Jacq.","species",,,"NEON.DOC.014042",,"P+EeY8owwbjzXaiaPoIJpc6mcpR6iWBh","n15MKd9HZpj/Ln9qG+710s4OwrcybKrR",,,,0,0,0
"1213E80A20694D24B657B2C2F6319F6D","D10","CPER","CPER_009","40.1.10",40.826137,-104.746001,"WGS84",1.1,"2014-05-28",1,"DIV.CPER.2014.1","Y","ARPU9","Aristida purpurea Nutt.","species",,,"NEON.DOC.014042",,"P+EeY8owwbjzXaiaPoIJpc6mcpR6iWBh","n15MKd9HZpj/Ln9qG+710s4OwrcybKrR",,,,0,0,0
"49F216D94DE14730AA13E45469F91DCD","D10","CPER","CPER_009","40.3.10",40.826198,-104.746001,"WGS84",1.1,"2014-05-28",1,"DIV.CPER.2014.1","Y","SPCO","Sphaeralcea coccinea (Nutt.) Rydb.","species",,,"NEON.DOC.014042",,"P+EeY8owwbjzXaiaPoIJpc6mcpR6iWBh","n15MKd9HZpj/Ln9qG+710s4OwrcybKrR",,,,0,0,0
"2925FCD8D19546A283258F4C16FD79E4","D10","CPER","CPER_009","41.1.10",40.826134,-104.745884,"WGS84",1.1,"2014-05-28",1,"DIV.CPER.2014.1","Y","ARFR4","Artemisia frigida Willd.","species",,,"NEON.DOC.014042",,"P+EeY8owwbjzXaiaPoIJpc6mcpR6iWBh","AHNxvhv4OK4mGSXWK8I1MxdfifOuzbmS",,,,0,0,0
"4E2618F9B9EF43AFA7299C1AD35687A2","D10","CPER","CPER_009","31.1.10",40.826045,-104.746004,"WGS84",1.1,"2014-05-28",1,"DIV.CPER.2014.1","Y","ARFR4","Artemisia frigida Willd.","species",,,"NEON.DOC.014042",,"P+EeY8owwbjzXaiaPoIJpc6mcpR6iWBh","n15MKd9HZpj/Ln9qG+710s4OwrcybKrR",,,,0,0,0
"FBB2AF7FCE384453813688674DC811B7","D10","CPER","CPER_009","31.4.10",40.826106,-104.745922,"WGS84",1.1,"2014-05-28",1,"DIV.CPER.2014.1","Y","ARPU9","Aristida purpurea Nutt.","species",,,"NEON.DOC.014042",,"P+EeY8owwbjzXaiaPoIJpc6mcpR6iWBh","n15MKd9HZpj/Ln9qG+710s4OwrcybKrR",,,,0,0,0
"8DD0307D9B354F68AF827FAA93E4A408","D10","CPER","CPER_009","31.4.10",40.826106,-104.745922,"WGS84",1.1,"2014-05-28",1,"DIV.CPER.2014.1","Y","PSTE5","Psoralidium tenuiflorum (Pursh) Rydb.","species",,,"NEON.DOC.014042",,"P+EeY8owwbjzXaiaPoIJpc6mcpR6iWBh","n15MKd9HZpj/Ln9qG+710s4OwrcybKrR",,,,0,0,0
"A90D87594B4E4ABB8DB0C1977C81D867","D10","CPER","CPER_009","32.2.10",40.826044,-104.745804,"WGS84",1.1,"2014-05-28",1,"DIV.CPER.2014.1","Y","SPCO","Sphaeralcea coccinea (Nutt.) Rydb.","species",,,"NEON.DOC.014042",,"P+EeY8owwbjzXaiaPoIJpc6mcpR6iWBh","AHNxvhv4OK4mGSXWK8I1MxdfifOuzbmS",,,,0,0,0
"9C003BACB9C24D798066747F257BC61D","D10","CPER","CPER_009","32.4.10",40.826106,-104.745804,"WGS84",1.1,"2014-05-28",1,"DIV.CPER.2014.1","Y","ARPU9","Aristida purpurea Nutt.","species",,,"NEON.DOC.014042",,"P+EeY8owwbjzXaiaPoIJpc6mcpR6iWBh","AHNxvhv4OK4mGSXWK8I1MxdfifOuzbmS",,,,0,0,0
"210B1CBB279B41868968FCB2A8963BF6","D10","CPER","CPER_009","32.2.10",40.826044,-104.745804,"WGS84",1.1,"2014-05-28",1,"DIV.CPER.2014.1","Y","VUOC","Vulpia octoflora (Walter) Rydb.","species",,,"NEON.DOC.014042",,"P+EeY8owwbjzXaiaPoIJpc6mcpR6iWBh","AHNxvhv4OK4mGSXWK8I1MxdfifOuzbmS",,,,0,0,0
"69226D88F20F423FA169BCD4D4A34FD2","D10","CPER","CPER_009","32.4.10",40.826106,-104.745804,"WGS84",1.1,"2014-05-28",1,"DIV.CPER.2014.1","Y","CADU6","Carex duriuscula C.A. Mey.","species",,,"NEON.DOC.014042",,"P+EeY8owwbjzXaiaPoIJpc6mcpR6iWBh","AHNxvhv4OK4mGSXWK8I1MxdfifOuzbmS",,,,0,0,0
