"uid","domainID","siteID","plotID","subplotID","decimalLatitude","decimalLongitude","geodeticDatum","coordinateUncertainty","date","boutNumber","eventID","targetTaxaPresent","taxonID","scientificName","taxonRank","identificationQualifier","morphospeciesID","percentCover","heightPlantOver300cm","heightPlantSpecies","samplingProtocol","identificationReferences","measuredBy","recordedBy","taxonIDRemarks","morphospeciesIDRemarks","remarks","duplicateTaxonIDBoutPer1m2QF","missingRecords1m2QF"
"8628FFB48E0B43D588B36F398BFA6C56","D10","CPER","CPER_009","40.1.1",40.826127,-104.746014,"WGS84",0.4,"2014-05-28",1,"DIV.CPER.2014.1","Y","PSTE5","Psoralidium tenuiflorum (Pursh) Rydb.","species",,,1,"N",8.0,"NEON.DOC.014042",,"P+EeY8owwbjzXaiaPoIJpc6mcpR6iWBh","AHNxvhv4OK4mGSXWK8I1MxdfifOuzbmS",,,,0,0
"E2FBA83E880A4B59BEA5EFD4EAF24161","D10","CPER","CPER_009","40.3.1",40.826208,-104.746013,"WGS84",0.4,"2014-05-28",1,"DIV.CPER.2014.1","Y","LEMO4","Leucocrinum montanum Nutt. ex A. Gray","species",,,0.5,"N",7.0,"NEON.DOC.014042",,"P+EeY8owwbjzXaiaPoIJpc6mcpR6iWBh","n15MKd9HZpj/Ln9qG+710s4OwrcybKrR",,,,0,0
"4BB605432FDF4A8C9174CA0607CA734B","D10","CPER","CPER_009","40.3.1",40.826208,-104.746013,"WGS84",0.4,"2014-05-28",1,"DIV.CPER.2014.1","Y","PLPA2","Plantago patagonica Jacq.","species",,,0.5,"N",5.0,"NEON.DOC.014042",,"P+EeY8owwbjzXaiaPoIJpc6mcpR6iWBh","n15MKd9HZpj/Ln9qG+710s4OwrcybKrR",,,,0,0
"C91FF8FB8A9541989E647F61CADE1B63","D10","CPER","CPER_009","40.3.1",40.826208,-104.746013,"WGS84",0.4,"2014-05-28",1,"DIV.CPER.2014.1","Y","VUOC","Vulpia octoflora (Walter) Rydb.","species",,,1,"N",12.0,"NEON.DOC.014042",,"P+EeY8owwbjzXaiaPoIJpc6mcpR6iWBh","n15MKd9HZpj/Ln9qG+710s4OwrcybKrR",,,,0,0
"CC6E616CAFE045188D0AE23B591D1002","D10","CPER","CPER_009","40.3.1",40.826208,-104.746013,"WGS84",0.4,"2014-05-28",1,"DIV.CPER.2014.1","Y","CRMI5","Cryptantha minima Rydb.","species",,,0.5,"N",3.0,"NEON.DOC.014042",,"P+EeY8owwbjzXaiaPoIJpc6mcpR6iWBh","n15MKd9HZpj/Ln9qG+710s4OwrcybKrR",,,,0,0
"BBA743B0CE594261B80269F6D120A3C5","D10","CPER","CPER_009","40.3.1",40.826208,-104.746013,"WGS84",0.4,"2014-05-28",1,"DIV.CPER.2014.1","Y","CADU6","Carex duriuscula C.A. Mey.","species","cf. species",,1,"N",11.0,"NEON.DOC.014042",,"P+EeY8owwbjzXaiaPoIJpc6mcpR6iWBh","n15MKd9HZpj/Ln9qG+710s4OwrcybKrR",,,,0,0
"7CB080A4957A45329D1676ADA6BCBF29","D10","CPER","CPER_009","41.1.1",40.826125,-104.745897,"WGS84",0.4,"2014-05-28",1,"DIV.CPER.2014.1","Y","SPCO","Sphaeralcea coccinea (Nutt.) Rydb.","species",,,1,"N",6.0,"NEON.DOC.014042",,"P+EeY8owwbjzXaiaPoIJpc6mcpR6iWBh","AHNxvhv4OK4mGSXWK8I1MxdfifOuzbmS",,,,0,0
"33A31A9E30604257820BF04D40A22351","D10","CPER","CPER_009","41.1.1",40.826125,-104.745897,"WGS84",0.4,"2014-05-28",1,"DIV.CPER.2014.1","Y","THFI","Thelesperma filifolium (Hook.) A. Gray","species",,,1,"N",8.0,"NEON.DOC.014042",,"P+EeY8owwbjzXaiaPoIJpc6mcpR6iWBh","AHNxvhv4OK4mGSXWK8I1MxdfifOuzbmS",,,,0,0
"F9DDBB7D7391431CA5E8D1F027CFCDB9","D10","CPER","CPER_009","41.1.1",40.826125,-104.745897,"WGS84",0.4,"2014-05-28",1,"DIV.CPER.2014.1","Y","LONU3","Lomatium nuttallii (A. Gray) J.F. Macbr.","species","cf. genus",,0.5,"N",6.0,"NEON.DOC.014042",,"P+EeY8owwbjzXaiaPoIJpc6mcpR6iWBh","AHNxvhv4OK4mGSXWK8I1MxdfifOuzbmS",,,,0,0
"B2E52E7A9B1F4741813C823CB7D69B65","D10","CPER","CPER_009","41.1.1",40.826125,-104.745897,"WGS84",0.4,"2014-05-28",1,"DIV.CPER.2014.1","Y","PLPA2","Plantago patagonica Jacq.","species",,,0.5,"N",4.0,"NEON.DOC.014042",,"P+EeY8owwbjzXaiaPoIJpc6mcpR6iWBh","AHNxvhv4OK4mGSXWK8I1MxdfifOuzbmS",,,,0,0
"0304A71658BC47A482550196E82A0685","D10","CPER","CPER_009","41.1.1",40.826125,-104.745897,"WGS84",0.4,"2014-05-28",1,"DIV.CPER.2014.1","Y","TRDU","Tragopogon dubius Scop.","species",,,0.5,"N",7.0,"NEON.DOC.014042",,"P+EeY8owwbjzXaiaPoIJpc6mcpR6iWBh","AHNxvhv4OK4mGSXWK8I1MxdfifOuzbmS",,,,0,0
"36A1B73D0BA647D5B4150F13073F8501","D10","CPER","CPER_009","41.1.1",40.826125,-104.745897,"WGS84",0.4,"2014-05-28",1,"DIV.CPER.2014.1","Y","VUOC","Vulpia octoflora (Walter) Rydb.","species",,,0.5,"N",7.0,"NEON.DOC.014042",,"P+EeY8owwbjzXaiaPoIJpc6mcpR6iWBh","AHNxvhv4OK4mGSXWK8I1MxdfifOuzbmS",,,,0,0
"C4F32AD86DF241C38369F3985ECD2A83","D10","CPER","CPER_009","41.4.1",40.826205,-104.745789,"WGS84",0.4,"2014-05-28",1,"DIV.CPER.2014.1","Y","THFI","Thelesperma filifolium (Hook.) A. Gray","species",,,12,"N",15.0,"NEON.DOC.014042",,"P+EeY8owwbjzXaiaPoIJpc6mcpR6iWBh","AHNxvhv4OK4mGSXWK8I1MxdfifOuzbmS",,,,0,0
"2C654084C9C646618B4DE37778C80F4D","D10","CPER","CPER_009","41.4.1",40.826205,-104.745789,"WGS84",0.4,"2014-05-28",1,"DIV.CPER.2014.1","Y","SPCR","Sporobolus cryptandrus (Torr.) A. Gray","species",,,0.5,"N",7.0,"NEON.DOC.014042",,"P+EeY8owwbjzXaiaPoIJpc6mcpR6iWBh","AHNxvhv4OK4mGSXWK8I1MxdfifOuzbmS",,,,0,0
"4502C34E31B847A28B719BBC802510F1","D10","CPER","CPER_009","41.4.1",40.826205,-104.745789,"WGS84",0.4,"2014-05-28",1,"DIV.CPER.2014.1","Y","PLPA2","Plantago patagonica Jacq.","species",,,0.5,"N",6.0,"NEON.DOC.014042",,"P+EeY8owwbjzXaiaPoIJpc6mcpR6iWBh","AHNxvhv4OK4mGSXWK8I1MxdfifOuzbmS",,,,0,0
"0157CC5735CC4BB6A5152676B1950366","D10","CPER","CPER_009","41.4.1",40.826205,-104.745789,"WGS84",0.4,"2014-05-28",1,"DIV.CPER.2014.1","Y","PASM","Pascopyrum smithii (Rydb.) Á. Löve","species",,,5,"N",28.0,"NEON.DOC.014042",,"P+EeY8owwbjzXaiaPoIJpc6mcpR6iWBh","AHNxvhv4OK4mGSXWK8I1MxdfifOuzbmS",,,,0,0
