"uid","domainID","siteID","plotID","decimalLatitude","decimalLongitude","geodeticDatum","coordinateUncertainty","nlcdClass","elevation","elevationUncertainty","date","boutNumber","eventID","targetTaxaPresent","taxonID","scientificName","taxonRank","identificationQualifier","morphospeciesID","samplingProtocol","identificationReferences","measuredBy","taxonIDRemarks","morphospeciesIDRemarks","remarks","missingRecords1m2QF","missingRecords10m2QF","missingRecords100m2QF"
"6FA7CDFCEFC841A09D18738E527F5E87","D10","CPER","CPER_009",,,,,"grasslandHerbaceous",,,"2014-05-28",1,"DIV.CPER.2014.1","Y","PSTE5","Psoralidium tenuiflorum (Pursh) Rydb.","species",,,"NEON.DOC.014042",,"P+EeY8owwbjzXaiaPoIJpc6mcpR6iWBh",,,,0,0,0
"50E1AA1C605A4777837C51434F5194BE","D10","CPER","CPER_009",,,,,"grasslandHerbaceous",,,"2014-05-28",1,"DIV.CPER.2014.1","Y","MATA2","Machaeranthera tanacetifolia (Kunth) Nees","species","cf. species",,"NEON.DOC.014042",,"P+EeY8owwbjzXaiaPoIJpc6mcpR6iWBh",,,,0,0,0
"923F3002AD6B4CC68D80B21DBF917286","D10","CPER","CPER_009",,,,,"grasslandHerbaceous",,,"2014-05-28",1,"DIV.CPER.2014.1","Y","ARPU9","Aristida purpurea Nutt.","species",,,"NEON.DOC.014042",,"P+EeY8owwbjzXaiaPoIJpc6mcpR6iWBh",,,,0,0,0
"A8CB51FCF2524653ADDD03853D4CF3CE","D10","CPER","CPER_009",,,,,"grasslandHerbaceous",,,"2014-05-28",1,"DIV.CPER.2014.1","Y","VUOC","Vulpia octoflora (Walter) Rydb.","species",,,"NEON.DOC.014042",,"P+EeY8owwbjzXaiaPoIJpc6mcpR6iWBh",,,,0,0,0
"BF6C28B61FF3474B8BBB4C49AC585FD1","D10","CPER","CPER_009",,,,,"grasslandHerbaceous",,,"2014-05-28",1,"DIV.CPER.2014.1","Y","CADU6","Carex duriuscula C.A. Mey.","species","cf. species",,"NEON.DOC.014042",,"P+EeY8owwbjzXaiaPoIJpc6mcpR6iWBh",,,,0,0,0
"F605D279E3EB473DA9A86662DE5F9F39","D10","CPER","CPER_009",,,,,"grasslandHerbaceous",,,"2014-05-28",1,"DIV.CPER.2014.1","Y","PLPA2","Plantago patagonica Jacq.","species",,,"NEON.DOC.014042",,"P+EeY8owwbjzXaiaPoIJpc6mcpR6iWBh",,,,0,0,0
"5EE0F8DE10BB4E139BEFA9D70821EA4C","D10","CPER","CPER_009",,,,,"grasslandHerbaceous",,,"2014-05-28",1,"DIV.CPER.2014.1","Y","MUTO2","Muhlenbergia torreyi (Kunth) Hitchc. ex Bush","species",,,"NEON.DOC.014042",,"P+EeY8owwbjzXaiaPoIJpc6mcpR6iWBh",,,,0,0,0
"FBB60744839C4CED84CB9988CAFFB513","D10","CPER","CPER_009",,,,,"grasslandHerbaceous",,,"2014-05-28",1,"DIV.CPER.2014.1","Y","GUSA2","Gutierrezia sarothrae (Pursh) Britton & Rusby","species",,,"NEON.DOC.014042",,"P+EeY8owwbjzXaiaPoIJpc6mcpR6iWBh",,,,0,0,0
"FCB8970E05B9421CA175AA9ED83DF14A","D10","CPER","CPER_009",,,,,"grasslandHerbaceous",,,"2014-05-28",1,"DIV.CPER.2014.1","Y","CRMI5","Cryptantha minima Rydb.","species",,,"NEON.DOC.014042",,"P+EeY8owwbjzXaiaPoIJpc6mcpR6iWBh",,,,0,0,0
"95FBB2C0223C4572B541A59B4744D4EC","D10","CPER","CPER_009",,,,,"grasslandHerbaceous",,,"2014-05-28",1,"DIV.CPER.2014.1","Y","THFI","Thelesperma filifolium (Hook.) A. Gray","species",,,"NEON.DOC.014042",,"P+EeY8owwbjzXaiaPoIJpc6mcpR6iWBh",,,,0,0,0
"0A3A5D51A24E42E6A08989C8396522A3","D10","CPER","CPER_009",,,,,"grasslandHerbaceous",,,"2014-05-28",1,"DIV.CPER.2014.1","Y","SPCR","Sporobolus cryptandrus (Torr.) A. Gray","species",,,"NEON.DOC.014042",,"P+EeY8owwbjzXaiaPoIJpc6mcpR6iWBh",,,,0,0,0
"B977642AEC1F4A26A7E509DD93B7F49E","D10","CPER","CPER_009",,,,,"grasslandHerbaceous",,,"2014-05-28",1,"DIV.CPER.2014.1","Y","BOGR2","Bouteloua gracilis (Willd. ex Kunth) Lag. ex Griffiths","species",,,"NEON.DOC.014042",,"P+EeY8owwbjzXaiaPoIJpc6mcpR6iWBh",,,,0,0,0
"307CDD4092FF49DBAC14DEBB9B2FF715","D10","CPER","CPER_009",,,,,"grasslandHerbaceous",,,"2014-05-28",1,"DIV.CPER.2014.1","Y","LEMO4","Leucocrinum montanum Nutt. ex A. Gray","species",,,"NEON.DOC.014042",,"P+EeY8owwbjzXaiaPoIJpc6mcpR6iWBh",,,,0,0,0
"3BC7F89151E24FB3B9F64A8A5F2244F9","D10","CPER","CPER_009",,,,,"grasslandHerbaceous",,,"2014-05-28",1,"DIV.CPER.2014.1","Y","TRDU","Tragopogon dubius Scop.","species","cf. species",,"NEON.DOC.014042",,"P+EeY8owwbjzXaiaPoIJpc6mcpR6iWBh",,,,0,0,0
"345F156734AA4274BEF0986919695914","D10","CPER","CPER_009",,,,,"grasslandHerbaceous",,,"2014-05-28",1,"DIV.CPER.2014.1","Y","PASM","Pascopyrum smithii (Rydb.) Á. Löve","species",,,"NEON.DOC.014042",,"P+EeY8owwbjzXaiaPoIJpc6mcpR6iWBh",,,,0,0,0
"E4D296F071424135A87E31279C784F68","D10","CPER","CPER_009",,,,,"grasslandHerbaceous",,,"2014-05-28",1,"DIV.CPER.2014.1","Y","HECO26","Hesperostipa comata (Trin. & Rupr.) Barkworth","species",,,"NEON.DOC.014042",,"P+EeY8owwbjzXaiaPoIJpc6mcpR6iWBh",,,,0,0,0
"27BCC460607F442896A6F371F14B6D07","D10","CPER","CPER_009",,,,,"grasslandHerbaceous",,,"2014-05-28",1,"DIV.CPER.2014.1","Y","ERNA10","Ericameria nauseosa (Pall. ex Pursh) G.L. Nesom & Baird","species",,,"NEON.DOC.014042",,"P+EeY8owwbjzXaiaPoIJpc6mcpR6iWBh",,,,0,0,0
"4202D68AA6D6421B8A84B2FC2E14E081","D10","CPER","CPER_009",,,,,"grasslandHerbaceous",,,"2014-05-28",1,"DIV.CPER.2014.1","Y","THME","Thelesperma megapotamicum (Spreng.) Kuntze","species","cf. species",,"NEON.DOC.014042",,"P+EeY8owwbjzXaiaPoIJpc6mcpR6iWBh",,,,0,0,0
"BE1A87720C5145D886C73D0D08450AE7","D10","CPER","CPER_009",,,,,"grasslandHerbaceous",,,"2014-05-28",1,"DIV.CPER.2014.1","Y","VIAM","Vicia americana Muhl. ex Willd.","species",,,"NEON.DOC.014042",,"P+EeY8owwbjzXaiaPoIJpc6mcpR6iWBh",,,,0,0,0
"997BBE285A2D4027BBEA3BF3777143F7","D10","CPER","CPER_009",,,,,"grasslandHerbaceous",,,"2014-05-28",1,"DIV.CPER.2014.1","Y","ECVI2","Echinocereus viridiflorus Engelm.","species",,,"NEON.DOC.014042",,"P+EeY8owwbjzXaiaPoIJpc6mcpR6iWBh",,,,0,0,0
"8B4BFFBEF3844843815AADF80D7D0A4D","D10","CPER","CPER_009",,,,,"grasslandHerbaceous",,,"2014-05-28",1,"DIV.CPER.2014.1","Y","ESVI2","Escobaria vivipara (Nutt.) Buxbaum","species",,,"NEON.DOC.014042",,"P+EeY8owwbjzXaiaPoIJpc6mcpR6iWBh",,,,0,0,0
"D81B524FC9164C63B78BDBB89B653F87","D10","CPER","CPER_009",,,,,"grasslandHerbaceous",,,"2014-05-28",1,"DIV.CPER.2014.1","Y","SPCO","Sphaeralcea coccinea (Nutt.) Rydb.","species",,,"NEON.DOC.014042",,"P+EeY8owwbjzXaiaPoIJpc6mcpR6iWBh",,,,0,0,0
"11C624636B744D2AA1EC72CA356F5AF1","D10","CPER","CPER_009",,,,,"grasslandHerbaceous",,,"2014-05-28",1,"DIV.CPER.2014.1","Y","OEAL","Oenothera albicaulis Pursh","species",,,"NEON.DOC.014042",,"P+EeY8owwbjzXaiaPoIJpc6mcpR6iWBh",,,,0,0,0
"8034E15DF9B9455A8FACA7F0AB37BB20","D10","CPER","CPER_009",,,,,"grasslandHerbaceous",,,"2014-05-28",1,"DIV.CPER.2014.1","Y","ARFR4","Artemisia frigida Willd.","species",,,"NEON.DOC.014042",,"P+EeY8owwbjzXaiaPoIJpc6mcpR6iWBh",,,,0,0,0
"5CE8B66AB74842AA9E152D76673B221B","D10","CPER","CPER_009",,,,,"grasslandHerbaceous",,,"2014-05-28",1,"DIV.CPER.2014.1","Y","TROC","Tradescantia occidentalis (Britton) Smyth","species",,,"NEON.DOC.014042",,"P+EeY8owwbjzXaiaPoIJpc6mcpR6iWBh",,,,0,0,0
"FD9207F15F194BFFAF57D9855DBEC2ED","D10","CPER","CPER_009",,,,,"grasslandHerbaceous",,,"2014-05-28",1,"DIV.CPER.2014.1","Y","SONU","Sophora nuttalliana B.L. Turner","species",,,"NEON.DOC.014042",,"P+EeY8owwbjzXaiaPoIJpc6mcpR6iWBh",,,,0,0,0
"C704D43856814A7093A75BCEA8AB4246","D10","CPER","CPER_009",,,,,"grasslandHerbaceous",,,"2014-05-28",1,"DIV.CPER.2014.1","Y","LONU3","Lomatium nuttallii (A. Gray) J.F. Macbr.","species","cf. genus",,"NEON.DOC.014042",,"P+EeY8owwbjzXaiaPoIJpc6mcpR6iWBh",,,,0,0,0
"4812E1A22AAB46239846B176F13C668E","D10","CPER","CPER_009",,,,,"grasslandHerbaceous",,,"2014-05-28",1,"DIV.CPER.2014.1","Y","OPPO","Opuntia polyacantha Haw.","species",,,"NEON.DOC.014042",,"P+EeY8owwbjzXaiaPoIJpc6mcpR6iWBh",,,,0,0,0
