"uid","domainID","siteID","plotID","date","night","eventID","setTraps","disturbedTraps","samplingEffort","samplingProtocol","identificationReferences","remarks","duplicateNightQF","missingRecordsPerBoutQF"
"CBF0924EA7CB4D47B7D2C811F3AD3EA9","D01","HARV","HARV_023","2014-04-28",1,"MAM.HARV.2014.05",100,0,100,"NEON.DOC.000481","NEON.DOC.001907","No captures",0,0
"8DB362CAF536485CBE05D77C7AFA0000","D01","HARV","HARV_006","2014-04-28",1,"MAM.HARV.2014.05",100,1,99,"NEON.DOC.000481","NEON.DOC.001907","No captures",0,0
"5D61008EE9FB44C88A5B3C8094E11337","D01","HARV","HARV_006","2014-04-29",2,"MAM.HARV.2014.05",100,3,97,"NEON.DOC.000481","NEON.DOC.001907","No captures",0,0
"0B9E3FD889444342B0B9C3E138BD4465","D01","HARV","HARV_023","2014-04-29",2,"MAM.HARV.2014.05",100,4,96,"NEON.DOC.000481","NEON.DOC.001907",,0,0
"4B08BBCD7E934EF5855B7214169F212C","D01","HARV","HARV_023","2014-04-30",3,"MAM.HARV.2014.05",100,16,84,"NEON.DOC.000481","NEON.DOC.001907",,0,0
"450AAE5A5C844C768CBDC8187BB5AB28","D01","HARV","HARV_006","2014-04-30",3,"MAM.HARV.2014.05",100,0,100,"NEON.DOC.000481","NEON.DOC.001907",,0,0
"C115149614F844B9B5FDA62C496AE213","D01","HARV","HARV_021","2014-05-20",1,"MAM.HARV.2014.06",100,5,95,"NEON.DOC.000481","NEON.DOC.001907",,0,0
"24143B9BEA134F27B2E62F2543D7589D","D01","HARV","HARV_008","2014-05-20",1,"MAM.HARV.2014.06",100,1,99,"NEON.DOC.000481","NEON.DOC.001907","No captures",0,0
"6BA6DA04D85242BFAA0A8475FE5F6A29","D01","HARV","HARV_023","2014-05-20",1,"MAM.HARV.2014.06",100,0,100,"NEON.DOC.000481","NEON.DOC.001907",,0,0
"9ECB4EF070A14E2E802B12FAF365DCCB","D01","HARV","HARV_008","2014-05-21",2,"MAM.HARV.2014.06",100,4,96,"NEON.DOC.000481","NEON.DOC.001907","no captures",0,0
"2659B7D2D94C4A7090111D9C6ACBBD6E","D01","HARV","HARV_021","2014-05-21",2,"MAM.HARV.2014.06",100,7,93,"NEON.DOC.000481","NEON.DOC.001907",,0,0
"35D5205B8A784BA39CB5771B81F6131E","D01","HARV","HARV_023","2014-05-21",2,"MAM.HARV.2014.06",100,1,99,"NEON.DOC.000481","NEON.DOC.001907",,0,0
"BCA992199AE94AC0B36A03667161EE3C","D01","HARV","HARV_008","2014-05-22",3,"MAM.HARV.2014.06",100,3,97,"NEON.DOC.000481","NEON.DOC.001907",,0,0
"A591750655574D65B0EBFB7EB9C77C57","D01","HARV","HARV_021","2014-05-22",3,"MAM.HARV.2014.06",100,3,97,"NEON.DOC.000481","NEON.DOC.001907",,0,0
"0DE9C80B6E6A404EA612444E094EE699","D01","HARV","HARV_023","2014-05-22",3,"MAM.HARV.2014.06",99,2,97,"NEON.DOC.000481","NEON.DOC.001907",,0,0
"3EE5BEC604A64303922264FBF1B77188","D01","HARV","HARV_021","2014-06-18",1,"MAM.HARV.2014.07",100,4,96,"NEON.DOC.000481","NEON.DOC.001907",,1,0
"DCA210D6817D4D2494A13399B8E5FAEB","D01","HARV","HARV_032","2014-06-18",1,"MAM.HARV.2014.07",100,15,85,"NEON.DOC.000481","NEON.DOC.001907",,0,0
"3094CBA4A88B440DA6A18931CEA3839D","D01","HARV","HARV_014","2014-06-18",1,"MAM.HARV.2014.07",100,10,90,"NEON.DOC.000481","NEON.DOC.001907",,1,1
"5F89CC50C5D74E389F39225D51016E88","D01","HARV","HARV_008","2014-06-19",1,"MAM.HARV.2014.07",100,55,45,"NEON.DOC.000481","NEON.DOC.001907",,0,1
"835C6009DF7844269508328E691CFE98","D01","HARV","HARV_032","2014-06-19",2,"MAM.HARV.2014.07",100,42,58,"NEON.DOC.000481","NEON.DOC.001907",,1,0
"AD361DDE49424A2F9B62C25C5E36FADA","D01","HARV","HARV_021","2014-06-19",2,"MAM.HARV.2014.07",100,38,62,"NEON.DOC.000481","NEON.DOC.001907",,0,0
"6EE4E6E369D745DC8B41EE464BE2C8BA","D01","HARV","HARV_014","2014-06-19",2,"MAM.HARV.2014.07",100,5,95,"NEON.DOC.000481","NEON.DOC.001907",,0,1
"368F06ADE444435D8AB00F98DBAD8BEC","D01","HARV","HARV_021","2014-06-20",3,"MAM.HARV.2014.07",100,31,69,"NEON.DOC.000481","NEON.DOC.001907",,0,0
"DCAA29D1852C41F695FBDA9A56987120","D01","HARV","HARV_008","2014-06-20",2,"MAM.HARV.2014.07",100,1,99,"NEON.DOC.000481","NEON.DOC.001907",,0,1
"FF5FE75515194411A8B28E45582FFB47","D01","HARV","HARV_032","2014-06-20",3,"MAM.HARV.2014.07",100,20,80,"NEON.DOC.000481","NEON.DOC.001907","All captures got limited processing due to time constraints;limited processing done on all captures due to time restraints",1,0
